Id (int),Valid (int),Updated (str),Matrix (mat),Size (int),Type (str),Rank (int),Density (flt),Stiffness (flt),Penalty (flt),Other (flt),Test_solver (str),Test (flt),Test_state (vec),Test_iterations (int),Test_time (flt),Train_solver (str),Preprocessing (str),Postprocessing (str),Train (flt),Train_state (vec),Train_iterations (int),Train_iterations_1 (int),Train_iterations_2 (int),Train_iterations_3 (int),Train_cost (flt),Train_shots (int),Train_time (flt),Flags (str),Baren (int)
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,
1051,1,2025-08-24 16:48:18,"[[-0.5140142444152319,0.19954917964408297,0.306773726206338,-0.7215007263711695,0.7770543509807841,0.037522765580463885,0.16500235231719493,0.2387818327338514,0.6850731374571787,-0.3874143495238338],[0.19954917964408292,-0.5521656423035137,0.7144910866475709,0.10707897889474051,0.0648388609580181,0.3934458585955963,-0.12384658553467666,0.5848940815885674,0.03199322160892117,-0.09610680420530768],[0.3067737262063377,0.7144910866475711,-0.2633656199791319,-0.39535986151887714,0.7665966466602107,0.04663039370729971,0.14912576981471096,-0.17992696627482274,-0.011057197606203103,0.5461200055067905],[-0.7215007263711698,0.10707897889474044,-0.3953598615188773,-0.23888394231086751,0.7539186705214862,-0.15394146459407204,-0.17345748111313322,0.6221190455195603,-1.0,0.10850694445218406],[0.7770543509807836,0.06483886095801808,0.7665966466602105,0.7539186705214859,-0.5055949554555697,0.21053631121060618,0.873669465701996,0.4249572739686976,-0.4017305019022518,-0.5316439812124932],[0.037522765580464044,0.39344585859559644,0.046630393707299676,-0.1539414645940718,0.21053631121060648,-0.02471277093412723,0.2263325620369767,-0.8880822206494574,0.7759114521699276,-0.608170954400459],[0.1650023523171953,-0.12384658553467648,0.14912576981471115,-0.17345748111313306,0.8736694657019966,0.2263325620369769,0.4957010222986824,-0.3432204224124982,0.570149533830913,0.6682077073910749],[0.2387818327338512,0.5848940815885671,-0.17992696627482288,0.62211904551956,0.42495727396869726,-0.8880822206494577,-0.3432204224124982,-0.6498306081868429,0.0831249574735058,-0.799243939986449],[0.6850731374571785,0.03199322160892139,-0.011057197606202655,-0.9999999999999993,-0.4017305019022515,0.7759114521699277,0.5701495338309128,0.08312495747350522,0.3295776716083589,0.4921692363340282],[-0.3874143495238331,-0.09610680420530754,0.5461200055067905,0.10850694445218406,-0.5316439812124931,-0.6081709544004588,0.6682077073910746,-0.7992439399864489,0.4921692363340281,0.556362324620075]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-3.847698984640229,"[1.,-1.,-1.,1.,-1.,1.,-1.,1.,-1.,1.]",-1,0.2412822246551513,CIA,,,-3.847698984640229,"[1,-1,-1,1,-1,1,-1,1,-1,1]",26,26,26,26,-1.0,1000,17.426918745040894,,-1.0
1052,1,2025-08-24 16:48:20,"[[-0.7318299884645972,0.48665308989993245,0.35129758872807443,-0.2897824621931327,-0.0608666060019049,0.06772772515202526,0.009563923272514341,0.2106565298421296,-0.14524488637588215,0.1992889666049834],[0.4866530898999327,-0.28359189221231956,-0.17456841072207485,-0.2295575299893917,-0.11287578699935338,0.4164805723976361,0.40156670170601766,-0.2930381612579863,-0.34243733405108817,-0.23362207547911487],[0.3512975887280742,-0.17456841072207485,0.0640363918376985,0.02025875681158839,-0.33686658819923104,-0.46330985014320875,-0.5463874118717444,0.20187477824802322,0.25485819349237315,-0.6636892769787266],[-0.28978246219313314,-0.2295575299893917,0.02025875681158804,-0.7118276035867939,0.07062855679839955,0.22039016263672825,-0.015882577350505196,-0.016090706953025922,0.7188890078488787,-0.308457069225478],[-0.0608666060019049,-0.11287578699935334,-0.3368665881992312,0.07062855679839958,-0.3839421278864243,-0.29691747687353115,-0.12224060997404274,0.08759532327517752,0.518546868383804,-0.2537382934219783],[0.06772772515202527,0.4164805723976359,-0.4633098501432086,0.22039016263672842,-0.2969174768735308,-1.0,-0.12698434458154637,0.32200991317586936,-0.11339448166511075,0.21996408475495968],[0.009563923272514029,0.4015667017060176,-0.5463874118717448,-0.01588257735050526,-0.1222406099740426,-0.1269843445815466,-0.42287227427186314,0.28164727976773074,0.20194471366103467,-0.5607282742722346],[0.21065652984212965,-0.2930381612579867,0.20187477824802325,-0.01609070695302593,0.08759532327517765,0.3220099131758697,0.2816472797677307,-0.9947768374581994,0.04936561246029909,-0.5266488020007005],[-0.1452448863758817,-0.342437334051088,0.25485819349237326,0.7188890078488785,0.518546868383804,-0.1133944816651107,0.20194471366103453,0.049365612460298684,-0.41840085647814096,0.1327290891307987],[0.19928896660498321,-0.23362207547911504,-0.6636892769787267,-0.308457069225478,-0.253738293421978,0.21996408475495982,-0.5607282742722345,-0.5266488020007003,0.13272908913079884,-0.3236599998318819]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-3.568440096705502,"[-1.,1.,1.,1.,1.,1.,1.,1.,-1.,1.]",-1,0.2436318397521972,CIA,,,-3.568440096705502,"[-1,1,1,1,1,1,1,1,-1,1]",3,3,3,3,-1.0,1000,1.8865036964416504,,-1.0
1053,1,2025-08-24 16:48:21,"[[-0.6511619811087592,-0.39096781826322646,0.16298943178917766,0.14853308509684995,-0.33454365173142053,0.0805679675288485,0.2026278717869305,0.24495311819783944,0.07843064001072826,0.05222199765138123],[-0.3909678182632265,-0.33834543094292746,0.2815263362684943,0.19426120556026433,0.22906065884796598,-0.2239332428783522,-0.14422872582175908,-0.23082883464675985,-0.13588509209970454,-0.20503923660377654],[0.16298943178917782,0.28152633626849466,-0.4742153413511987,0.21033797322434145,-0.0045844187875560515,-0.2381585102671848,0.3203705503242184,-0.11816022940733112,0.24127453959821227,-0.3470675940662728],[0.14853308509684987,0.19426120556026436,0.21033797322434153,-0.6117871850351946,0.48587119056221745,-0.03414169641421958,0.17196274973702305,-0.17249980334794657,0.0727063428533195,0.16783711305347396],[-0.3345436517314211,0.22906065884796578,-0.004584418787556094,0.48587119056221756,0.2811599739514535,0.46486030573158954,-0.21915187800579933,0.15175491419341072,-0.07506126906256992,0.7397423603679613],[0.08056796752884827,-0.22393324287835217,-0.23815851026718451,-0.03414169641421952,0.46486030573158904,-0.7372228473590005,-0.062248184162254916,0.1091936344577956,0.06066016181440631,0.20693214461331483],[0.20262787178693076,-0.14422872582175908,0.3203705503242185,0.171962749737023,-0.21915187800579947,-0.062248184162255,-0.0432842127024609,-0.33754669458781816,0.1104630611461106,0.13873551180519317],[0.2449531181978395,-0.23082883464676,-0.11816022940733097,-0.17249980334794682,0.15175491419341058,0.10919363445779569,-0.3375466945878184,-1.0,0.18513698999106168,0.032086221757898055],[0.07843064001072832,-0.13588509209970454,0.2412745395982121,0.07270634285331952,-0.07506126906256966,0.060660161814406435,0.11046306114611068,0.18513698999106146,-0.9775061043008612,0.12371325056250108],[0.05222199765138093,-0.20503923660377654,-0.34706759406627263,0.1678371130534738,0.7397423603679609,0.206932144613315,0.1387355118051931,0.03208622175789793,0.12371325056250107,-0.3174847330571256]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-1.7241289273957852,"[1.,1.,1.,-1.,-1.,1.,-1.,1.,-1.,1.]",-1,0.2321343421936035,CIA,,,-1.7241289273957852,"[1,1,1,-1,-1,1,-1,1,-1,1]",2,2,2,2,-1.0,1000,1.167097806930542,,-1.0
1054,1,2025-08-24 16:48:24,"[[-0.3638470109156237,-0.08038546359503133,0.07753041914353097,0.6512287358669457,0.046316097969413085,-0.18044381944875676,0.059440077697666134,-0.001975159882528043,0.0434740446744188,-0.7024356748001882],[-0.08038546359503168,-0.9024986603542451,-0.2519534140336723,-0.16489684651940997,-0.15541562978772783,-0.1674519262728608,0.16258937896230066,0.4231677121206906,0.013089487601220098,-0.15429746258389662],[0.077530419143531,-0.25195341403367216,-0.35933971544448307,-0.009332751963310518,-0.14600531708731812,0.3817109041324569,0.04666448211202933,-0.2839891393237294,-0.3088074377865041,0.124751928961398],[0.6512287358669459,-0.16489684651940997,-0.009332751963310675,-0.35607553517551677,0.12238856184538116,-0.11110917836959629,-0.011301693036324379,-0.24958529341183544,-0.06064070702140437,-0.14101386564366136],[0.04631609796941309,-0.15541562978772777,-0.146005317087318,0.12238856184538138,-0.6521807235362733,0.07668278411046786,-0.19724725125168763,-0.6054928346065797,-0.2634854388925126,-0.3240075124393917],[-0.18044381944875665,-0.16745192627286082,0.38171090413245706,-0.11110917836959587,0.07668278411046794,-0.6978453246766919,0.04760965870705634,-0.38933805572565755,-0.524695586233332,0.2845546406762886],[0.05944007769766599,0.16258937896230036,0.046664482112029636,-0.011301693036324304,-0.19724725125168735,0.04760965870705629,-1.0,0.23630998312931867,-0.19439732096104112,0.05089425759421134],[-0.001975159882527998,0.4231677121206905,-0.2839891393237295,-0.24958529341183575,-0.6054928346065795,-0.38933805572565705,0.23630998312931875,-0.09032329498874057,0.3827036631801079,-0.08171392139013851],[0.043474044674418656,0.013089487601219831,-0.308807437786504,-0.06064070702140437,-0.26348543889251247,-0.5246955862333317,-0.19439732096104093,0.3827036631801079,-0.39837518577355757,0.04651346505567905],[-0.702435674800188,-0.15429746258389662,0.12475192896139786,-0.1410138656436614,-0.32400751243939174,0.2845546406762881,0.050894257594211414,-0.08171392139013847,0.04651346505567892,0.32679898616634323]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-2.9862704300703338,"[1.,1.,1.,1.,1.,1.,1.,1.,1.,1.]",-1,0.2377543449401855,CIA,,,-2.9862704300703338,"[1,1,1,1,1,1,1,1,1,1]",4,4,4,4,-1.0,1000,2.331384658813477,,-1.0
1055,1,2025-08-24 16:49:00,"[[-0.6058828981659753,-0.05742585339421023,0.020026419147758913,-0.014741514271372685,0.07325673256849605,-0.31714023332224056,-0.24700810668110273,-0.0132384766579623,0.38802149329948316,-0.0899437888947691],[-0.0574258533942101,-0.1438604196798102,0.10033450937426476,-0.18756842493909578,0.7215347185146349,-0.039891429027415895,0.20587240792394979,0.02615911229099956,0.23464374206412086,0.055629801771401664],[0.02002641914775857,0.10033450937426483,-1.0,-0.0798065016894592,-0.07201188519714985,0.29571816632318887,0.06077223493845505,0.2863595567786867,0.2170575784411355,-0.0968719773481663],[-0.014741514271372462,-0.18756842493909578,-0.07980650168945921,-0.9769083342640356,0.0395376613170211,-0.09401625255298486,0.05797800953005108,-0.028094395332902183,-0.3257169713554737,0.03788685972584228],[0.07325673256849587,0.7215347185146346,-0.07201188519714996,0.0395376613170211,-0.18230144539522222,0.34513132930627616,-0.12335365275729133,0.1263304200713938,0.029205622120959365,-0.20343252632489112],[-0.31714023332224145,-0.03989142902741603,0.29571816632318915,-0.09401625255298483,0.3451313293062765,-0.14273006126545668,-0.1781763775307739,-0.12242086076464588,0.23410852715311975,-0.25645055101129194],[-0.24700810668110298,0.20587240792394926,0.060772234938455134,0.05797800953005095,-0.12335365275729099,-0.1781763775307735,-0.6995809742364364,0.3127327735238331,-0.11430654398894913,-0.2166505126095372],[-0.013238476657962338,0.026159112290999625,0.2863595567786866,-0.02809439533290214,0.1263304200713938,-0.12242086076464573,0.312732773523833,-0.6042382124151772,0.22741132446462445,-0.5631524497838789],[0.3880214932994837,0.23464374206412078,0.21705757844113568,-0.32571697135547373,0.029205622120959344,0.23410852715311967,-0.11430654398894913,0.22741132446462453,-0.14900084395157556,-0.005200134057300534],[-0.08994378889476944,0.05562980177140162,-0.09687197734816623,0.0378868597258422,-0.20343252632489103,-0.2564505510112918,-0.21665051260953735,-0.5631524497838795,-0.005200134057300571,-0.6934137991879984]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-2.525760759764338,"[1.,1.,-1.,1.,-1.,1.,1.,1.,-1.,1.]",-1,0.2423994541168213,CIA,,,-2.470408266399598,"[1,-1,1,1,-1,1,1,1,-1,1]",56,-1,3,-1,-1.0,1000,35.84333395957947,Baren_46,-1.0
1056,1,2025-08-24 16:49:07,"[[-0.3727267572685194,-0.12898638490937595,-0.10561170518648513,0.24792580076982856,-0.35104390650518075,0.29751472628692216,-0.07887224845131363,0.013550491632637494,-0.21199249589606298,-0.16625345447743267],[-0.12898638490937617,-0.13612953670206296,-0.25132878605546477,0.2730925721418486,0.23463272358516948,0.06163812643595011,-0.06751982274599441,-0.05360088222848789,0.21487463810294596,-0.19663139003683833],[-0.10561170518648506,-0.2513287860554649,-0.0748043395744499,0.20509110919040857,0.09084491318441615,-0.01378138481989155,-0.14116239934146146,0.26378684409182124,0.12001305428856399,-0.21846270094353776],[0.24792580076982856,0.2730925721418487,0.20509110919040865,-0.48166057280981767,0.09446410402238428,-0.02491441308424665,-0.0006741097220580926,0.16066816185199498,-0.26675730378719364,0.2501699221845517],[-0.3510439065051813,0.2346327235851699,0.09084491318441623,0.09446410402238438,-0.5066394555602141,0.08005439588797728,-0.15792247612832214,-0.3590314415544176,-0.2069846440323253,0.07119934220862316],[0.2975147262869224,0.06163812643595006,-0.013781384819891593,-0.024914413084246755,0.08005439588797722,-0.29673698903480533,-0.3611991269573482,0.09466178356958209,-0.07187813987405138,-0.12106102706113928],[-0.0788722484513134,-0.06751982274599444,-0.14116239934146146,-0.000674109722058168,-0.15792247612832175,-0.3611991269573481,-1.0,0.032382882839006734,-0.016001627908947755,0.24071472273046052],[0.013550491632637492,-0.05360088222848768,0.2637868440918211,0.1606681618519949,-0.35903144155441713,0.09466178356958202,0.0323828828390064,0.11198339109084297,-0.34191131893519466,-0.008828473509471331],[-0.21199249589606328,0.21487463810294613,0.12001305428856403,-0.26675730378719364,-0.20698464403232536,-0.07187813987405134,-0.016001627908947814,-0.3419113189351949,-0.008934251520678378,0.24179517592955146],[-0.16625345447743264,-0.1966313900368385,-0.21846270094353792,0.2501699221845517,0.07119934220862308,-0.12106102706113928,0.24071472273046066,-0.008828473509471435,0.2417951759295515,-0.39690739198181846]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-1.9638766629161888,"[1.,1.,1.,-1.,1.,1.,1.,1.,1.,1.]",-1,0.2258567810058593,CIA,,,-1.9638766629161888,"[1,1,1,-1,1,1,1,1,1,1]",12,12,12,12,-1.0,1000,7.12665867805481,,-1.0
1057,1,2025-08-24 16:49:20,"[[-0.7927452191603864,-0.691448960887677,-0.5728832691749288,0.05448191122208123,0.8757167234337111,0.0797320743073497,0.42792713806097116,0.7841771989995809,0.42275760160344666,-0.8954686890651377],[-0.6914489608876776,-0.459661803290917,-0.611511539857794,0.3328646830039547,0.6456745575041778,-0.6552527570667067,0.27640469178615495,0.6246717568290282,0.14664485700781996,-0.03270000442490921],[-0.5728832691749289,-0.6115115398577936,-0.29556796351865977,0.40241382343404825,0.15799604316262295,-0.2826954377488574,0.0684801347738776,0.23010884749247307,0.29694574909393995,0.2696054318024195],[0.05448191122208132,0.33286468300395483,0.4024138234340485,0.3630884656976484,0.07579825263853295,0.45316259864181774,0.20374449489852894,-0.05301666744160025,0.06605298090376986,0.09580936752592413],[0.8757167234337111,0.6456745575041773,0.15799604316262297,0.07579825263853313,-0.9202474127273468,-0.999999999999999,-0.013930762373172463,-0.298636201989565,0.15312656674907876,0.9792220694866782],[0.07973207430735015,-0.6552527570667062,-0.2826954377488574,0.4531625986418176,-1.0,-0.6396760124237522,0.0043150399628053,-0.1683843693303157,0.7011335836692923,0.8451694085381252],[0.4279271380609715,0.2764046917861546,0.06848013477387753,0.20374449489852905,-0.013930762373172914,0.004315039962804948,0.6955425989217561,-0.1801216060098194,-0.3394207145849077,0.36563200360365516],[0.7841771989995816,0.6246717568290284,0.23010884749247312,-0.053016667441600177,-0.29863620198956525,-0.1683843693303156,-0.1801216060098195,0.21408148269627664,0.15011830037338286,0.07830896422706349],[0.4227576016034468,0.14664485700781993,0.2969457490939399,0.06605298090376979,0.15312656674907868,0.7011335836692923,-0.339420714584908,0.15011830037338295,-0.19297959190102731,-0.19581947475767078],[-0.8954686890651381,-0.03270000442490935,0.26960543180241964,0.09580936752592394,0.9792220694866783,0.8451694085381247,0.36563200360365483,0.07830896422706342,-0.1958194747576706,-0.6855433703434669]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-4.374850321440053,"[1.,1.,1.,-1.,-1.,1.,-1.,-1.,-1.,1.]",-1,0.2412178516387939,CIA,,,-4.374850321440053,"[1,1,1,-1,-1,1,-1,-1,-1,1]",18,18,18,18,-1.0,1000,12.756270170211792,,-1.0
1058,1,2025-08-24 16:49:35,"[[0.053539636460544555,-0.590825595183758,0.2248043602165303,0.35659517181414413,-0.2048887202518637,-0.04782343390884723,-0.10845595885107438,0.04788220198059189,0.7311932853884446,0.6296416025138131],[-0.5908255951837581,-0.1169629180676742,0.34100966246912956,-0.16513148160426155,-0.7877096315849942,-0.4231205096739761,0.6417366690993654,0.3067711629381312,-0.3644280765687998,0.044337028860442156],[0.22480436021653036,0.34100966246912934,-1.0,0.02937362573219362,0.08429259971305132,-0.5559030363246624,-0.15198697104056424,0.34679668001739,-0.394412674035913,0.11484771458641246],[0.3565951718141441,-0.16513148160426155,0.029373625732193594,-0.5298500598479609,0.46058800638865777,0.5080206451154061,-0.25721755925713446,0.014184605995139312,0.32234618924318564,-0.21815184436464216],[-0.2048887202518635,-0.7877096315849936,0.08429259971305139,0.46058800638865777,-0.14254569247938004,0.10716954226798193,0.34845883332132,0.28383694784977154,-0.036496758875735676,0.6514449636377105],[-0.047823433908847614,-0.42312050967397624,-0.555903036324663,0.5080206451154063,0.10716954226798225,-0.140756786068307,-0.9090642028175255,0.07350056626014247,-0.24205453267355573,-0.10114228762920444],[-0.10845595885107409,0.641736669099365,-0.1519869710405644,-0.2572175592571346,0.3484588333213198,-0.909064202817525,-0.2290118957700045,0.8056187820037115,-0.39769572749674753,-0.25828127141997653],[0.04788220198059229,0.3067711629381311,0.3467966800173895,0.014184605995139158,0.28383694784977165,0.07350056626014255,0.8056187820037115,0.22567671834440803,-0.3034193186877411,0.2418832203381845],[0.7311932853884446,-0.3644280765688,-0.3944126740359131,0.3223461892431859,-0.036496758875735974,-0.24205453267355564,-0.3976957274967474,-0.30341931868774097,-0.05876932379837482,0.16165703389936661],[0.6296416025138133,0.04433702886044202,0.11484771458641232,-0.2181518443646423,0.6514449636377104,-0.10114228762920431,-0.2582812714199762,0.2418832203381846,0.1616570338993666,0.06991955726163397]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-3.456983308672028,"[-1.,1.,1.,-1.,1.,1.,1.,-1.,1.,-1.]",-1,0.224700927734375,CIA,,,-3.456983308672028,"[-1,1,1,-1,1,1,1,-1,1,-1]",25,25,25,25,-1.0,1000,14.7745041847229,,-1.0
1059,1,2025-08-24 16:49:54,"[[0.6190927578284712,0.07451095957391884,-0.045069702018940776,-0.033460589860562745,0.30979202213493756,0.7059044889377931,0.4243344668014961,-0.06937795196900352,-0.4013144565919369,0.07405653909958061],[0.07451095957391872,-0.5018001718262698,-0.13979085034562297,0.45608990722527737,-0.0514714077527937,-0.3022722395212145,-0.035735729111245076,0.18222134077308177,-0.05364276589830268,-0.43021565614900215],[-0.04506970201894047,-0.13979085034562308,-0.20545616111426346,-0.47779270644498867,-0.1179665293226219,0.8416318282233819,-0.17323551628816172,0.3830683978287332,0.06420611441808328,-0.3883858548048464],[-0.03346058986056266,0.45608990722527765,-0.4777927064449891,-0.0101592396790797,-0.38949245797688276,0.40201860894041985,-0.15242887529630977,-0.6447990782264179,0.5153713766890718,0.8038087125146373],[0.30979202213493784,-0.05147140775279369,-0.11796652932262161,-0.3894924579768829,0.0684801251998234,-0.09282952278824111,0.387116032725105,-0.36733289730466284,-0.0553085091220121,0.043919814888009806],[0.7059044889377931,-0.3022722395212145,0.8416318282233822,0.40201860894041974,-0.09282952278824148,-0.21877236623687757,-0.07503792658808378,0.8229638238712915,-0.7340676208863086,-0.4442887067628874],[0.42433446680149645,-0.035735729111244945,-0.17323551628816244,-0.15242887529630966,0.38711603272510536,-0.07503792658808396,0.40762823287312255,0.1267646116628879,-0.5083861610752605,-0.13445055710718792],[-0.06937795196900384,0.18222134077308166,0.38306839782873303,-0.644799078226417,-0.36733289730466356,0.8229638238712911,0.12676461166288816,0.5388077030410312,-0.11894191369361676,0.016312633191434243],[-0.4013144565919367,-0.053642765898302705,0.0642061144180839,0.5153713766890716,-0.055308509122011844,-0.7340676208863078,-0.5083861610752604,-0.11894191369361655,-0.45874046689398834,0.15839382620191728],[0.07405653909958056,-0.4302156561490023,-0.38838585480484616,0.8038087125146365,0.04391981488801012,-0.4442887067628872,-0.13445055710718787,0.016312633191434667,0.15839382620191728,-1.0]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-3.34416335693606,"[-1.,1.,-1.,-1.,-1.,1.,1.,-1.,1.,1.]",-1,0.222177505493164,CIA,,,-3.34416335693606,"[-1,1,-1,-1,-1,1,1,-1,1,1]",28,28,28,28,-1.0,1000,18.894051551818848,,-1.0
