Id (int),Valid (int),Updated (str),Matrix (mat),Size (int),Type (str),Rank (int),Density (flt),Stiffness (flt),Penalty (flt),Other (flt),Test_solver (str),Test (flt),Test_state (vec),Test_iterations (int),Test_time (flt),Train_solver (str),Preprocessing (str),Postprocessing (str),Train (flt),Train_state (vec),Train_iterations (int),Train_iterations_1 (int),Train_iterations_2 (int),Train_iterations_3 (int),Train_cost (flt),Train_shots (int),Train_time (flt),Flags (str),Baren (int)
0,0,0,0,0,0,0,0.0,0.0,-1,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0
1,1,2025-08-22 02:02:34,"[[-0.05230028640299917,-0.026883481811450866,-0.31531618723518473,0.09784783044505621,0.022205655570274707,0.18376045406055166,-0.2774815190373821,-0.401682828022756,-0.5856202622109387,-0.4248394061128064],[-0.026883481811450866,-0.08773330807177297,0.030697616275220888,-0.01046064788780992,-0.046013145603679806,0.28750427067522033,0.15838405063107985,0.05357869454576159,0.27920465649748627,0.0579105823504492],[-0.31531618723518473,0.030697616275220888,-0.2667150337682252,0.2944882276728664,0.009478177982724406,0.5547513122793923,-0.11164692925115478,0.10411030871278718,0.08616276664257433,-0.18493985680274927],[0.09784783044505621,-0.01046064788780992,0.2944882276728664,-0.17461989399669564,0.1834228964812319,-0.3255993415810647,-0.0005192292462524867,0.18151940536588476,-0.07625201003997323,0.1380711440928496],[0.022205655570274707,-0.046013145603679806,0.009478177982724406,0.1834228964812319,-0.015123550514763356,0.18202175321565164,0.01561645305474584,-0.0017145766618107058,0.40873769301855534,-0.020709059851392125],[0.18376045406055166,0.28750427067522033,0.5547513122793923,-0.3255993415810647,0.18202175321565164,-0.33859802916067994,0.2755411615154323,0.3760308412817229,0.2680796859479312,0.05942788857897703],[-0.2774815190373821,0.15838405063107985,-0.11164692925115478,-0.0005192292462524867,0.01561645305474584,0.2755411615154323,0.13219408445967057,0.08135089034532703,0.49240911042555163,-0.11493004247541888],[-0.401682828022756,0.05357869454576159,0.10411030871278718,0.18151940536588476,-0.0017145766618107058,0.3760308412817229,0.08135089034532703,0.17361881263689188,-0.005271797034077763,0.34609722926211595],[-0.5856202622109387,0.27920465649748627,0.08616276664257433,-0.07625201003997323,0.40873769301855534,0.2680796859479312,0.49240911042555163,-0.005271797034077763,0.4315337344112737,-0.13186306613534202],[-0.4248394061128064,0.0579105823504492,-0.18493985680274927,0.1380711440928496,-0.020709059851392125,0.05942788857897703,-0.11493004247541888,0.34609722926211595,-0.13186306613534202,0.20104708776945157]]",10,Stiff,-1,-1.0,1.0,-1,-1.0,-,-1.9645337617078296,"[1.,-1.,1.,-1.,-1.,-1.,1.,-1.,-1.,1.]",-1,0.9742028713226318,CIA,,,-1.9645337617078296,"[1,-1,1,-1,-1,-1,1,-1,-1,1]",13.0,13,13,13,-1.0,1000,35.85199689865112,,3
2,1,2025-08-22 02:03:53,"[[-0.22354486956963796,0.22485837774242218,0.12302376496204391,-0.45902710962179033,0.09906531050803957,-0.23390187171392204,-0.07986368733540733,0.2253327572502589,-0.46129938915710855,0.1701268585755064],[0.22485837774242218,-0.20854463295126482,0.0974593520960739,0.037369153016208585,0.041224046031733436,-0.013141805940275655,0.14185642190437603,0.04749659316433893,-0.041684834946151945,0.11925896339030033],[0.12302376496204391,0.0974593520960739,-0.14397138126551284,0.11714627259460114,-0.10564184647465333,-0.27392129739509885,0.05245928261029878,-0.2757617224103548,-0.24238033326360636,-0.18050262713017304],[-0.45902710962179033,0.037369153016208585,0.11714627259460114,-0.08447592628800295,-0.10028319251424689,0.22033096827912013,-0.3411299253133202,0.013386698390143142,0.02829507245110438,-0.013427647969738013],[0.09906531050803957,0.041224046031733436,-0.10564184647465333,-0.10028319251424689,-0.0577955764640437,-0.18882986984004058,0.1517554388076683,-0.09081244010329044,-0.20093786376183306,-0.209873170730789],[-0.23390187171392204,-0.013141805940275655,-0.27392129739509885,0.22033096827912013,-0.18882986984004058,0.24867638593821859,0.0011989462126487105,0.34773412556058436,-0.04508241381393903,-0.06499922344453712],[-0.07986368733540733,0.14185642190437603,0.05245928261029878,-0.3411299253133202,0.1517554388076683,0.0011989462126487105,-0.20830600193747725,0.03314451450157929,0.0035730667750015627,0.11378364666078439],[0.2253327572502589,0.04749659316433893,-0.2757617224103548,0.013386698390143142,-0.09081244010329044,0.34773412556058436,0.03314451450157929,0.2891964078505657,0.3667689875751356,0.29686102754090493],[-0.46129938915710855,-0.041684834946151945,-0.24238033326360636,0.02829507245110438,-0.20093786376183306,-0.04508241381393903,0.0035730667750015627,0.3667689875751356,-0.2943658872273697,0.010562130147654364],[0.1701268585755064,0.11925896339030033,-0.18050262713017304,-0.013427647969738013,-0.209873170730789,-0.06499922344453712,0.11378364666078439,0.29686102754090493,0.010562130147654364,0.23064237449549105]]",10,Stiff,-1,-1.0,1.0,-1,-1.0,-,-2.1286212511672047,"[1.,-1.,1.,1.,1.,1.,1.,-1.,1.,1.]",-1,1.0361096858978271,CIA,,,-2.1286212511672047,"[1,-1,1,1,1,1,1,-1,1,1]",25.0,25,15,25,-1.0,1000,78.69282722473145,,15
3,1,2025-08-22 02:04:08,"[[-0.11953841584095229,-0.2139373611322166,-0.07939534392601537,-0.1582576530964938,0.10663587633450415,0.26866096175841425,-0.31027342600223284,0.15157903551994162,0.07949241384293068,-0.2686391327300866],[-0.2139373611322166,-0.0018186027371579925,-0.25147286811914255,-0.22717797929507594,0.13949730252021697,0.08340713427271282,0.07862745793247566,-0.0619146328226484,-0.10663596545697349,0.07292869574968891],[-0.07939534392601537,-0.25147286811914255,-0.2470562968470773,-0.31656176198999086,0.2836894740039428,0.3638034481633454,-0.4469293799863047,0.19894322835639394,0.14673372692474232,-0.28178477298692556],[-0.1582576530964938,-0.22717797929507594,-0.31656176198999086,-0.3193729810152158,0.18376888741420835,0.30043779868113135,-0.34010752121836496,0.09533924268123706,0.07975023382623617,-0.22858212241755066],[0.10663587633450415,0.13949730252021697,0.2836894740039428,0.18376888741420835,-0.04789642674632874,-0.10515004897295882,0.07550373139367511,-0.003804114538791141,0.0254334092642753,0.08092582324154693],[0.26866096175841425,0.08340713427271282,0.3638034481633454,0.30043779868113135,-0.10515004897295882,-0.24635377115904206,-0.023190050948461424,0.014443026082147863,0.1251808015975363,0.002294228098066342],[-0.31027342600223284,0.07862745793247566,-0.4469293799863047,-0.34010752121836496,0.07550373139367511,-0.023190050948461424,0.3488723466612319,-0.1437352481085632,-0.24377066015223842,0.2834666200290181],[0.15157903551994162,-0.0619146328226484,0.19894322835639394,0.09533924268123706,-0.003804114538791141,0.014443026082147863,-0.1437352481085632,-0.013607124632915316,0.11858799213108129,-0.17943810537556074],[0.07949241384293068,-0.10663596545697349,0.14673372692474232,0.07975023382623617,0.0254334092642753,0.1251808015975363,-0.24377066015223842,0.11858799213108129,0.09166492063100588,-0.2366055689270412],[-0.2686391327300866,0.07292869574968891,-0.28178477298692556,-0.22858212241755066,0.08092582324154693,0.002294228098066342,0.2834666200290181,-0.17943810537556074,-0.2366055689270412,0.2312225409191017]]",10,Stiff,-1,-1.0,1.0,-1,-1.0,-,-2.6791163684582138,"[1.,1.,1.,1.,-1.,-1.,1.,-1.,1.,1.]",-1,1.0275399684906006,CIA,,,-2.6791163684582138,"[1,1,1,1,-1,-1,1,-1,1,1]",4.0,4,4,4,-1.0,1000,14.068875074386597,,-6
4,1,2025-08-22 02:04:53,"[[-0.097523680013127,0.14000074688618608,-0.2449204455560981,-0.15916356756802122,-0.17417210682168857,0.11496501232373715,0.07238722899474721,-0.35226473303850103,-0.5443490124062307,-0.01545710100237753],[0.14000074688618608,-0.10374325519696788,0.16179251927226992,0.022220619853160605,-0.014086995233501268,-0.07182502491495235,-0.08049828925136422,-0.10898215010367572,-0.016658334793057485,-0.021065196314480082],[-0.2449204455560981,0.16179251927226992,-0.41416186255189935,-0.1498799139008836,-0.14007416862925684,0.08221011817895943,0.15746837648364312,-0.13697220775338775,-0.528230016624998,-0.03975133067942846],[-0.15916356756802122,0.022220619853160605,-0.1498799139008836,0.11999989601220129,0.005722534169444744,0.04789510814175696,0.22242786468411735,0.22275718300771674,-0.04434733544494199,0.059678074382989034],[-0.17417210682168857,-0.014086995233501268,-0.14007416862925684,0.005722534169444744,-0.03771410446646301,0.025397098466998804,0.1846017509771319,0.07249597866900596,-0.11695397422557859,0.07524343734734394],[0.11496501232373715,-0.07182502491495235,0.08221011817895943,0.04789510814175696,0.025397098466998804,-0.03097667103501045,-0.09010282504236791,-0.07461149294911071,0.03610316088084409,-0.07036569417593755],[0.07238722899474721,-0.08049828925136422,0.15746837648364312,0.22242786468411735,0.1846017509771319,-0.09010282504236791,0.02148921073634952,0.4114153227182797,0.42564190923107276,0.010077287617459713],[-0.35226473303850103,-0.10898215010367572,-0.13697220775338775,0.22275718300771674,0.07249597866900596,-0.07461149294911071,0.4114153227182797,0.8389224738640685,0.2706229325330297,0.2361623602656059],[-0.5443490124062307,-0.016658334793057485,-0.528230016624998,-0.04434733544494199,-0.11695397422557859,0.03610316088084409,0.42564190923107276,0.2706229325330297,-0.36575584285127266,0.1699596644161935],[-0.01545710100237753,-0.021065196314480082,-0.03975133067942846,0.059678074382989034,0.07524343734734394,-0.07036569417593755,0.010077287617459713,0.2361623602656059,0.1699596644161935,-0.005113704915425323]]",10,Stiff,-1,-1.0,1.0,-1,-1.0,-,-2.4834300121071102,"[1.,-1.,1.,1.,1.,-1.,-1.,-1.,1.,-1.]",-1,1.034796953201294,CIA,,,-2.4834300121071102,"[1,-1,1,1,1,-1,-1,-1,1,-1]",19.0,19,19,19,-1.0,1000,43.917136669158936,,9
5,1,2025-08-22 02:05:47,"[[0.31838454263128513,-0.14752895857163542,-0.057531270884984914,-0.08906638586385741,0.1507892976100812,0.21456502606203323,-0.21865345671798225,0.1193963504953317,0.14119451984087764,-0.14908953554626683],[-0.14752895857163542,-0.0943429273023127,0.2508641525041076,-0.11584193591931996,-0.6092349959606103,0.06937962965843603,0.038291211002198,0.19606812230968032,-0.03901211749081518,0.18931517696064243],[-0.057531270884984914,0.2508641525041076,0.31782077844442935,-0.24219196942453186,-0.09941823848703848,-0.07529168963595301,0.23170234383937346,0.400003054369072,-0.14556809717430608,-0.03874126664385614],[-0.08906638586385741,-0.11584193591931996,-0.24219196942453186,-0.06654939884839187,-0.17035258417040533,0.10510171556029026,0.09234835592472429,-0.18332108876697295,0.17737150841613147,-0.04157122437287275],[0.1507892976100812,-0.6092349959606103,-0.09941823848703848,-0.17035258417040533,-0.08408309490081733,0.40006964732490724,-0.0661210565987494,0.036743137023905414,0.24450684045461663,-0.04084654817184051],[0.21456502606203323,0.06937962965843603,-0.07529168963595301,0.10510171556029026,0.40006964732490724,-0.05261226383250971,-0.09106443811950807,-0.14809682616577194,-0.15219024626215671,0.027061338021862696],[-0.21865345671798225,0.038291211002198,0.23170234383937346,0.09234835592472429,-0.0661210565987494,-0.09106443811950807,0.05478251814312977,0.18991702604070512,-0.25252497290567794,-0.0879318464975021],[0.1193963504953317,0.19606812230968032,0.400003054369072,-0.18332108876697295,0.036743137023905414,-0.14809682616577194,0.18991702604070512,0.0005562483598788509,-0.2739658533230913,0.2562190298436919],[0.14119451984087764,-0.03901211749081518,-0.14556809717430608,0.17737150841613147,0.24450684045461663,-0.15219024626215671,-0.25252497290567794,-0.2739658533230913,0.05131250365079725,-0.006598724863049188],[-0.14908953554626683,0.18931517696064243,-0.03874126664385614,-0.04157122437287275,-0.04084654817184051,0.027061338021862696,-0.0879318464975021,0.2562190298436919,-0.006598724863049188,0.23080973511297614]]",10,Stiff,-1,-1.0,1.0,-1,-1.0,-,-1.2523014985210563,"[1.,1.,-1.,1.,1.,-1.,1.,-1.,-1.,1.]",-1,0.594017744064331,CIA,,,-1.2523014985210563,"[1,1,-1,1,1,-1,1,-1,-1,1]",26.0,26,11,26,-1.0,1000,54.01956057548523,,16
6,1,2025-08-22 02:06:01,"[[0.15582193036347755,-0.20152831610739064,-0.5751867940758228,0.04866085019170286,0.03745123580457903,-0.45890935498848684,-0.024832711109204635,0.08224560650510093,-0.010571033699254596,0.1857925319216454],[-0.20152831610739064,-0.10141432132643377,-0.389930853271853,0.19860409199682036,-0.10561278938267643,-0.05822889910550624,-0.18387326841635265,-0.11920492372501344,0.16475434412660067,0.19175890677204308],[-0.5751867940758228,-0.389930853271853,0.029103568926379112,-0.08211851530132372,-0.0014382559030088962,-0.012858710268196127,0.21495081507338437,-0.15831971502294903,-0.11511882959998337,0.40453252556537633],[0.04866085019170286,0.19860409199682036,-0.08211851530132372,0.10357081973935893,-0.06066055561983555,-0.41495966273988405,-0.032210098139341975,-0.28397734056193963,0.06059359850204918,0.019972551779864112],[0.03745123580457903,-0.10561278938267643,-0.0014382559030088962,-0.06066055561983555,0.1815902081785105,0.25815557975396414,0.2797141758767374,-0.12794065916937897,0.021882932448379522,0.38792435458322555],[-0.45890935498848684,-0.05822889910550624,-0.012858710268196127,-0.41495966273988405,0.25815557975396414,0.6043802802627755,0.2661401819532708,-0.15838109404199474,-0.36697270907202734,0.23429047736104694],[-0.024832711109204635,-0.18387326841635265,0.21495081507338437,-0.032210098139341975,0.2797141758767374,0.2661401819532708,-0.02620630323731287,-0.22650035906264515,0.11318363524001396,-0.03712894792157116],[0.08224560650510093,-0.11920492372501344,-0.15831971502294903,-0.28397734056193963,-0.12794065916937897,-0.15838109404199474,-0.22650035906264515,0.18737315264921034,0.12919952531804654,0.1087902120985427],[-0.010571033699254596,0.16475434412660067,-0.11511882959998337,0.06059359850204918,0.021882932448379522,-0.36697270907202734,0.11318363524001396,0.12919952531804654,-0.016910878235982335,-0.08973097149599782],[0.1857925319216454,0.19175890677204308,0.40453252556537633,0.019972551779864112,0.38792435458322555,0.23429047736104694,-0.03712894792157116,0.1087902120985427,-0.08973097149599782,-0.27143962145937917]]",10,Stiff,-1,-1.0,1.0,-1,-1.0,-,-2.230814358984752,"[1.,1.,1.,1.,-1.,1.,-1.,1.,1.,-1.]",-1,1.0316998958587646,CIA,,,-2.230814358984752,"[1,1,1,1,-1,1,-1,1,1,-1]",5.0,5,5,5,-1.0,1000,11.0781991481781,,-5
7,1,2025-08-22 02:06:26,"[[-0.045361046418265466,0.19061063311707754,0.07827795913229485,-0.1648455907007304,0.04951917953198974,0.09759771642874927,-0.018629654050517926,0.1752142351609888,-0.10150447083511976,0.023869091042645278],[0.19061063311707754,0.1442278488791822,-0.07687090644819641,-0.2304290389996233,0.14594318500998055,-0.06292728181481891,-0.29360220186565,0.29899448795249767,-0.04784289147188517,-0.04373770316208481],[0.07827795913229485,-0.07687090644819641,-0.07524780739871897,0.17367784293901575,-0.11949061776003492,-0.28267386060717076,0.13244437759443184,-0.09761607750144222,0.011038098765227468,-0.20922750396997836],[-0.1648455907007304,-0.2304290389996233,0.17367784293901575,-0.28133495143329545,-0.07794097692415061,0.3559945673226567,0.17221930061834356,-0.39979807138530565,-0.09280588597198394,0.4686958799101563],[0.04951917953198974,0.14594318500998055,-0.11949061776003492,-0.07794097692415061,0.1456453359897993,0.02876906665036208,-0.17605804101796468,0.3334092723696514,0.021418992192065264,-0.3075183792987573],[0.09759771642874927,-0.06292728181481891,-0.28267386060717076,0.3559945673226567,0.02876906665036208,-0.3060919429087145,-0.14063978712501807,0.4279686713107969,-0.13683840300709932,-0.30415092707021585],[-0.018629654050517926,-0.29360220186565,0.13244437759443184,0.17221930061834356,-0.17605804101796468,-0.14063978712501807,0.1375135839600168,-0.3111573833952532,-0.1851552609468902,-0.087244686584549],[0.1752142351609888,0.29899448795249767,-0.09761607750144222,-0.39979807138530565,0.3334092723696514,0.4279686713107969,-0.3111573833952532,0.02739538901479592,0.11757312934143731,0.06843809420302674],[-0.10150447083511976,-0.04784289147188517,0.011038098765227468,-0.09280588597198394,0.021418992192065264,-0.13683840300709932,-0.1851552609468902,0.11757312934143731,-0.13995370617842096,0.019372802662925043],[0.023869091042645278,-0.04373770316208481,-0.20922750396997836,0.4686958799101563,-0.3075183792987573,-0.30415092707021585,-0.087244686584549,0.06843809420302674,0.019372802662925043,-0.2282296448509089]]",10,Stiff,-1,-1.0,1.0,-1,-1.0,-,-1.9762861055285408,"[-1.,1.,1.,-1.,1.,1.,1.,-1.,1.,1.]",-1,1.0175457000732422,CIA,,,-1.9762861055285408,"[-1,1,1,-1,1,1,1,-1,1,1]",10.0,10,10,10,-1.0,1000,24.23841142654419,,0
8,1,2025-08-22 02:08:16,"[[-0.729803965057346,0.4552518700115382,0.36018718519243303,0.2763949455383845,0.3780147241995806,-0.4608318814833505,0.3570655263667061,0.3133461546309676,0.21295033616847137,-0.04949314880749091],[0.4552518700115382,-0.5935573741396138,0.16520472422313692,-0.21335888572482173,0.14906985441432857,-0.09726219510146686,-0.2654593328845304,-0.1850679078740566,-0.061513735659790236,-0.34040459547481094],[0.36018718519243303,0.16520472422313692,0.04381214769359947,-0.3121795632367867,0.1626828294161716,0.3156404109641567,-0.010994694418629963,-0.042275085223064765,0.06271911698762081,-0.4762280277320013],[0.2763949455383845,-0.21335888572482173,-0.3121795632367867,-0.5523008833799097,-0.06271518349639715,0.22261986741390077,0.2999097139382967,-0.2512110315164871,-0.5842369302617242,0.1263845598273714],[0.3780147241995806,0.14906985441432857,0.1626828294161716,-0.06271518349639715,-0.1513912081778007,0.3874907742947836,-0.3758798394543049,-0.06053240073855323,0.08298353608140821,-0.22638374180137394],[-0.4608318814833505,-0.09726219510146686,0.3156404109641567,0.22261986741390077,0.3874907742947836,-0.8316024198551801,0.14013788399714514,0.16289116922652408,-0.21060403805126565,0.5062228124327967],[0.3570655263667061,-0.2654593328845304,-0.010994694418629963,0.2999097139382967,-0.3758798394543049,0.14013788399714514,-0.4294146579374779,-0.12177634123373617,-0.0405613494242259,0.3490306009767249],[0.3133461546309676,-0.1850679078740566,-0.042275085223064765,-0.2512110315164871,-0.06053240073855323,0.16289116922652408,-0.12177634123373617,-0.2239372078037301,-0.16979225747576882,-0.09641601435754393],[0.21295033616847137,-0.061513735659790236,0.06271911698762081,-0.5842369302617242,0.08298353608140821,-0.21060403805126565,-0.0405613494242259,-0.16979225747576882,0.015312656777970161,-0.2830120108904896],[-0.04949314880749091,-0.34040459547481094,-0.4762280277320013,0.1263845598273714,-0.22638374180137394,0.5062228124327967,0.3490306009767249,-0.09641601435754393,-0.2830120108904896,-0.468865554745649]]",10,Stiff,-1,-1.0,1.0,-1,-1.0,-,-3.103750018209004,"[-1.,1.,1.,1.,1.,-1.,1.,1.,1.,1.]",-1,1.0888502597808838,CIA,,,-3.103750018209004,"[-1,1,1,1,1,-1,1,1,1,1]",50.0,50,50,50,-1.0,1000,110.18307757377625,,40
9,1,2025-08-22 02:08:43,"[[0.24153287567939916,-0.03579310635323575,-0.31290708608017914,0.3254144924077754,0.042898414616547906,0.38489295604054213,0.15785182835632464,0.24777824030644469,-0.3502264307649395,-0.23223142648355136],[-0.03579310635323575,0.20662592124886564,0.031896754489348755,-0.2012554067892771,-0.07992073480700564,-0.11720928890744732,-0.31595513925427543,-0.3409999757806169,-0.19392126555915737,0.048502630762106924],[-0.31290708608017914,0.031896754489348755,0.20767917146510076,0.021581375902385777,-0.12743934535856427,0.1516920530356876,-0.08419960197321702,-0.07231166434735205,0.018815474543821376,-0.04380252107713129],[0.3254144924077754,-0.2012554067892771,0.021581375902385777,0.2666475686458027,0.19972918307381354,0.14571661076428066,0.5591546892565267,0.39016888164947194,0.2738911004587405,0.20548897153438994],[0.042898414616547906,-0.07992073480700564,-0.12743934535856427,0.19972918307381354,0.03560417504451035,0.07965843029749109,0.1096937852730793,0.12715201487819836,-0.009286663087296934,-0.09322279219200044],[0.38489295604054213,-0.11720928890744732,0.1516920530356876,0.14571661076428066,0.07965843029749109,0.08042271809580448,0.4766710614254925,0.17021715682469918,0.26644208127903796,0.3786697391459851],[0.15785182835632464,-0.31595513925427543,-0.08419960197321702,0.5591546892565267,0.1096937852730793,0.4766710614254925,0.6587031945723061,0.4209373870344346,0.22855677165441013,-0.24200103054211608],[0.24777824030644469,-0.3409999757806169,-0.07231166434735205,0.39016888164947194,0.12715201487819836,0.17021715682469918,0.4209373870344346,-0.002555946536843308,0.45593596107791656,0.2834850714885188],[-0.3502264307649395,-0.19392126555915737,0.018815474543821376,0.2738911004587405,-0.009286663087296934,0.26644208127903796,0.22855677165441013,0.45593596107791656,0.04739906701897711,-0.6031414227684099],[-0.23223142648355136,0.048502630762106924,-0.04380252107713129,0.20548897153438994,-0.09322279219200044,0.3786697391459851,-0.24200103054211608,0.2834850714885188,-0.6031414227684099,-0.8525883184412804]]",10,Stiff,-1,-1.0,1.0,-1,-1.0,-,-2.905787734672945,"[1.,1.,1.,-1.,1.,-1.,-1.,-1.,1.,1.]",-1,1.0955994129180908,CIA,,,-2.905787734672945,"[1,1,1,-1,1,-1,-1,-1,1,1]",11.0,11,11,11,-1.0,1000,25.86187148094177,,1
