Id (int),Valid (int),Updated (str),Matrix (mat),Size (int),Type (str),Rank (int),Density (flt),Stiffness (flt),Other (flt),Test_solver (str),Test (flt),Test_state (vec),Test_iterations (int),Test_time (flt),Train_solver (str),Preprocessing (str),Postprocessing (str),Train (flt),Train_state (vec),Train_iterations_1 (int),Train_iterations_2 (int),Train_iterations_3 (int),Train_cost (flt),Train_shots (int),Train_time (flt),Flags (str)
0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0
1,1,2025-08-20 23:23:59,"[[-0.05758258568130553,-0.1091651328596801,-0.10623664326879191,-0.14819207025596567,-0.13395622336310092,-0.22639625525199975,-0.09815954670499777,-0.15958119580689678,-0.07277021315439616,-0.05404756564247186],[-0.1091651328596801,0.05564629730635241,0.2744687756675914,-0.10590622280579487,0.10490823421250207,0.03176752866330357,-0.25748060173042536,-0.014818052859663457,-0.15281031128594666,-0.04576493852388895],[-0.10623664326879191,0.2744687756675914,0.6801262968214169,0.07726135097664719,0.3823471752151861,0.42749868791765677,-0.2970122702469181,0.21756597492194632,-0.17275199220816867,0.012804416484767045],[-0.14819207025596567,-0.10590622280579487,0.07726135097664719,-0.2440223127083341,-0.09403558726303475,-0.24329173267127155,-0.304721442210068,-0.20981569030004396,-0.1962257464911712,-0.0909457044433245],[-0.13395622336310092,0.10490823421250207,0.3823471752151861,-0.09403558726303475,0.17114290533502927,0.09924341065803233,-0.3138425481362715,0.024767087793699842,-0.18692722633234604,-0.051691748066382666],[-0.22639625525199975,0.03176752866330357,0.42749868791765677,-0.24329173267127155,0.09924341065803233,-0.059707869943954585,-0.5042468834192646,-0.11839547927819521,-0.3134760819744128,-0.10742166999702983],[-0.09815954670499777,-0.25748060173042536,-0.2970122702469181,-0.304721442210068,-0.3138425481362715,-0.5042468834192646,-0.16849371821370138,-0.3549880438317222,-0.12289200434187138,-0.11109819129748186],[-0.15958119580689678,-0.014818052859663457,0.21756597492194632,-0.20981569030004396,0.024767087793699842,-0.11839547927819521,-0.3549880438317222,-0.12689833010118393,-0.21605649111604786,-0.09391830183658506],[-0.07277021315439616,-0.15281031128594666,-0.17275199220816867,-0.1962257464911712,-0.18692722633234604,-0.3134760819744128,-0.12289200434187138,-0.21605649111604786,-0.09021646934048702,-0.0771397644413997],[-0.05404756564247186,-0.04576493852388895,0.012804416484767045,-0.0909457044433245,-0.051691748066382666,-0.10742166999702983,-0.11109819129748186,-0.09391830183658506,-0.0771397644413997,-0.03666466274999523]]",10,Random,10,-1.0,-1.0,-1.0,-,-4.28533643436894,"[1.,1.,-1.,1.,1.,1.,1.,1.,1.,1.]",-1,0.2280769348144531,-,-,-,-4.28533643436894,"[1,1,-1,1,1,1,1,1,1,1]",38,-1,-1,-1.0,-1,1363.6621973514557,
2,1,2025-08-20 23:30:05,"[[-0.10404497730313168,-0.3213816824249777,-0.08649378853117307,-0.31150186156191634,-0.12294681470784019,-0.06833820875443783,-0.40462389366821805,-0.1790957564480511,0.03202700021869946,-0.21962695321082787],[-0.3213816824249777,-0.5431002207693372,-0.14170689046006707,-0.17081112841408502,-0.298431159328292,0.07687977110446627,-0.6583555183326457,-0.38554328629349044,0.27902480488855497,-0.5271844331183493],[-0.08649378853117307,-0.14170689046006707,-0.038093133826481496,-0.04184180274184386,-0.07940677176972846,0.022291511241963397,-0.1701747984495529,-0.10075536844167429,0.07479959298437373,-0.14002882091901933],[-0.31150186156191634,-0.17081112841408502,-0.04184180274184386,0.496752018678718,-0.2401299854446188,0.3211300424742213,-0.15508247013536688,-0.23999017793736613,0.4185891772359145,-0.3983955634018042],[-0.12294681470784019,-0.298431159328292,-0.07940677176972846,-0.2401299854446188,-0.12617439104486466,-0.03558218488888787,-0.3745456121195423,-0.17992306607871156,0.06559680885764049,-0.22965508435969728],[-0.06833820875443783,0.07687977110446627,0.022291511241963397,0.3211300424742213,-0.03558218488888787,0.14892569238315806,0.1197168510829523,-0.010425194355485307,0.14050317941907928,-0.05084792083180553],[-0.40462389366821805,-0.6583555183326457,-0.1701747984495529,-0.15508247013536688,-0.3745456121195423,0.1197168510829523,-0.793475703608998,-0.477917683195895,0.3667982336852934,-0.6572394852642779],[-0.1790957564480511,-0.38554328629349044,-0.10075536844167429,-0.23999017793736613,-0.17992306607871156,-0.010425194355485307,-0.477917683195895,-0.24713947642697548,0.12445855012370899,-0.32139121750741195],[0.03202700021869946,0.27902480488855497,0.07479959298437373,0.4185891772359145,0.06559680885764049,0.14050317941907928,0.3667982336852934,0.12445855012370899,0.060292692852963556,0.12634588718207995],[-0.21962695321082787,-0.5271844331183493,-0.14002882091901933,-0.3983955634018042,-0.22965508435969728,-0.05084792083180553,-0.6572394852642779,-0.32139121750741195,0.12634588718207995,-0.41129531668180486]]",10,Random,10,-1.0,-1.0,-1.0,-,-6.720325177671665,"[1.,1.,1.,1.,1.,-1.,1.,1.,-1.,1.]",-1,0.224884033203125,-,-,-,-5.940870369445366,"[1,1,-1,1,1,-1,1,1,-1,1]",-1,-1,-1,-1.0,-1,1729.2265393733978,Baren_49
3,1,2025-08-20 23:28:03,"[[0.34849548788153545,0.22184526280973052,-0.17970525560544792,0.1325681393660363,0.2862847320453666,-0.019017237476328136,0.23264347751727388,0.43120002358073545,0.21144431377266296,0.0934365238955924],[0.22184526280973052,-0.07240105076752221,-0.47334882732656935,-0.24224028636506886,0.043480979038981134,-0.27228770901170096,-0.036464602901657615,0.2713816883099325,0.2848007581451899,-0.07292599812192041],[-0.17970525560544792,-0.47334882732656935,-0.5102552957594282,-0.6122501500531499,-0.37971098927059055,-0.4266875474354096,-0.4297038697713858,-0.22942494955888684,0.14211474412111047,-0.27091579132047966],[0.1325681393660363,-0.24224028636506886,-0.6122501500531499,-0.44717339826801017,-0.10430597495202684,-0.4024532853592989,-0.19302150799553602,0.15571616201649902,0.3084770567129612,-0.16849805227789974],[0.2862847320453666,0.043480979038981134,-0.37971098927059055,-0.10430597495202684,0.14392343439980632,-0.1836698065180138,0.07091590683556154,0.35129277991605223,0.27096145036838126,-0.00983669697145393],[-0.019017237476328136,-0.27228770901170096,-0.4266875474354096,-0.4024532853592989,-0.1836698065180138,-0.3156510328245958,-0.2367966098677974,-0.028024044625673233,0.17086597391648006,-0.1664068704562841],[0.23264347751727388,-0.036464602901657615,-0.4297038697713858,-0.19302150799553602,0.07091590683556154,-0.2367966098677974,-0.004271084083318577,0.2843822474884654,0.2704741577109921,-0.052343335551110655],[0.43120002358073545,0.2713816883099325,-0.22942494955888684,0.15571616201649902,0.35129277991605223,-0.028024044625673233,0.2843822474884654,0.5356276922110684,0.2648446389170631,0.11436592986194671],[0.21144431377266296,0.2848007581451899,0.14211474412111047,0.3084770567129612,0.27096145036838126,0.17086597391648006,0.2704741577109921,0.2648446389170631,0.023233406132424788,0.15011926317381435],[0.0934365238955924,-0.07292599812192041,-0.27091579132047966,-0.16849805227789974,-0.00983669697145393,-0.1664068704562841,-0.052343335551110655,0.11436592986194671,0.15011926317381435,-0.056870304360131366]]",10,Random,10,-1.0,-1.0,-1.0,-,-5.055379057806653,"[-1.,1.,1.,1.,1.,1.,1.,-1.,-1.,1.]",-1,0.2253708839416504,-,-,-,-5.055379057806653,"[-1,1,1,1,-1,1,1,-1,-1,1]",47,-1,-1,-1.0,-1,1607.225746870041,
4,1,2025-08-20 23:18:30,"[[0.16966701230245715,0.20176789519699045,0.10063388776310692,0.19429508172526927,0.09037213306028663,0.031487424488049864,0.26513557242774594,0.025693946156699468,-0.03022061493734074,-0.05963391900137671],[0.20176789519699045,0.23878498094537629,0.12390414288353488,0.27569341093502553,0.10905193782766509,0.06360498423352301,0.31775034478853725,0.04699417277864058,-0.02202727228595716,-0.052860723589803704],[0.10063388776310692,0.12390414288353488,0.050415564449858376,0.0053967981087594125,0.050119983004583576,-0.04386878852659566,0.15123153102392675,-0.026552281533193015,-0.05368254819857175,-0.08058109563951807],[0.19429508172526927,0.27569341093502553,0.0053967981087594125,-1.0,0.06290828405260514,-0.6760268250584525,0.2360055703870734,-0.4227847991304503,-0.4207378634539697,-0.5714193550088945],[0.09037213306028663,0.10905193782766509,0.050119983004583576,0.06290828405260514,0.04532435262361312,-0.007860344515203482,0.13889430813236248,-9.285557563463304e-05,-0.027395139574848532,-0.04787034862011389],[0.031487424488049864,0.06360498423352301,-0.04386878852659566,-0.6760268250584525,-0.007860344515203482,-0.40616321671966293,0.009941283838493215,-0.26034069701442114,-0.23177864254345504,-0.30338256043172873],[0.26513557242774594,0.31775034478853725,0.15123153102392675,0.2360055703870734,0.13889430813236248,0.009941283838493215,0.4105830960647185,0.015081364477014844,-0.0686126198477115,-0.12095227091157043],[0.025693946156699468,0.04699417277864058,-0.026552281533193015,-0.4227847991304503,-9.285557563463304e-05,-0.26034069701442114,0.015081364477014844,-0.16272251841374294,-0.14717946486866904,-0.19623901582471903],[-0.03022061493734074,-0.02202727228595716,-0.05368254819857175,-0.4207378634539697,-0.027395139574848532,-0.23177864254345504,-0.0686126198477115,-0.14717946486866904,-0.11671733802199383,-0.14925299234469352],[-0.05963391900137671,-0.052860723589803704,-0.08058109563951807,-0.5714193550088945,-0.04787034862011389,-0.30338256043172873,-0.12095227091157043,-0.19623901582471903,-0.14925299234469352,-0.18641591379619266]]",10,Random,10,-1.0,-1.0,-1.0,-,-3.8735736022912968,"[-1.,-1.,1.,1.,-1.,1.,-1.,1.,1.,1.]",-1,0.2268550395965576,-,-,-,-3.8735736022912968,"[-1,-1,1,1,-1,1,-1,1,1,1]",25,-1,-1,-1.0,-1,1034.639157295227,
5,1,2025-08-20 23:30:20,"[[-0.283090869156692,-0.1792448574234498,-0.1718552690779532,0.1496054834919638,-0.2020991204165506,-0.6153893323866845,0.29849054698893496,0.0634930251372444,0.29275911706429625,-0.15983157071416662],[-0.1792448574234498,-0.049928597117631,-0.14707765603300835,-0.029574908964540618,-0.1706507500850411,-0.22434779340487926,0.0029010560936762117,-0.07234681632439847,0.0214021512576433,-0.1423833282662618],[-0.1718552690779532,-0.14707765603300835,-0.08091108289728584,0.16665487461044023,-0.09623082336143535,-0.47308811688643615,0.2940038475134768,0.10711872689817736,0.2772283056577342,-0.07169697739535037],[0.1496054834919638,-0.029574908964540618,0.16665487461044023,0.16690519552996927,0.192673328535226,0.0018855595278575166,0.20806328574591362,0.18862729896361452,0.1678228489711128,0.16710022280922313],[-0.2020991204165506,-0.1706507500850411,-0.09623082336143535,0.192673328535226,-0.11528156331504778,-0.552237412147988,0.3403792123743275,0.12204669613353468,0.32143756597275774,-0.08554256591076653],[-0.6153893323866845,-0.22434779340487926,-0.47308811688643615,0.0018855595278575166,-0.552237412147988,-0.9100155662529912,0.1657679891370174,-0.1554378131218697,0.21096887917579016,-0.45548816241566176],[0.29849054698893496,0.0029010560936762117,0.2940038475134768,0.20806328574591362,0.3403792123743275,0.1657679891370174,0.23112102551042182,0.2643057053073717,0.17244708735131287,0.29067432780690317],[0.0634930251372444,-0.07234681632439847,0.10711872689817736,0.18862729896361452,0.12204669613353468,-0.1554378131218697,0.2643057053073717,0.1863388922974258,0.22651481966102996,0.10998023929524892],[0.29275911706429625,0.0214021512576433,0.2772283056577342,0.1678228489711128,0.32143756597275774,0.21096887917579016,0.17244708735131287,0.22651481966102996,0.12134841949484648,0.2730601260971378],[-0.15983157071416662,-0.1423833282662618,-0.07169697739535037,0.16710022280922313,-0.08554256591076653,-0.45548816241566176,0.29067432780690317,0.10998023929524892,0.2730601260971378,-0.06251503400822808]]",10,Random,10,-1.0,-1.0,-1.0,-,-4.572250060631399,"[1.,1.,1.,-1.,1.,1.,-1.,-1.,-1.,1.]",-1,0.2256062030792236,-,-,-,-3.571845676428573,"[-1,1,-1,-1,1,1,-1,-1,-1,1]",-1,-1,-1,-1.0,-1,1744.0742356777191,
6,1,2025-08-20 23:29:36,"[[0.015619156794704402,0.06050282366630215,-0.42532247092683595,-0.048634994311692256,0.2695505732523623,0.09992469373713299,0.12953620773625946,-0.28940163684064013,0.34393238350878436,0.2815565951153677],[0.06050282366630215,0.12022262007921919,-0.46881989124885576,-0.04610153968593983,0.350881780947267,0.1544771946273839,0.15857034622955368,-0.29256687085759536,0.4178572104037513,0.3526001532469241],[-0.42532247092683595,-0.46881989124885576,-0.5205066800126971,-0.13618795179482607,-0.2141603107792554,-0.3250576657195053,-0.007437553839599972,-0.6172122282718959,0.015994039225223133,-0.10708764234255222],[-0.048634994311692256,-0.04610153968593983,-0.13618795179482607,-0.024956442954691807,0.020548526044352422,-0.02248244323417166,0.021197097368219522,-0.12448248807587142,0.060847984886369964,0.03489783149924606],[0.2695505732523623,0.350881780947267,-0.2141603107792554,0.020548526044352422,0.4565537233266553,0.3137645525849042,0.16212735307060772,0.009627172210736168,0.40998469052607056,0.40476500601444754],[0.09992469373713299,0.1544771946273839,-0.3250576657195053,-0.02248244323417166,0.3137645525849042,0.1650211937974685,0.1309184933548813,-0.167836951539369,0.34070632208008084,0.3018888808250021],[0.12953620773625946,0.15857034622955368,-0.007437553839599972,0.021197097368219522,0.16212735307060772,0.1309184933548813,0.04990736207263058,0.07105387540069943,0.12265760328602296,0.13568499587331284],[-0.28940163684064013,-0.29256687085759536,-0.6172122282718959,-0.12448248807587142,0.009627172210736168,-0.167836951539369,0.07105387540069943,-0.6028770100573418,0.2136556856809489,0.09001153567789263],[0.34393238350878436,0.4178572104037513,0.015994039225223133,0.060847984886369964,0.40998469052607056,0.34070632208008084,0.12265760328602296,0.2136556856809489,0.2990612586395707,0.3381391825883827],[0.2815565951153677,0.3526001532469241,-0.10708764234255222,0.03489783149924606,0.40476500601444754,0.3018888808250021,0.13568499587331284,0.09001153567789263,0.3381391825883827,0.3549472506996301]]",10,Random,10,-1.0,-1.0,-1.0,-,-3.782456147549307,"[1.,1.,1.,1.,-1.,1.,-1.,1.,-1.,-1.]",-1,0.2281932830810547,-,-,-,-2.1615678805512166,"[-1,-1,1,1,-1,-1,1,1,-1,-1]",-1,-1,-1,-1.0,-1,1700.1902959346771,
7,1,2025-08-20 23:29:52,"[[0.41803774440597824,0.15361626844954282,0.3050420149276748,0.3368023327570755,0.39658933227830645,0.41430403152390105,0.14836196774300497,0.23001020609870612,-0.08065602895104618,0.40602147004059075],[0.15361626844954282,-0.026670062211142025,-0.05865651549873769,-0.034192330692071185,0.12744724071621977,0.04676244455853126,-0.2078400232067885,-0.012938221959619293,-0.2451318711464029,0.13751039333841616],[0.3050420149276748,-0.05865651549873769,-0.1183407975139018,-0.07233011698815048,0.2578057890627946,0.08752051996626406,-0.439342454953552,-0.03475666125233764,-0.5000547818581798,0.26892162015466253],[0.3368023327570755,-0.034192330692071185,-0.07233011698815048,-0.027790891722125812,0.28938635609677493,0.13215470212587904,-0.38147204007674335,0.0003612960639842056,-0.4723570498520683,0.306804787220878],[0.39658933227830645,0.12744724071621977,0.2578057890627946,0.28938635609677493,0.37573657589346904,0.3711810714212916,0.0763611999747241,0.19412148676904878,-0.12376955638013915,0.3793072672261922],[0.41430403152390105,0.04676244455853126,0.08752051996626406,0.13215470212587904,0.3711810714212916,0.27904183603123667,-0.18138289836951477,0.1077851961286867,-0.35209340646971427,0.39041208505011704],[0.14836196774300497,-0.2078400232067885,-0.439342454953552,-0.38147204007674335,0.0763611999747241,-0.18138289836951477,-0.7705546057671671,-0.22599852145598595,-0.7132922941698275,0.10417438641681381],[0.23001020609870612,-0.012938221959619293,-0.03475666125233764,0.0003612960639842056,0.19412148676904878,0.1077851961286867,-0.22599852145598595,0.010488782384618908,-0.3000992219485776,0.20600564375560748],[-0.08065602895104618,-0.2451318711464029,-0.5000547818581798,-0.4723570498520683,-0.12376955638013915,-0.35209340646971427,-0.7132922941698275,-0.3000992219485776,-0.5446711650366811,-0.11240941235486551],[0.40602147004059075,0.13751039333841616,0.26892162015466253,0.306804787220878,0.3793072672261922,0.39041208505011704,0.10417438641681381,0.20600564375560748,-0.11240941235486551,0.38682786511029854]]",10,Random,10,-1.0,-1.0,-1.0,-,-4.783628448936494,"[-1.,1.,1.,1.,-1.,1.,1.,1.,1.,-1.]",-1,0.2251484394073486,-,-,-,-3.599584995584336,"[-1,1,-1,1,-1,-1,1,1,1,-1]",-1,-1,-1,-1.0,-1,1716.5091180801392,
8,1,2025-08-20 23:29:53,"[[0.13977905396710508,0.09201648498666541,-0.14878156115479205,0.18130705929025248,0.12680337178912215,0.17103941098675052,0.029889328244299528,0.043570806806556735,0.17035622576814935,-0.008535397813944166],[0.09201648498666541,0.05623353031205647,-0.02355562468692335,0.10715013985841662,0.08496350877089764,0.09465945110055035,0.024199620324246933,0.04124444653530383,0.12095604415742219,0.0017848120929685428],[-0.14878156115479205,-0.02355562468692335,-0.9999999999999999,0.0019945344255868636,-0.1481156496751517,0.07939920743588844,-0.09482169236649277,-0.25209409627649976,-0.324937368901453,-0.09882587231656595],[0.18130705929025248,0.10715013985841662,0.0019945344255868636,0.20262782821933203,0.16693683135994716,0.17832633436813922,0.04924009182932743,0.09143583126663388,0.24541390315056083,0.006916136488785904],[0.12680337178912215,0.08496350877089764,-0.1481156496751517,0.16693683135994716,0.1159575895358262,0.15557335773006908,0.027126103403904603,0.0354417607349531,0.1524855811880627,-0.008099955127783972],[0.17103941098675052,0.09465945110055035,0.07939920743588844,0.17832633436813922,0.15557335773006908,0.14599046027256812,0.05093755148164689,0.09882840348581026,0.23750135755089444,0.014875236180350757],[0.029889328244299528,0.024199620324246933,-0.09482169236649277,0.04924009182932743,0.027126103403904603,0.05093755148164689,0.002893325312761675,-0.002259482168289446,0.029338433289507086,-0.0078117016640205095],[0.043570806806556735,0.04124444653530383,-0.25209409627649976,0.09143583126663388,0.0354417607349531,0.09882840348581026,-0.002259482168289446,-0.02262064357833654,0.026153309088331748,-0.021887529292236932],[0.17035622576814935,0.12095604415742219,-0.324937368901453,0.24541390315056083,0.1524855811880627,0.23750135755089444,0.029338433289507086,0.026153309088331748,0.18809140835719465,-0.022669251048773473],[-0.008535397813944166,0.0017848120929685428,-0.09882587231656595,0.006916136488785904,-0.008099955127783972,0.014875236180350757,-0.0078117016640205095,-0.021887529292236932,-0.022669251048773473,-0.00984635886815454]]",10,Random,10,-1.0,-1.0,-1.0,-,-1.589200307596618,"[-1.,-1.,1.,-1.,-1.,-1.,1.,1.,1.,1.]",-1,0.2274150848388672,-,-,-,-1.3911311342028274,"[-1,-1,-1,-1,-1,-1,1,1,-1,1]",-1,-1,-1,-1.0,-1,1716.9232876300812,
9,1,2025-08-20 23:29:45,"[[-0.20616670942008103,-0.09584387734893828,-0.148645590937986,-0.19166276108609984,-0.053279143897547454,-0.38080220290469535,-0.007979740228358331,-0.18808075294285342,-0.3426998997019489,0.08286432128216598],[-0.09584387734893828,0.5003896640653253,0.14514467588483854,0.12504097370952716,-0.006372977912085624,-0.21597093511003942,0.21133105734187113,-0.25935237132689387,0.1095636728756868,0.3584816731228266],[-0.148645590937986,0.14514467588483854,-0.024441084677035343,-0.05538682835354896,-0.03160453985663635,-0.2917168591653076,0.07831073966313927,-0.20527403988528325,-0.14367575942352998,0.1857357621063827],[-0.19166276108609984,0.12504097370952716,-0.05538682835354896,-0.09547385471814347,-0.044478970912303885,-0.37189409738538626,0.07706913146900084,-0.2470380097147266,-0.21539634025626553,0.20516345526720414],[-0.053279143897547454,-0.006372977912085624,-0.03160453985663635,-0.044478970912303885,-0.011296803979046774,-0.1020208383180567,0.00472391841125031,-0.05505753059001544,-0.08109839321846489,0.030963713250010905],[-0.38080220290469535,-0.21597093511003942,-0.2917168591653076,-0.37189409738538626,-0.1020208383180567,-0.7036497126815136,-0.030252834592242983,-0.3405120350893712,-0.655120677612944,0.13244305210144552],[-0.007979740228358331,0.21133105734187113,0.07831073966313927,0.07706913146900084,0.00472391841125031,-0.030252834592242983,0.08445687330853935,-0.07571493730716537,0.09241341414899153,0.12968041775175207],[-0.18808075294285342,-0.25935237132689387,-0.20527403988528325,-0.2470380097147266,-0.05505753059001544,-0.3405120350893712,-0.07571493730716537,-0.12326788949209547,-0.40220272333149043,-0.02391618942387471],[-0.3426998997019489,0.1095636728756868,-0.14367575942352998,-0.21539634025626553,-0.08109839321846489,-0.655120677612944,0.09241341414899153,-0.40220272333149043,-0.4400249664870372,0.2968141813461599],[0.08286432128216598,0.3584816731228266,0.1857357621063827,0.20516345526720414,0.030963713250010905,0.13244305210144552,0.12968041775175207,-0.02391618942387471,0.2968141813461599,0.1550502161825126]]",10,Random,10,-1.0,-1.0,-1.0,-,-4.384375513811842,"[1.,-1.,1.,1.,1.,1.,-1.,1.,1.,-1.]",-1,0.2259132862091064,-,-,-,-3.4958513538510334,"[1,-1,-1,1,1,1,1,1,1,-1]",-1,-1,-1,-1.0,-1,1709.515640258789,
