Id (int),Valid (int),Updated (str),Matrix (mat),Size (int),Type (str),Rank (int),Density (flt),Stiffness (flt),Penalty (str),Budget (flt),Test_solver (str),Test (flt),Test_state (vec),Test_iterations (int),Test_time (flt),Train_solver (str),Preprocessing (str),Postprocessing (str),Train (flt),Train_state (vec),Train_iterations (int),Train_iterations_1 (int),Train_iterations_2 (int),Train_iterations_3 (int),Train_cost (flt),Train_shots (int),Train_time (flt),Flags (str),Baren (int)
0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,
1,1,2025-08-26 13:05:22,"[[-0.2704868767361608,0.2797403128354713,-0.36062269976961014,0.1799660633181639,0.5509043501174073,0.17689485967585505,-0.25563180400176033,-0.2632486759365432,0.15759187479363568,0.20913778868380295],[0.2797403128354713,0.24746173938307625,0.22551016582471195,0.5197791364978916,0.6724945957277897,0.4054855863427279,0.6168059860397896,-0.30826907548380966,-0.40562877178732804,-0.4652185768933622],[-0.36062269976961014,0.22551016582471195,0.5960818030630688,0.44144672985077305,0.173296110083886,-0.14006227219274037,-0.37312542381826663,-0.17895851928977946,0.30077277822433157,-0.44679939579275885],[0.1799660633181639,0.5197791364978916,0.44144672985077305,-0.18692494556961403,-0.017263262137394375,0.32920754517679374,0.19153739834697558,0.510065802969129,-0.0016780366906213873,0.5942439599986453],[0.5509043501174073,0.6724945957277897,0.173296110083886,-0.017263262137394375,0.4490736693257089,0.30230388561961286,-0.13928718154732778,-0.1071882782426562,-0.3580382989395292,0.11777793272801573],[0.17689485967585505,0.4054855863427279,-0.14006227219274037,0.32920754517679374,0.30230388561961286,-0.7796586400559231,-0.06161721097764361,-0.03698729741036488,-0.6543358370795662,-0.3529472775785987],[-0.25563180400176033,0.6168059860397896,-0.37312542381826663,0.19153739834697558,-0.13928718154732778,-0.06161721097764361,0.7730815672245237,0.2793539662805997,-0.6117484647398447,-0.21091337923463305],[-0.2632486759365432,-0.30826907548380966,-0.17895851928977946,0.510065802969129,-0.1071882782426562,-0.03698729741036488,0.2793539662805997,-0.7689408223755345,-0.7268558474043794,0.43991777588207026],[0.15759187479363568,-0.40562877178732804,0.30077277822433157,-0.0016780366906213873,-0.3580382989395292,-0.6543358370795662,-0.6117484647398447,-0.7268558474043794,0.5475398758879744,0.33958479706000066],[0.20913778868380295,-0.4652185768933622,-0.44679939579275885,0.5942439599986453,0.11777793272801573,-0.3529472775785987,-0.21091337923463305,0.43991777588207026,0.33958479706000066,0.3629945543176316]]",10,Penalty,-1,-1.0,-1.0,MOC,2.0,-,-1.464460255546738,"[-1.,-1.,-1.,-1.,-1.,-1.,-1.,1.,1.,-1.]",-1,0.504540205001831,CIA,,,-2.54561271006463,"[-1,-1,-1,-1,-1,1,-1,1,1,-1]",88,-1,32,-1,-1.0,1000,109.0547742843628,Baren_78,-1.0
2,1,2025-08-26 13:06:19,"[[-0.2704868767361608,0.2797403128354713,-0.36062269976961014,0.1799660633181639,0.5509043501174073,0.17689485967585505,-0.25563180400176033,-0.2632486759365432,0.15759187479363568,0.20913778868380295],[0.2797403128354713,0.24746173938307625,0.22551016582471195,0.5197791364978916,0.6724945957277897,0.4054855863427279,0.6168059860397896,-0.30826907548380966,-0.40562877178732804,-0.4652185768933622],[-0.36062269976961014,0.22551016582471195,0.5960818030630688,0.44144672985077305,0.173296110083886,-0.14006227219274037,-0.37312542381826663,-0.17895851928977946,0.30077277822433157,-0.44679939579275885],[0.1799660633181639,0.5197791364978916,0.44144672985077305,-0.18692494556961403,-0.017263262137394375,0.32920754517679374,0.19153739834697558,0.510065802969129,-0.0016780366906213873,0.5942439599986453],[0.5509043501174073,0.6724945957277897,0.173296110083886,-0.017263262137394375,0.4490736693257089,0.30230388561961286,-0.13928718154732778,-0.1071882782426562,-0.3580382989395292,0.11777793272801573],[0.17689485967585505,0.4054855863427279,-0.14006227219274037,0.32920754517679374,0.30230388561961286,-0.7796586400559231,-0.06161721097764361,-0.03698729741036488,-0.6543358370795662,-0.3529472775785987],[-0.25563180400176033,0.6168059860397896,-0.37312542381826663,0.19153739834697558,-0.13928718154732778,-0.06161721097764361,0.7730815672245237,0.2793539662805997,-0.6117484647398447,-0.21091337923463305],[-0.2632486759365432,-0.30826907548380966,-0.17895851928977946,0.510065802969129,-0.1071882782426562,-0.03698729741036488,0.2793539662805997,-0.7689408223755345,-0.7268558474043794,0.43991777588207026],[0.15759187479363568,-0.40562877178732804,0.30077277822433157,-0.0016780366906213873,-0.3580382989395292,-0.6543358370795662,-0.6117484647398447,-0.7268558474043794,0.5475398758879744,0.33958479706000066],[0.20913778868380295,-0.4652185768933622,-0.44679939579275885,0.5942439599986453,0.11777793272801573,-0.3529472775785987,-0.21091337923463305,0.43991777588207026,0.33958479706000066,0.3629945543176316]]",10,Penalty,-1,-1.0,-1.0,MOC,3.0,-,-2.54561271006463,"[-1.,-1.,-1.,-1.,-1.,1.,-1.,1.,1.,-1.]",-1,0.5393922328948975,CIA,,,-2.54561271006463,"[-1,-1,-1,-1,-1,1,-1,1,1,-1]",40,40,34,40,-1.0,1000,56.75105381011963,,-1.0
3,1,2025-08-26 13:08:24,"[[-0.2704868767361608,0.2797403128354713,-0.36062269976961014,0.1799660633181639,0.5509043501174073,0.17689485967585505,-0.25563180400176033,-0.2632486759365432,0.15759187479363568,0.20913778868380295],[0.2797403128354713,0.24746173938307625,0.22551016582471195,0.5197791364978916,0.6724945957277897,0.4054855863427279,0.6168059860397896,-0.30826907548380966,-0.40562877178732804,-0.4652185768933622],[-0.36062269976961014,0.22551016582471195,0.5960818030630688,0.44144672985077305,0.173296110083886,-0.14006227219274037,-0.37312542381826663,-0.17895851928977946,0.30077277822433157,-0.44679939579275885],[0.1799660633181639,0.5197791364978916,0.44144672985077305,-0.18692494556961403,-0.017263262137394375,0.32920754517679374,0.19153739834697558,0.510065802969129,-0.0016780366906213873,0.5942439599986453],[0.5509043501174073,0.6724945957277897,0.173296110083886,-0.017263262137394375,0.4490736693257089,0.30230388561961286,-0.13928718154732778,-0.1071882782426562,-0.3580382989395292,0.11777793272801573],[0.17689485967585505,0.4054855863427279,-0.14006227219274037,0.32920754517679374,0.30230388561961286,-0.7796586400559231,-0.06161721097764361,-0.03698729741036488,-0.6543358370795662,-0.3529472775785987],[-0.25563180400176033,0.6168059860397896,-0.37312542381826663,0.19153739834697558,-0.13928718154732778,-0.06161721097764361,0.7730815672245237,0.2793539662805997,-0.6117484647398447,-0.21091337923463305],[-0.2632486759365432,-0.30826907548380966,-0.17895851928977946,0.510065802969129,-0.1071882782426562,-0.03698729741036488,0.2793539662805997,-0.7689408223755345,-0.7268558474043794,0.43991777588207026],[0.15759187479363568,-0.40562877178732804,0.30077277822433157,-0.0016780366906213873,-0.3580382989395292,-0.6543358370795662,-0.6117484647398447,-0.7268558474043794,0.5475398758879744,0.33958479706000066],[0.20913778868380295,-0.4652185768933622,-0.44679939579275885,0.5942439599986453,0.11777793272801573,-0.3529472775785987,-0.21091337923463305,0.43991777588207026,0.33958479706000066,0.3629945543176316]]",10,Penalty,-1,-1.0,-1.0,MOC,4.0,-,-2.730294101301502,"[-1.,1.,-1.,-1.,-1.,1.,-1.,1.,1.,-1.]",-1,0.5061173439025879,CIA,,,-2.690447901396027,"[1,-1,1,-1,-1,-1,-1,1,1,-1]",87,-1,22,-1,-1.0,1000,125.03886675834656,Baren_77,-1.0
4,1,2025-08-26 13:08:49,"[[-0.2704868767361608,0.2797403128354713,-0.36062269976961014,0.1799660633181639,0.5509043501174073,0.17689485967585505,-0.25563180400176033,-0.2632486759365432,0.15759187479363568,0.20913778868380295],[0.2797403128354713,0.24746173938307625,0.22551016582471195,0.5197791364978916,0.6724945957277897,0.4054855863427279,0.6168059860397896,-0.30826907548380966,-0.40562877178732804,-0.4652185768933622],[-0.36062269976961014,0.22551016582471195,0.5960818030630688,0.44144672985077305,0.173296110083886,-0.14006227219274037,-0.37312542381826663,-0.17895851928977946,0.30077277822433157,-0.44679939579275885],[0.1799660633181639,0.5197791364978916,0.44144672985077305,-0.18692494556961403,-0.017263262137394375,0.32920754517679374,0.19153739834697558,0.510065802969129,-0.0016780366906213873,0.5942439599986453],[0.5509043501174073,0.6724945957277897,0.173296110083886,-0.017263262137394375,0.4490736693257089,0.30230388561961286,-0.13928718154732778,-0.1071882782426562,-0.3580382989395292,0.11777793272801573],[0.17689485967585505,0.4054855863427279,-0.14006227219274037,0.32920754517679374,0.30230388561961286,-0.7796586400559231,-0.06161721097764361,-0.03698729741036488,-0.6543358370795662,-0.3529472775785987],[-0.25563180400176033,0.6168059860397896,-0.37312542381826663,0.19153739834697558,-0.13928718154732778,-0.06161721097764361,0.7730815672245237,0.2793539662805997,-0.6117484647398447,-0.21091337923463305],[-0.2632486759365432,-0.30826907548380966,-0.17895851928977946,0.510065802969129,-0.1071882782426562,-0.03698729741036488,0.2793539662805997,-0.7689408223755345,-0.7268558474043794,0.43991777588207026],[0.15759187479363568,-0.40562877178732804,0.30077277822433157,-0.0016780366906213873,-0.3580382989395292,-0.6543358370795662,-0.6117484647398447,-0.7268558474043794,0.5475398758879744,0.33958479706000066],[0.20913778868380295,-0.4652185768933622,-0.44679939579275885,0.5942439599986453,0.11777793272801573,-0.3529472775785987,-0.21091337923463305,0.43991777588207026,0.33958479706000066,0.3629945543176316]]",10,Penalty,-1,-1.0,-1.0,MOC,5.0,-,-2.8727208197261502,"[1.,-1.,-1.,-1.,-1.,1.,1.,1.,1.,-1.]",-1,0.5239667892456055,CIA,,,-3.3266760550406813,"[1,-1,1,-1,-1,1,1,1,1,-1]",18,18,18,18,-1.0,1000,24.455018043518063,,-1.0
5,1,2025-08-26 13:09:12,"[[-0.2704868767361608,0.2797403128354713,-0.36062269976961014,0.1799660633181639,0.5509043501174073,0.17689485967585505,-0.25563180400176033,-0.2632486759365432,0.15759187479363568,0.20913778868380295],[0.2797403128354713,0.24746173938307625,0.22551016582471195,0.5197791364978916,0.6724945957277897,0.4054855863427279,0.6168059860397896,-0.30826907548380966,-0.40562877178732804,-0.4652185768933622],[-0.36062269976961014,0.22551016582471195,0.5960818030630688,0.44144672985077305,0.173296110083886,-0.14006227219274037,-0.37312542381826663,-0.17895851928977946,0.30077277822433157,-0.44679939579275885],[0.1799660633181639,0.5197791364978916,0.44144672985077305,-0.18692494556961403,-0.017263262137394375,0.32920754517679374,0.19153739834697558,0.510065802969129,-0.0016780366906213873,0.5942439599986453],[0.5509043501174073,0.6724945957277897,0.173296110083886,-0.017263262137394375,0.4490736693257089,0.30230388561961286,-0.13928718154732778,-0.1071882782426562,-0.3580382989395292,0.11777793272801573],[0.17689485967585505,0.4054855863427279,-0.14006227219274037,0.32920754517679374,0.30230388561961286,-0.7796586400559231,-0.06161721097764361,-0.03698729741036488,-0.6543358370795662,-0.3529472775785987],[-0.25563180400176033,0.6168059860397896,-0.37312542381826663,0.19153739834697558,-0.13928718154732778,-0.06161721097764361,0.7730815672245237,0.2793539662805997,-0.6117484647398447,-0.21091337923463305],[-0.2632486759365432,-0.30826907548380966,-0.17895851928977946,0.510065802969129,-0.1071882782426562,-0.03698729741036488,0.2793539662805997,-0.7689408223755345,-0.7268558474043794,0.43991777588207026],[0.15759187479363568,-0.40562877178732804,0.30077277822433157,-0.0016780366906213873,-0.3580382989395292,-0.6543358370795662,-0.6117484647398447,-0.7268558474043794,0.5475398758879744,0.33958479706000066],[0.20913778868380295,-0.4652185768933622,-0.44679939579275885,0.5942439599986453,0.11777793272801573,-0.3529472775785987,-0.21091337923463305,0.43991777588207026,0.33958479706000066,0.3629945543176316]]",10,Penalty,-1,-1.0,-1.0,MOC,6.0,-,-3.3266760550406813,"[1.,-1.,1.,-1.,-1.,1.,1.,1.,1.,-1.]",-1,0.5076146125793457,CIA,,,-3.3266760550406813,"[1,-1,1,-1,-1,1,1,1,1,-1]",16,16,1,16,-1.0,1000,23.05513024330139,,-1.0
6,1,2025-08-26 13:09:40,"[[-0.2704868767361608,0.2797403128354713,-0.36062269976961014,0.1799660633181639,0.5509043501174073,0.17689485967585505,-0.25563180400176033,-0.2632486759365432,0.15759187479363568,0.20913778868380295],[0.2797403128354713,0.24746173938307625,0.22551016582471195,0.5197791364978916,0.6724945957277897,0.4054855863427279,0.6168059860397896,-0.30826907548380966,-0.40562877178732804,-0.4652185768933622],[-0.36062269976961014,0.22551016582471195,0.5960818030630688,0.44144672985077305,0.173296110083886,-0.14006227219274037,-0.37312542381826663,-0.17895851928977946,0.30077277822433157,-0.44679939579275885],[0.1799660633181639,0.5197791364978916,0.44144672985077305,-0.18692494556961403,-0.017263262137394375,0.32920754517679374,0.19153739834697558,0.510065802969129,-0.0016780366906213873,0.5942439599986453],[0.5509043501174073,0.6724945957277897,0.173296110083886,-0.017263262137394375,0.4490736693257089,0.30230388561961286,-0.13928718154732778,-0.1071882782426562,-0.3580382989395292,0.11777793272801573],[0.17689485967585505,0.4054855863427279,-0.14006227219274037,0.32920754517679374,0.30230388561961286,-0.7796586400559231,-0.06161721097764361,-0.03698729741036488,-0.6543358370795662,-0.3529472775785987],[-0.25563180400176033,0.6168059860397896,-0.37312542381826663,0.19153739834697558,-0.13928718154732778,-0.06161721097764361,0.7730815672245237,0.2793539662805997,-0.6117484647398447,-0.21091337923463305],[-0.2632486759365432,-0.30826907548380966,-0.17895851928977946,0.510065802969129,-0.1071882782426562,-0.03698729741036488,0.2793539662805997,-0.7689408223755345,-0.7268558474043794,0.43991777588207026],[0.15759187479363568,-0.40562877178732804,0.30077277822433157,-0.0016780366906213873,-0.3580382989395292,-0.6543358370795662,-0.6117484647398447,-0.7268558474043794,0.5475398758879744,0.33958479706000066],[0.20913778868380295,-0.4652185768933622,-0.44679939579275885,0.5942439599986453,0.11777793272801573,-0.3529472775785987,-0.21091337923463305,0.43991777588207026,0.33958479706000066,0.3629945543176316]]",10,Penalty,-1,-1.0,-1.0,MOC,7.0,-,-3.167198468861982,"[1.,-1.,1.,-1.,-1.,1.,1.,1.,1.,1.]",-1,0.4604454040527344,CIA,,,-3.167198468861982,"[1,-1,1,-1,-1,1,1,1,1,1]",19,19,19,19,-1.0,1000,27.30204391479492,,-1.0
7,1,2025-08-26 13:11:43,"[[-0.2704868767361608,0.2797403128354713,-0.36062269976961014,0.1799660633181639,0.5509043501174073,0.17689485967585505,-0.25563180400176033,-0.2632486759365432,0.15759187479363568,0.20913778868380295],[0.2797403128354713,0.24746173938307625,0.22551016582471195,0.5197791364978916,0.6724945957277897,0.4054855863427279,0.6168059860397896,-0.30826907548380966,-0.40562877178732804,-0.4652185768933622],[-0.36062269976961014,0.22551016582471195,0.5960818030630688,0.44144672985077305,0.173296110083886,-0.14006227219274037,-0.37312542381826663,-0.17895851928977946,0.30077277822433157,-0.44679939579275885],[0.1799660633181639,0.5197791364978916,0.44144672985077305,-0.18692494556961403,-0.017263262137394375,0.32920754517679374,0.19153739834697558,0.510065802969129,-0.0016780366906213873,0.5942439599986453],[0.5509043501174073,0.6724945957277897,0.173296110083886,-0.017263262137394375,0.4490736693257089,0.30230388561961286,-0.13928718154732778,-0.1071882782426562,-0.3580382989395292,0.11777793272801573],[0.17689485967585505,0.4054855863427279,-0.14006227219274037,0.32920754517679374,0.30230388561961286,-0.7796586400559231,-0.06161721097764361,-0.03698729741036488,-0.6543358370795662,-0.3529472775785987],[-0.25563180400176033,0.6168059860397896,-0.37312542381826663,0.19153739834697558,-0.13928718154732778,-0.06161721097764361,0.7730815672245237,0.2793539662805997,-0.6117484647398447,-0.21091337923463305],[-0.2632486759365432,-0.30826907548380966,-0.17895851928977946,0.510065802969129,-0.1071882782426562,-0.03698729741036488,0.2793539662805997,-0.7689408223755345,-0.7268558474043794,0.43991777588207026],[0.15759187479363568,-0.40562877178732804,0.30077277822433157,-0.0016780366906213873,-0.3580382989395292,-0.6543358370795662,-0.6117484647398447,-0.7268558474043794,0.5475398758879744,0.33958479706000066],[0.20913778868380295,-0.4652185768933622,-0.44679939579275885,0.5942439599986453,0.11777793272801573,-0.3529472775785987,-0.21091337923463305,0.43991777588207026,0.33958479706000066,0.3629945543176316]]",10,Penalty,-1,-1.0,-1.0,MOC,8.0,-,-2.695041972292243,"[1.,1.,1.,-1.,-1.,1.,1.,1.,1.,1.]",-1,0.4655976295471191,CIA,,,-3.167198468861982,"[1,-1,1,-1,-1,1,1,1,1,1]",86,-1,-1,-1,-1.0,1000,122.15867495536804,Baren_76,-1.0
8,1,2025-08-26 13:13:33,"[[-0.12651078956329065,0.19333428351254933,-0.27323565125223104,-0.6581350081499123,-0.33818876077384896,0.14962214294179443,-0.2717927415188426,-0.06742479551455804,-0.09036637006231296,-0.2355546089898134],[0.19333428351254933,0.4981976754928643,-0.8321391241126957,-0.41505447500741677,-0.8733182865036709,0.3672730165757897,-0.16598021479744052,-0.5878853475909879,0.3526674744679965,0.04310586566947883],[-0.27323565125223104,-0.8321391241126957,0.6725987142940053,-0.022045391774286993,-0.327090735691306,-0.19898259478446423,-0.059918971495728446,0.42817943077981657,0.44557244526053863,-0.6570300956858187],[-0.6581350081499123,-0.41505447500741677,-0.022045391774286993,-0.5118242059624498,-0.42535997536758596,0.000415119367177641,-0.24536857674720713,-0.17223702258708085,-0.07391864625104083,0.4738258296004325],[-0.33818876077384896,-0.8733182865036709,-0.327090735691306,-0.42535997536758596,0.3333298061886716,0.5298320942462024,0.14576785472209286,-0.6576661793270646,0.6814430847759781,-0.11544762955765164],[0.14962214294179443,0.3672730165757897,-0.19898259478446423,0.000415119367177641,0.5298320942462024,-0.09903197732097802,-0.5358638215718313,-0.8007193481682997,0.19084983881176987,-0.5916129633460817],[-0.2717927415188426,-0.16598021479744052,-0.059918971495728446,-0.24536857674720713,0.14576785472209286,-0.5358638215718313,0.29195557166150077,0.15072901239027314,0.8053203019128439,-0.18180262667900182],[-0.06742479551455804,-0.5878853475909879,0.42817943077981657,-0.17223702258708085,-0.6576661793270646,-0.8007193481682997,0.15072901239027314,-0.9100528514310726,0.42040562937159864,-0.03018851609207429],[-0.09036637006231296,0.3526674744679965,0.44557244526053863,-0.07391864625104083,0.6814430847759781,0.19084983881176987,0.8053203019128439,0.42040562937159864,-0.43487728037918805,0.36710690770723875],[-0.2355546089898134,0.04310586566947883,-0.6570300956858187,0.4738258296004325,-0.11544762955765164,-0.5916129633460817,-0.18180262667900182,-0.03018851609207429,0.36710690770723875,0.815874338566315]]",10,Penalty,-1,-1.0,-1.0,MOC,2.0,-,-0.3979569761092487,"[-1.,-1.,-1.,-1.,-1.,1.,-1.,1.,-1.,-1.]",-1,0.5626912117004395,CIA,,,-2.519391287804724,"[-1,1,-1,1,1,-1,-1,1,-1,-1]",76,-1,-1,-1,-1.0,1000,109.8404324054718,Baren_66,-1.0
9,1,2025-08-26 13:15:40,"[[-0.12651078956329065,0.19333428351254933,-0.27323565125223104,-0.6581350081499123,-0.33818876077384896,0.14962214294179443,-0.2717927415188426,-0.06742479551455804,-0.09036637006231296,-0.2355546089898134],[0.19333428351254933,0.4981976754928643,-0.8321391241126957,-0.41505447500741677,-0.8733182865036709,0.3672730165757897,-0.16598021479744052,-0.5878853475909879,0.3526674744679965,0.04310586566947883],[-0.27323565125223104,-0.8321391241126957,0.6725987142940053,-0.022045391774286993,-0.327090735691306,-0.19898259478446423,-0.059918971495728446,0.42817943077981657,0.44557244526053863,-0.6570300956858187],[-0.6581350081499123,-0.41505447500741677,-0.022045391774286993,-0.5118242059624498,-0.42535997536758596,0.000415119367177641,-0.24536857674720713,-0.17223702258708085,-0.07391864625104083,0.4738258296004325],[-0.33818876077384896,-0.8733182865036709,-0.327090735691306,-0.42535997536758596,0.3333298061886716,0.5298320942462024,0.14576785472209286,-0.6576661793270646,0.6814430847759781,-0.11544762955765164],[0.14962214294179443,0.3672730165757897,-0.19898259478446423,0.000415119367177641,0.5298320942462024,-0.09903197732097802,-0.5358638215718313,-0.8007193481682997,0.19084983881176987,-0.5916129633460817],[-0.2717927415188426,-0.16598021479744052,-0.059918971495728446,-0.24536857674720713,0.14576785472209286,-0.5358638215718313,0.29195557166150077,0.15072901239027314,0.8053203019128439,-0.18180262667900182],[-0.06742479551455804,-0.5878853475909879,0.42817943077981657,-0.17223702258708085,-0.6576661793270646,-0.8007193481682997,0.15072901239027314,-0.9100528514310726,0.42040562937159864,-0.03018851609207429],[-0.09036637006231296,0.3526674744679965,0.44557244526053863,-0.07391864625104083,0.6814430847759781,0.19084983881176987,0.8053203019128439,0.42040562937159864,-0.43487728037918805,0.36710690770723875],[-0.2355546089898134,0.04310586566947883,-0.6570300956858187,0.4738258296004325,-0.11544762955765164,-0.5916129633460817,-0.18180262667900182,-0.03018851609207429,0.36710690770723875,0.815874338566315]]",10,Penalty,-1,-1.0,-1.0,MOC,3.0,-,-1.2508277118614153,"[-1.,1.,-1.,-1.,1.,-1.,-1.,1.,-1.,-1.]",-1,0.4757869243621826,CIA,,,-3.453060963512139,"[1,1,-1,1,1,-1,-1,1,-1,-1]",89,-1,2,-1,-1.0,1000,127.64125680923462,Baren_79,-1.0
