Id (int),Valid (int),Updated (str),Matrix (mat),Size (int),Type (str),Rank (int),Density (flt),Stiffness (flt),Penalty (flt),Other (flt),Test_solver (str),Test (flt),Test_state (vec),Test_iterations (int),Test_time (flt),Train_solver (str),Preprocessing (str),Postprocessing (str),Train (flt),Train_state (vec),Train_iterations (int),Train_iterations_1 (int),Train_iterations_2 (int),Train_iterations_3 (int),Train_cost (flt),Train_shots (int),Train_time (flt),Flags (str),Baren (int)
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,
1,1,2025-08-24 21:56:04,"[[-0.6684540182475969,0.19870656989058053,-0.006402993924144071,0.3557054098755738,0.10378453554454242,0.2607589645599511,0.010828838275694001,-0.30332435353642195,-0.7864445997757571,-0.38586424725433627],[0.1987065698905806,-0.38636296327791764,-0.3347133167263668,0.2512807888223388,-0.5563072464420458,-0.20135914156001206,-0.3571524687999924,-0.2584152437147159,-0.35979660072194347,0.23849398757726425],[-0.006402993924144223,-0.33471331672636667,-0.6131680892074641,-0.0951607308630507,0.25131472340630046,-0.2814640412263721,-0.09644185746883446,0.1653739805301048,0.08489046022573157,-0.02954694699354553],[0.35570540987557364,0.25128078882233856,-0.09516073086305055,0.8496870374646167,-0.20007646999873754,-0.034299499486437346,0.2924498135848531,-0.098938341268292,0.2586908341381805,-0.5776726555509438],[0.10378453554454262,-0.5563072464420457,0.25131472340630046,-0.20007646999873738,-0.8455149648324367,0.13363327184761054,0.38251126052464673,-0.059092718312293874,-0.1750894755964063,-0.3256293817527219],[0.26075896455995096,-0.20135914156001186,-0.281464041226372,-0.03429949948643779,0.13363327184761037,-0.567505675115968,-0.3787146298353259,-0.3823162971714466,-0.5415706985354546,-0.05124725840984621],[0.010828838275693885,-0.3571524687999922,-0.09644185746883426,0.2924498135848529,0.3825112605246465,-0.3787146298353257,-0.39791475701828705,0.17009918971684995,0.38580712523974536,-0.2156039443188188],[-0.3033243535364221,-0.258415243714716,0.1653739805301048,-0.09893834126829233,-0.05909271831229385,-0.38231629717144694,0.17009918971684984,-1.0,0.42707521012230354,0.38349966061176044],[-0.7864445997757575,-0.3597966007219437,0.08489046022573166,0.25869083413818056,-0.1750894755964066,-0.541570698535455,0.3858071252397457,0.4270752101223037,-0.2289732914200556,-0.02166071651664935],[-0.38586424725433643,0.23849398757726395,-0.029546946993545393,-0.5776726555509438,-0.3256293817527218,-0.051247258409846584,-0.21560394431881863,0.3834996606117603,-0.021660716516649678,0.1274902312909942]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-3.579052729026983,"[1.,1.,1.,-1.,1.,1.,1.,1.,1.,1.]",-1,0.8674767017364502,CIA,,,-3.579052729026983,"[1,1,1,-1,1,1,1,1,1,1]",5,5,5,5,-1.0,1000,3.1742265224456787,,-1.0
2,1,2025-08-24 22:11:16,"[[0.6542317632603237,0.9182690535419373,-0.9999999999999994,0.7957052215381092,-0.01446632611634299,0.19881313261205205,-0.4420908224559177,-0.5392692218991321,-0.006980744489832841,0.44794696149390606],[0.9182690535419383,0.000725041418027446,-0.43156039177289773,0.04377721994420912,0.4613850061802659,0.4951455294769436,-0.7859947629672985,0.1706437014569593,0.989992546354158,0.4928963251496535],[-1.0,-0.4315603917728972,0.9294451902066221,-0.6225056252856623,0.7037663872132844,0.12690272378261788,0.36253975913227143,0.20703589048168347,-0.36847558902718225,-0.5090679891648696],[0.7957052215381092,0.043777219944208336,-0.622505625285662,0.3158184724558137,0.23176071994118702,-0.6724740973824922,-0.13991212478500142,-0.3307040680398601,0.7030217164502018,-0.03996415626720377],[-0.01446632611634272,0.461385006180266,0.7037663872132839,0.23176071994118694,0.411561972308399,0.044547748377027185,0.3936587995859076,-0.17227576632772354,-0.4269142226746698,-0.45929372036032345],[0.198813132612052,0.4951455294769435,0.12690272378261802,-0.6724740973824921,0.044547748377027296,0.14050227754808325,-0.16466233060611807,-0.07643007839820602,0.4926057421086674,-0.04963228592236938],[-0.4420908224559182,-0.7859947629672974,0.3625397591322712,-0.13991212478500165,0.3936587995859076,-0.16466233060611787,0.1589031408111301,0.2935713437430555,-0.34670624748356965,-0.3777679919705884],[-0.5392692218991321,0.17064370145695898,0.20703589048168342,-0.3307040680398602,-0.17227576632772365,-0.07643007839820605,0.2935713437430558,-0.8718556057295349,-0.2453171997917282,0.21430913032339446],[-0.00698074448983201,0.9899925463541572,-0.3684755890271823,0.7030217164502014,-0.42691422267467005,0.49260574210866714,-0.3467062474835696,-0.24531719979172803,-0.7419615020267639,0.3206800992085322],[0.4479469614939061,0.4928963251496533,-0.5090679891648695,-0.039964156267203156,-0.4592937203603235,-0.0496322859223691,-0.37776799197058863,0.21430913032339438,0.32068009920853197,-0.32019183109735266]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-2.476229022703211,"[1.,-1.,1.,-1.,-1.,-1.,1.,1.,1.,1.]",-1,0.870229959487915,CIA,,,-2.205151903858234,"[-1,-1,1,1,-1,1,1,1,-1,1]",1001,-1,-1,-1,-1.0,1000,911.9373202323914,,-1.0
3,1,2025-08-24 22:11:19,"[[0.23296637072807735,-0.021163500656401775,-0.011169828090922077,-0.030100415932598986,-0.6160035308895826,0.2869687631053469,0.19752661626822426,-0.47872405656210876,-0.2952905718759012,0.9196975095608569],[-0.021163500656401817,-0.17982792532647665,0.3822830264133392,0.8069198721048015,0.5777386321335947,-0.2974036660607547,-0.3192245367236903,-0.28170129028095203,0.11961944590865849,-0.44704987948250907],[-0.01116982809092222,0.3822830264133395,0.2168961582276414,0.004380825214390653,-0.14605125513498468,-0.027908866592120274,0.2890179796294738,0.4198190063437122,-0.7073308698961026,-0.3701005883280815],[-0.030100415932599097,0.8069198721048018,0.004380825214390344,0.18974433818269343,0.08111124988916318,-0.7465927538589829,0.07336782289036375,-0.5312923238477378,-0.7245430570722188,-0.5758409185852826],[-0.6160035308895823,0.5777386321335948,-0.14605125513498476,0.08111124988916316,0.46682776563987594,-0.225608604659507,-0.30678701000247194,-0.4475242520484523,0.6048294712924578,0.6943948130024167],[0.28696876310534675,-0.29740366606075486,-0.02790886659212047,-0.746592753858983,-0.22560860465950727,-0.17466165222811988,-0.6246760646081645,-0.03753094366139536,0.05787142634809854,-0.6850366023170041],[0.19752661626822418,-0.31922453672369006,0.2890179796294733,0.07336782289036388,-0.30678701000247244,-0.6246760646081639,-0.21937072684308792,-0.9999999999999994,-0.4392488942478111,0.3366978387093956],[-0.47872405656210903,-0.28170129028095214,0.4198190063437117,-0.531292323847738,-0.4475242520484525,-0.03753094366139488,-1.0,-0.3600846159154527,0.057312363796421247,-0.5983737576256528],[-0.295290571875901,0.11961944590865838,-0.7073308698961024,-0.724543057072219,0.6048294712924578,0.05787142634809856,-0.4392488942478111,0.05731236379642117,0.81836577718737,0.1524007606867414],[0.9196975095608572,-0.44704987948250924,-0.37010058832808174,-0.5758409185852826,0.694394813002417,-0.6850366023170045,0.3366978387093956,-0.5983737576256528,0.15240076068674177,-0.01704395897329843]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-4.686637268619683,"[-1.,1.,-1.,1.,-1.,1.,1.,1.,1.,1.]",-1,0.984382390975952,CIA,,,-4.686637268619683,"[-1,1,-1,1,-1,1,1,1,1,1]",5,5,3,5,-1.0,1000,3.2163524627685547,,-1.0
4,1,2025-08-24 22:11:21,"[[0.28215359256070105,-0.09059857902952095,0.03687665428880121,0.20134141371313655,-0.03298251570975933,0.08552283649255692,-0.6381489738800594,0.1377687964939919,-0.5908840078588303,0.19585205128850808],[-0.09059857902952076,-0.0964387392712691,0.35026131816527,-0.16389692789467286,0.2678293246618178,-0.5083809770981813,-0.30559907324089336,0.1453698188734063,-0.07210477961646646,-0.13934407212998604],[0.03687665428880134,0.3502613181652699,-0.26487167491070307,0.22997283335176028,0.4348259913039251,0.16093142679365635,-0.4025625628418916,0.8614853298467531,0.050081022063553055,0.09667430426215323],[0.20134141371313619,-0.16389692789467297,0.2299728333517604,-0.47961024476762587,-0.01150236207519822,-0.9494337741130495,0.07540155755798532,0.0072633053723743565,-0.3534356130915774,0.34343833523346234],[-0.03298251570975934,0.2678293246618179,0.4348259913039251,-0.011502362075198181,0.041810886401149966,-0.5213463130739509,0.16947076590660282,-0.2148916365956186,0.37290698098801645,-0.3701891624718047],[0.08552283649255694,-0.5083809770981815,0.1609314267936563,-0.9494337741130504,-0.5213463130739509,-0.4675801367059279,-0.25307374616524736,0.5902230508916646,0.6161282981488758,-0.08762909013160519],[-0.6381489738800594,-0.30559907324089336,-0.4025625628418915,0.07540155755798553,0.16947076590660298,-0.2530737461652472,0.41464354026082595,0.20099761374048525,-0.000336502391086003,0.38652802610069836],[0.13776879649399207,0.14536981887340614,0.861485329846753,0.007263305372374399,-0.21489163659561838,0.5902230508916643,0.2009976137404851,0.505737159242864,-0.3201548058290437,0.14469021483896857],[-0.5908840078588301,-0.07210477961646643,0.050081022063552805,-0.3534356130915772,0.3729069809880167,0.6161282981488752,-0.00033650239108566296,-0.320154805829044,-1.0,0.08149856107769332],[0.19585205128850802,-0.13934407212998615,0.09667430426215341,0.3434383352334627,-0.37018916247180483,-0.08762909013160489,0.3865280261006983,0.14469021483896874,0.08149856107769311,0.1491569760114477]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-3.4463762711884627,"[1.,1.,-1.,1.,-1.,1.,1.,-1.,1.,-1.]",-1,0.997058629989624,CIA,,,-3.4463762711884627,"[1,1,-1,1,-1,1,1,-1,1,-1]",2,2,2,2,-1.0,1000,1.270909547805786,,-1.0
5,1,2025-08-24 22:11:27,"[[-0.08703331753606056,0.3301737039696115,0.29133518407046577,-0.43814878149838865,0.6595656753834781,0.48188248145321044,-0.20311725646534762,-0.4660996032692872,0.01850630669756363,0.11381915707700827],[0.330173703969611,-0.7052299596782942,-0.4635945386952239,0.2741575521957212,-0.38933005666069426,-0.05910059527208839,-0.03593258373618224,-0.3255127192800275,-0.16949876539861503,-0.2129102961868213],[0.2913351840704659,-0.46359453869522443,0.03587173085879744,-0.2127668876223144,0.2623474039384967,0.6184162122366429,-0.9999999999999999,0.3266063710470314,0.0023838581843446107,0.18007779512759695],[-0.43814878149838854,0.27415755219572097,-0.21276688762231447,-0.32581332653964756,-0.7888006847466913,0.08277709948162072,-0.10621174999882657,-0.14159041873653364,-0.7812355492346883,-0.6345178702573954],[0.659565675383478,-0.3893300566606943,0.26234740393849665,-0.7888006847466908,-0.2779332677010319,-0.21745127478709236,0.08357561965252955,0.28277673427923256,0.17534930466584078,-0.1819869581737103],[0.4818824814532105,-0.05910059527208815,0.6184162122366429,0.08277709948162096,-0.21745127478709267,-0.03833216612824865,-0.14224534041642536,-0.5417776247637636,-0.14334270534264634,0.32664605518335277],[-0.20311725646534753,-0.03593258373618216,-0.9999999999999993,-0.1062117499988265,0.08357561965252977,-0.1422453404164252,-0.6690190049050107,-0.10644601126725649,-0.14302658458119408,-0.08880390955588192],[-0.466099603269287,-0.32551271928002734,0.32660637104703144,-0.14159041873653375,0.28277673427923244,-0.5417776247637635,-0.10644601126725642,-0.6269493718753902,-0.49000908014970224,0.3234549788138732],[0.018506306697563646,-0.16949876539861525,0.002383858184344703,-0.7812355492346882,0.175349304665841,-0.1433427053426464,-0.1430265845811942,-0.49000908014970235,0.12028039693692234,-0.08696421683551052],[0.11381915707700835,-0.21291029618682153,0.18007779512759714,-0.6345178702573955,-0.18198695817371044,0.3266460551833527,-0.08880390955588205,0.32345497881387336,-0.08696421683551064,-0.08239748655339771]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-4.21096707903664,"[-1.,1.,1.,1.,1.,1.,1.,1.,1.,1.]",-1,0.8068649768829346,CIA,,,-4.21096707903664,"[-1,1,1,1,1,1,1,1,1,1]",10,10,5,10,-1.0,1000,6.435820579528809,,-1.0
6,1,2025-08-24 22:11:29,"[[-0.011232298183139752,-0.567012400663051,0.1174791877465453,0.009738780367967983,-0.9999999999999992,-0.1935028614853631,-0.10371469743782265,0.34624351124147534,-0.3463513233270892,0.12539289713260324],[-0.5670124006630513,-0.3738792834588275,-0.06386619408078596,0.43422429142731517,0.4145269192307344,0.5225957096082764,0.31695134224376803,0.2959716469651904,-0.11883648721739473,-0.14785772392209218],[0.11747918774654524,-0.06386619408078602,-0.06900721071923432,-0.894262012220489,0.3538743352224204,0.07300028904800841,-0.1970758335237657,0.3893829743225926,-0.15846527977246633,-0.6111332017678383],[0.009738780367968124,0.43422429142731506,-0.8942620122204892,-0.6874539862654139,0.09065363134967423,0.42278773546481146,0.08587839382245098,0.08996788066711031,-0.19532010148267606,0.592392888537641],[-1.0,0.4145269192307346,0.3538743352224202,0.09065363134967415,-0.2129737848207972,-0.2324034614083536,0.1060731163320662,0.3306749770781143,-0.48544459572940474,0.28757777351662256],[-0.19350286148536325,0.5225957096082764,0.0730002890480084,0.42278773546481163,-0.23240346140835386,-0.28665736049142665,-0.682977482087294,0.0524080015771744,0.22039033283818243,-0.07805521668913351],[-0.10371469743782288,0.31695134224376803,-0.1970758335237658,0.0858783938224509,0.10607311633206623,-0.6829774820872939,-0.5653325528232857,0.0990764812206968,0.07326906504070928,-0.24753857369270227],[0.3462435112414754,0.2959716469651905,0.38938297432259295,0.0899678806671104,0.3306749770781142,0.05240800157717448,0.09907648122069657,0.6678262597519181,0.37724612938746527,0.5655953085549367],[-0.3463513233270895,-0.11883648721739458,-0.1584652797724659,-0.19532010148267623,-0.4854445957294045,0.22039033283818235,0.07326906504070965,0.3772461293874652,0.052082065095876734,-0.6672772325022408],[0.12539289713260324,-0.14785772392209218,-0.6111332017678379,0.5923928885376409,0.2875777735166227,-0.07805521668913362,-0.2475385736927022,0.5655953085549364,-0.6672772325022411,-0.30212631532595474]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-4.0797452818972,"[1.,-1.,1.,1.,1.,1.,1.,-1.,1.,1.]",-1,0.6917641162872314,CIA,,,-4.0797452818972,"[1,-1,1,1,1,1,1,-1,1,1]",2,2,2,2,-1.0,1000,1.2457160949707031,,-1.0
7,1,2025-08-24 22:11:30,"[[-0.5301129672705766,0.2607551348684645,0.8734999433611934,-0.3432060609719526,-0.15800162980676993,-0.2501665988877827,0.31256280110593687,-0.012109822609559593,0.023907547692945296,0.9793177644861549],[0.2607551348684646,-0.6331956975757977,0.5259475456898192,0.30666060639899523,0.3356976159614346,-0.994090440261241,0.17816213849222973,-0.9896743971201075,-0.13868856393845927,0.17368081009441125],[0.8734999433611931,0.5259475456898197,0.696655131647189,-0.0814740911244575,0.5092119682619374,0.05686157245181461,0.24954557303048105,-0.09033584685677185,0.7116620151797818,-0.5309451767067104],[-0.34320606097195244,0.3066606063989948,-0.08147409112445758,-0.6343084104772863,0.5756440632863113,-0.08398342701693526,0.09830968457837193,0.16767010385854567,0.9441086990259708,0.4513199087317803],[-0.1580016298067699,0.3356976159614346,0.5092119682619372,0.5756440632863113,0.5009904593684953,-0.9200668189751813,-0.08417031559868428,-0.1483748329217316,-0.04378650262967939,-0.7338088887966895],[-0.25016659888778264,-0.9940904402612415,0.05686157245181424,-0.08398342701693516,-0.9200668189751815,-0.5734636141449339,0.38371916443022047,0.06482121901487485,0.7946382160055789,0.7847360989814532],[0.31256280110593715,0.17816213849222987,0.24954557303048108,0.09830968457837223,-0.08417031559868465,0.38371916443022097,-0.5934395212810902,-0.41731166857160384,0.22209147315236283,-1.0],[-0.012109822609559779,-0.9896743971201077,-0.09033584685677157,0.16767010385854542,-0.1483748329217312,0.06482121901487439,-0.41731166857160357,0.3900904274106259,-0.41346024935792697,0.19578572697387472],[0.023907547692944987,-0.13868856393845963,0.7116620151797821,0.9441086990259708,-0.04378650262967902,0.7946382160055788,0.2220914731523627,-0.41346024935792713,-0.07500426592766224,0.43026724781024395],[0.9793177644861547,0.17368081009441144,-0.5309451767067098,0.4513199087317798,-0.7338088887966892,0.7847360989814528,-0.9999999999999992,0.19578572697387436,0.43026724781024395,-0.1245624521112047]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-4.0878293875663685,"[-1.,1.,-1.,-1.,1.,1.,1.,1.,-1.,1.]",-1,0.8751132488250732,CIA,,,-4.0878293875663685,"[-1,1,-1,-1,1,1,1,1,-1,1]",1,1,1,1,-1.0,1000,0.6523733139038086,Baren_50,-1.0
8,1,2025-08-24 22:11:50,"[[-0.49375833338323705,-0.22763473159599643,-0.3559548888772659,-0.6744765472837235,-0.27700592769157195,-0.2922044409008623,-0.0735671228038242,0.24550428322779802,0.0996863328275522,-0.1408771684266995],[-0.22763473159599656,-0.2917153775383162,0.023275386477873892,0.1808636835163607,0.5524857213086124,0.30027858689605824,-0.3316907282803442,-0.23873246375204366,-0.4587941834452392,-0.09468768006047329],[-0.35595488887726595,0.023275386477873847,-0.7233177711794191,0.1562714583563901,0.06026435052727258,-0.08121304056677325,0.14751016074236512,0.12121388111568678,-0.18709493735748786,0.27008410721390524],[-0.6744765472837236,0.18086368351636098,0.15627145835638975,-0.12769738728415994,0.09150273887639618,0.08718870084977667,0.16242278394940704,-0.5195258598006735,0.05218918553514629,0.3164480685183957],[-0.27700592769157223,0.5524857213086125,0.060264350527272637,0.09150273887639636,-0.5655810587422779,0.5641848077717927,-0.1597957465222706,-0.004580539819208672,-0.3495016984668222,0.10320045856869213],[-0.2922044409008623,0.30027858689605835,-0.08121304056677323,0.08718870084977656,0.5641848077717923,-0.48597586256982017,-0.14999374576445823,0.09538522930167473,-0.12451578338163218,-0.14767467346676355],[-0.07356712280382417,-0.3316907282803443,0.14751016074236498,0.16242278394940712,-0.15979574652227055,-0.1499937457644583,-0.9999999999999999,-0.026069413714616404,0.097816622892819,0.22617546691616583],[0.24550428322779802,-0.23873246375204338,0.12121388111568676,-0.5195258598006735,-0.004580539819208538,0.0953852293016746,-0.02606941371461646,-0.4132971572924341,0.1379569495118973,-0.2837680104024295],[0.09968633282755215,-0.45879418344523903,-0.1870949373574878,0.05218918553514649,-0.3495016984668221,-0.12451578338163223,0.09781662289281917,0.13795694951189746,-0.5741891586252009,-0.1172469604248645],[-0.14087716842669953,-0.09468768006047348,0.27008410721390524,0.31644806851839585,0.10320045856869184,-0.14767467346676375,0.2261754669161659,-0.2837680104024296,-0.11724696042486468,-0.43175881741309496]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-2.493309362116748,"[1.,1.,1.,1.,-1.,1.,1.,1.,1.,1.]",-1,0.965855360031128,CIA,,,-2.493309362116748,"[1,1,1,1,-1,1,1,1,1,1]",19,19,19,19,-1.0,1000,20.33867764472961,,-1.0
9,1,2025-08-24 22:11:53,"[[-0.26745351360720443,0.01057114441941769,0.21389875277508102,-0.014067562528890272,0.20727287873068861,0.005145328638156035,0.21968368626028192,-0.10761161327125872,-0.20656651009665714,-0.3857478943413185],[0.010571144419417077,0.38351740869444917,-1.0,-0.31700486762683316,0.31197587504875046,-0.2356257849432002,0.03320673385939431,-0.05812829422979883,-0.13240702777603489,0.6071337775082961],[0.21389875277508164,-0.999999999999999,0.08593951460748366,0.44884729034712023,-0.10654906502359626,-0.2681856964422999,-0.6128257535671103,0.6386130150096823,0.13409379207237684,-0.759932631770412],[-0.01406756252889006,-0.31700486762683316,0.44884729034712056,-0.20679097255298026,0.5562825023569767,-0.5576589221262752,-0.17354314173298585,-0.000529747258621056,0.2047431079295622,0.230267405554983],[0.20727287873068886,0.3119758750487506,-0.10654906502359619,0.5562825023569772,0.03708732086100778,-0.10761834376048207,0.26999429420833854,0.4159881469432054,0.4042084470328996,-0.5239528756168312],[0.005145328638156099,-0.23562578494320052,-0.2681856964423001,-0.5576589221262754,-0.10761834376048207,0.08326783433757283,-0.19383537287908106,0.7582735925319682,0.23056909025857258,-0.030388651100193783],[0.21968368626028167,0.03320673385939407,-0.6128257535671107,-0.1735431417329859,0.26999429420833865,-0.19383537287908081,-0.0009793367527120404,-0.3585807333066055,-0.33612046969073006,0.18882764877133468],[-0.10761161327125864,-0.05812829422979895,0.6386130150096827,-0.0005297472586207815,0.41598814694320563,0.758273592531968,-0.35858073330660556,-0.5941193169183057,-0.13091131475015472,0.19457775729886334],[-0.20656651009665716,-0.1324070277760345,0.1340937920723769,0.20474310792956218,0.4042084470328994,0.2305690902585728,-0.3361204696907297,-0.130911314750155,0.5477164627955281,0.006192691651134832],[-0.3857478943413189,0.6071337775082962,-0.7599326317704121,0.23026740555498273,-0.5239528756168305,-0.03038865110019349,0.1888276487713346,0.19457775729886306,0.006192691651134716,-0.8036642308016325]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-2.688590122969778,"[1.,1.,1.,1.,-1.,1.,1.,-1.,-1.,1.]",-1,0.9972712993621826,CIA,,,-2.688590122969778,"[1,1,1,1,-1,1,1,-1,-1,1]",3,3,3,3,-1.0,1000,2.6765904426574707,,-1.0
