Id (int),Valid (int),Updated (str),Matrix (mat),Size (int),Type (str),Rank (int),Density (flt),Stiffness (flt),Penalty (flt),Other (flt),Test_solver (str),Test (flt),Test_state (vec),Test_iterations (int),Test_time (flt),Train_solver (str),Preprocessing (str),Postprocessing (str),Train (flt),Train_state (vec),Train_iterations (int),Train_iterations_1 (int),Train_iterations_2 (int),Train_iterations_3 (int),Train_cost (flt),Train_shots (int),Train_time (flt),Flags (str),Baren (int)
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,
1051,1,2025-08-25 14:07:25,"[[-0.19662243146909508,0.44323826193923865,-0.25773089892834367,-0.3754478314774118,0.3252423551079607,0.2469717882766279,0.07240846402103436,0.05102134452993781,-0.42502266762976537,0.055853651973917534],[0.44323826193923876,-1.0,0.5794857536933327,0.8448411899258406,-0.7340445352442895,-0.5560384084254779,-0.16289018395380506,-0.1125225648360998,0.9608783351215513,-0.12516203410515114],[-0.25773089892834367,0.5794857536933324,-0.3360517414244927,-0.48984485589899274,0.4245099824154742,0.3212627519115118,0.09394146118879679,0.06494036277274923,-0.5550891838813076,0.07252637278899036],[-0.37544783147741206,0.8448411899258408,-0.4898448558989931,-0.713936219737808,0.6191617365969468,0.46891129358442807,0.13827684609475013,0.0953707567259707,-0.8117669627548714,0.10616714746733866],[0.32524235510796085,-0.7340445352442896,0.42450998241547444,0.6191617365969466,-0.5375478926525489,-0.4073128496948407,-0.11985536616870517,-0.08267814616751432,0.7038483059700071,-0.09080842954176893],[0.24697178827662802,-0.5560384084254781,0.321262751911512,0.468911293584428,-0.4073128496948407,-0.3085144788995761,-0.08994916786196669,-0.0629646058035336,0.5336645410674822,-0.07016369991028476],[0.07240846402103435,-0.16289018395380495,0.09394146118879675,0.13827684609475,-0.11985536616870504,-0.0899491678619666,-0.026795410160865594,-0.018106825837858054,0.15632652829403948,-0.020960245705569373],[0.05102134452993785,-0.11252256483609988,0.06494036277274928,0.09537075672597072,-0.08267814616751434,-0.06296460580353362,-0.018106825837858075,-0.012729142228932072,0.10849989560937941,-0.014168749872339015],[-0.4250226676297655,0.9608783351215514,-0.5550891838813078,-0.8117669627548713,0.703848305970007,0.5336645410674821,0.1563265282940396,0.10849989560937934,-0.9215434280489686,0.12010649379549587],[0.05585365197391739,-0.12516203410515075,0.07252637278899018,0.10616714746733831,-0.09080842954176867,-0.07016369991028452,-0.020960245705569328,-0.014168749872338965,0.1201064937954955,-0.015329540217847364]]",10,Stiff,-1,-1.0,20000.0,-1.0,-1.0,-,-3.4879435914940675,"[1.,-1.,1.,1.,-1.,-1.,-1.,-1.,1.,-1.]",-1,0.6016983985900879,MA-PIA,,,-3.4879435914940675,"[1,-1,1,1,-1,-1,1,-1,-1,-1]",7,7,7,7,-1.0,1000,202.82056498527527,Baren_39,-1.0
1052,1,2025-08-25 14:15:30,"[[-0.34485822348914996,-0.13523377194769123,0.04933666238479815,0.40224326499266755,0.010783874617011826,0.015442817727277494,-0.5872483265813231,0.06840773246520634,0.13908366368683042,-0.00363099520708898],[-0.13523377194769107,-0.053125114852865606,0.019323921335878666,0.15785795247052353,0.004293148724205613,0.006048795312088094,-0.2304095884422976,0.02684777307807916,0.05457863657057666,-0.0014631544280522533],[0.04933666238479811,0.019323921335878673,-0.007059230709353136,-0.05752199835966468,-0.0016438374695234305,-0.00221101307836805,0.08395422140144138,-0.009722594056184123,-0.01996523718025413,0.0005424648489579159],[0.4022432649926674,0.15785795247052367,-0.0575219983596647,-0.4691304804541781,-0.012546833744616221,-0.0180655315339252,0.6848934976026927,-0.07972682575845896,-0.1623414225449603,0.004160740156809994],[0.010783874617011767,0.004293148724205595,-0.0016438374695234232,-0.012546833744616157,-0.00031519208126622704,-0.0004953090212848965,0.018298908085785083,-0.0021375184164890305,-0.004253080454103249,0.00011069572184826304],[0.015442817727277717,0.006048795312088187,-0.002211013078368083,-0.01806553153392546,-0.0004953090212849059,-0.0007036587441731651,0.02649726998560053,-0.0029895819541375956,-0.006230238247427759,0.0001301805188793515],[-0.5872483265813224,-0.23040958844229764,0.08395422140144136,0.6848934976026922,0.018298908085785166,0.02649726998560013,-0.9999999999999999,0.11643512025965966,0.23696411725762634,-0.006291306428185608],[0.06840773246520634,0.026847773078079187,-0.00972259405618413,-0.07972682575845899,-0.002137518416489042,-0.002989581954137552,0.11643512025965977,-0.013493244534265631,-0.027563917604014967,0.0007619234614619672],[0.13908366368683023,0.05457863657057665,-0.019965237180254117,-0.16234142254496015,-0.0042530804541032665,-0.006230238247427662,0.23696411725762623,-0.02756391760401493,-0.056155196081415434,0.0015387057390522398],[-0.00363099520708893,-0.0014631544280522353,0.0005424648489579092,0.004160740156809938,0.0001106957218482621,0.00013018051887934694,-0.006291306428185529,0.0007619234614619574,0.0015387057390522218,1.4803587085017999e-05]]",10,Stiff,-1,-1.0,20000.0,-1.0,-1.0,-,-1.3662660275589351,"[1.,1.,-1.,-1.,-1.,-1.,1.,-1.,-1.,1.]",-1,0.5750987529754639,MA-PIA,,,-1.3662660275589351,"[1,1,-1,-1,1,-1,1,-1,-1,-1]",15,15,9,15,-1.0,1000,484.64996433258057,,-1.0
1053,1,2025-08-25 14:16:03,"[[-0.12138651364385332,-0.24307686829431505,-0.1892834142411671,0.17939693767785636,-0.05635816923871098,0.2854813874864514,-0.07865399660958428,0.24546250688337296,-0.34844448833517394,0.14808377526779962],[-0.24307686829431516,-0.4874343827565244,-0.37964990750968863,0.3599993961701592,-0.11325543757445629,0.5721875535033268,-0.1580783165550576,0.4922640139916729,-0.698398226231783,0.2971860371723628],[-0.18928341424116712,-0.3796499075096885,-0.2954181467960837,0.28017144520993653,-0.0879038008181943,0.44533523471612335,-0.12310483067646186,0.3832463203579626,-0.5436544100994704,0.23115808266549145],[0.17939693767785647,0.3599993961701592,0.2801714452099366,-0.26588002609495964,0.08365366100982444,-0.42237665567242355,0.11686216314661463,-0.3632522835268357,0.5157568169055176,-0.21909781663915148],[-0.05635816923871088,-0.11325543757445604,-0.08790380081819413,0.08365366100982423,-0.02626882145637545,0.13269339407094793,-0.036720703020741416,0.11421514662705987,-0.16209225827349033,0.06919569686997566],[0.2854813874864514,0.5721875535033268,0.44533523471612335,-0.42237665567242344,0.13269339407094824,-0.671394047121373,0.18571367879510298,-0.5774504802265968,0.8194275296740207,-0.3484979706714193],[-0.0786539966095842,-0.15807831655505744,-0.12310483067646176,0.1168621631466145,-0.036720703020741464,0.1857136787951028,-0.051324383393357084,0.1595236389292136,-0.22643166144533075,0.09624466367394198],[0.24546250688337298,0.49226401399167286,0.3832463203579627,-0.36325228352683564,0.1142151466270601,-0.577450480226597,0.15952363892921373,-0.49648399395424825,0.7049565458479977,-0.2999681279706368],[-0.34844448833517394,-0.6983982262317828,-0.5436544100994702,0.5157568169055173,-0.16209225827349064,0.8194275296740204,-0.2264316614453309,0.7049565458479976,-0.9999999999999999,0.4252754914021473],[0.14808377526779976,0.297186037172363,0.23115808266549165,-0.2190978166391516,0.06919569686997586,-0.3484979706714196,0.09624466367394215,-0.29996812797063704,0.4252754914021477,-0.18088053068956977]]",10,Stiff,-1,-1.0,20000.0,-1.0,-1.0,-,-3.953840225076185,"[1.,1.,1.,-1.,1.,-1.,1.,-1.,1.,-1.]",-1,0.5816552639007568,MA-PIA,,,-3.953840225076185,"[1,1,1,-1,1,-1,1,-1,1,-1]",1,1,1,1,-1.0,1000,32.08497095108032,Baren_46,-1.0
1054,1,2025-08-25 14:24:20,"[[-0.00048577018649762437,-0.007319493610860296,0.009050704497328567,-0.004716950782833785,0.005574917037656863,0.00101870995981137,-0.003941273692539875,0.0070456102971508516,-0.012180304087746587,0.005503640932225541],[-0.007319493610860034,-0.278846963211574,0.39385949026911954,-0.22043513953362867,0.23875223414383248,0.04391053371987438,-0.16323168044087116,0.32150904508549993,-0.5279595936814083,0.23102973264496462],[0.009050704497328201,0.3938594902691198,-0.5567041539905568,0.3119610200781483,-0.3369017315455978,-0.06325438913862758,0.23051186731574133,-0.4545949598038213,0.7458681119411344,-0.3274073584885407],[-0.004716950782833575,-0.2204351395336287,0.3119610200781481,-0.17550154244658286,0.18969961160403642,0.03491588659690426,-0.1292337593986433,0.2552077049990076,-0.4177392495895424,0.1840505057316673],[0.005574917037656643,0.23875223414383273,-0.336901731545598,0.18969961160403662,-0.20611695350191547,-0.038314566222486995,0.13981100185019052,-0.2759946024898902,0.4530849043118176,-0.19804564902700786],[0.0010187099598113298,0.04391053371987446,-0.06325438913862766,0.03491588659690432,-0.03831456622248703,-0.006344487401962583,0.026445504029638633,-0.05082868913060144,0.08393834036962948,-0.036888884995652],[-0.003941273692539724,-0.1632316804408713,0.2305118673157414,-0.1292337593986434,0.1398110018501905,0.026445504029638606,-0.09502940468276196,0.18897064318686546,-0.3085003249127304,0.13538975045805418],[0.007045610297150554,0.3215090450855002,-0.4545949598038214,0.2552077049990078,-0.27599460248989016,-0.050828689130601394,0.1889706431868655,-0.3712298835067649,0.6094203455162853,-0.26789478003552364],[-0.01218030408774609,-0.5279595936814083,0.7458681119411342,-0.41773924958954245,0.45308490431181725,0.08393834036962936,-0.3085003249127302,0.6094203455162849,-1.0,0.4396049825898499],[0.005503640932225324,0.2310297326449647,-0.32740735848854063,0.18405050573166737,-0.1980456490270077,-0.03688888499565195,0.1353897504580541,-0.2678947800355234,0.43960498258985,-0.19324102761618847]]",10,Stiff,-1,-1.0,20000.0,-1.0,-1.0,-,-2.356256671889712,"[-1.,-1.,1.,-1.,1.,1.,-1.,1.,-1.,1.]",-1,0.56459641456604,MA-PIA,,,-2.356256671889712,"[1,1,-1,1,1,1,-1,1,-1,-1]",15,15,13,15,-1.0,1000,496.9946482181549,Baren_55,-1.0
1055,1,2025-08-25 14:32:19,"[[-0.6254038458448694,-0.47855680442984455,0.4307885918382396,0.6941179251009946,-0.4657207523254543,0.12163985254254522,0.06584034889833838,0.29166071675320704,0.24033602328048756,-0.7936889632259606],[-0.4785568044298442,-0.3484196461692831,0.31607276203651286,0.5388886685355957,-0.3443981079903073,0.09478325436293514,0.05697036973964944,0.2042781710027016,0.18213948874508126,-0.5898693347448793],[0.4307885918382397,0.3160727620365131,-0.2912185721364138,-0.48914846136383106,0.3080961140347196,-0.08888640221595354,-0.04496651761445501,-0.17545706657402196,-0.16100943332634252,0.5359659142664697],[0.6941179251009947,0.5388886685355961,-0.48914846136383117,-0.8100158945663136,0.528932287726746,-0.13664591523725592,-0.09090080696691648,-0.30547383133354383,-0.273063936258307,0.8917040488530245],[-0.46572075232545423,-0.34439810799030746,0.3080961140347195,0.5289322877267457,-0.36073573631667794,0.08414437346586187,0.058696668827355795,0.2126239867553283,0.17832992213131296,-0.6022490790466644],[0.1216398525425451,0.09478325436293512,-0.08888640221595344,-0.13664591523725572,0.08414437346586182,-0.03179632187203761,-0.02209920183794875,-0.05051648781771737,-0.04804739358357508,0.15441008529090866],[0.06584034889833808,0.05697036973964925,-0.04496651761445479,-0.09090080696691609,0.05869666882735558,-0.022099201837948692,-0.010545797963152108,-0.03277634311912071,-0.0323888612311901,0.09768114691965692],[0.2916607167532073,0.20427817100270193,-0.1754570665740221,-0.30547383133354405,0.2126239867553285,-0.05051648781771749,-0.032776343119120886,-0.12296092781398128,-0.11011402905190706,0.34541549278458633],[0.24033602328048745,0.1821394887450813,-0.16100943332634238,-0.27306393625830677,0.17832992213131293,-0.0480473935835751,-0.03238886123119021,-0.11011402905190693,-0.09410727668044834,0.3058531741150262],[-0.7936889632259613,-0.5898693347448802,0.53596591426647,0.891704048853025,-0.6022490790466649,0.15441008529090894,0.0976811469196574,0.3454154927845863,0.3058531741150266,-1.0]]",10,Stiff,-1,-1.0,20000.0,-1.0,-1.0,-,-3.918809565765754,"[1.,1.,-1.,-1.,1.,-1.,-1.,-1.,-1.,1.]",-1,0.6208066940307617,MA-PIA,,,-3.918809565765754,"[1,1,-1,-1,1,-1,1,-1,-1,-1]",13,13,13,13,-1.0,1000,478.8441472053528,Baren_37,-1.0
1056,1,2025-08-25 14:40:07,"[[-0.10216060844829611,0.12158842758110486,0.09076227181871037,-0.03556799559879276,0.14659928141562784,-0.11707111740964442,0.12142057659678644,0.32217587775416767,0.2759183797978943,-0.07542593962895355],[0.1215884275811051,-0.14018873647009922,-0.10465045701042423,0.036994857705436604,-0.1708852282452579,0.130898099337457,-0.13917629200903567,-0.3749910355559022,-0.32477326567097353,0.08667952711454469],[0.09076227181871055,-0.10465045701042422,-0.08370943361960469,0.02945295370553088,-0.12979092185579716,0.10079752805102112,-0.10638655164883788,-0.28965984349003926,-0.24566297559966374,0.06722172355459924],[-0.03556799559879277,0.03699485770543654,0.029452953705530843,-0.01180688966076016,0.04375257059631586,-0.03699202431132585,0.03632200508104028,0.09786214627545461,0.08329267961531035,-0.025349235648870913],[0.14659928141562814,-0.17088522824525795,-0.12979092185579721,0.043752570596315946,-0.21230348645802305,0.15886403206944916,-0.1692669992224438,-0.4545372530379194,-0.3974940005661013,0.10792588531288327],[-0.1170711174096446,0.13089809933745694,0.10079752805102106,-0.03699202431132588,0.15886403206944902,-0.12326958663589282,0.13208723052321458,0.35354111168113656,0.3072445163586511,-0.08285138200836746],[0.12142057659678675,-0.13917629200903575,-0.10638655164883794,0.036322005081040366,-0.16926699922244387,0.13208723052321472,-0.13781549011359207,-0.3670822067528906,-0.3194054894281348,0.08834944087301688],[0.3221758777541683,-0.37499103555590213,-0.28965984349003926,0.09786214627545474,-0.45453725303791925,0.3535411116811367,-0.36708220675289027,-0.9999999999999999,-0.8648987483139198,0.2358530161816271],[0.27591837979789474,-0.3247732656709734,-0.24566297559966366,0.08329267961531045,-0.39749400056610096,0.3072445163586511,-0.3194054894281344,-0.8648987483139197,-0.7471694975779614,0.20123590743834457],[-0.07542593962895362,0.08667952711454459,0.06722172355459917,-0.025349235648870923,0.10792588531288312,-0.08285138200836742,0.08834944087301673,0.2358530161816269,0.20123590743834446,-0.05662950048186683]]",10,Stiff,-1,-1.0,20000.0,-1.0,-1.0,-,-4.601721554016963,"[-1.,1.,1.,-1.,1.,-1.,1.,1.,1.,-1.]",-1,0.65549635887146,MA-PIA,,,-4.601721554016963,"[-1,1,1,-1,1,-1,1,1,1,-1]",13,13,13,13,-1.0,1000,467.3209216594696,,-1.0
1057,1,2025-08-25 14:42:20,"[[-0.01530513071326398,0.04854746521298515,0.10762978445831453,-0.06677185726385981,0.12500742604597354,-0.06237536488456112,0.02629013362291334,-0.11416470039160256,0.06413009859554261,-0.04028330312183881],[0.04854746521298517,-0.14589356325750455,-0.3243341010395151,0.20412124757883135,-0.38111546032684895,0.18804435661124408,-0.08125030506102678,0.3457052270611204,-0.19571892010295286,0.12368445487243258],[0.10762978445831455,-0.324334101039515,-0.7196409077963987,0.45226331715411616,-0.8483865262902369,0.41879344532564194,-0.18059892121026952,0.7665815532461129,-0.4343935930435375,0.27340531764420234],[-0.06677185726385985,0.20412124757883138,0.4522633171541164,-0.2845208878030231,0.5333476141853903,-0.26360100371313794,0.11327718597090855,-0.48194733291420905,0.27254475555459584,-0.17248879999966119],[0.12500742604597356,-0.38111546032684884,-0.848386526290237,0.5333476141853902,-1.0,0.49376624750623965,-0.21279877752261292,0.9038249029903183,-0.5114590396118514,0.32267906703997434],[-0.062375364884561114,0.188044356611244,0.4187934453256419,-0.26360100371313777,0.49376624750623943,-0.24369902725377446,0.10550121724158301,-0.4461741602865135,0.2523048507351704,-0.159459829583203],[0.026290133622913353,-0.08125030506102679,-0.1805989212102696,0.11327718597090858,-0.212798777522613,0.10550121724158308,-0.044567079251460265,0.19215098205136696,-0.10973592519493013,0.06808978754773443],[-0.11416470039160262,0.34570522706112045,0.7665815532461133,-0.4819473329142091,0.9038249029903185,-0.4461741602865138,0.19215098205136696,-0.815366729022438,0.4619274225790247,-0.2906802238842225],[0.06413009859554257,-0.1957189201029527,-0.4343935930435372,0.27254475555459556,-0.5114590396118509,0.2523048507351703,-0.10973592519493001,0.4619274225790242,-0.2607434058845636,0.16460195202940206],[-0.04028330312183878,0.12368445487243249,0.2734053176442022,-0.17248879999966102,0.3226790670399742,-0.15945982958320293,0.06808978754773436,-0.2906802238842222,0.16460195202940206,-0.10487181371425773]]",10,Stiff,-1,-1.0,20000.0,-1.0,-1.0,-,-3.869182328178211,"[-1.,1.,1.,-1.,1.,-1.,1.,-1.,1.,-1.]",-1,0.6491272449493408,MA-PIA,,,-3.869182328178211,"[-1,1,1,-1,1,-1,1,-1,1,-1]",4,4,4,4,-1.0,1000,133.01767373085022,,-1.0
1058,1,2025-08-25 14:46:56,"[[-0.5889157240775902,-0.05420051083113786,-0.5757438226129573,0.0724983401008156,-0.76745698585358,-0.1429342273776798,-0.3170815984750094,-0.3379828147833999,-0.09581018934207522,-0.4356429936747746],[-0.054200510831137916,-0.004940553172733563,-0.05306964341619646,0.0065373735016956,-0.07055162516046953,-0.01329283550357725,-0.029286947258226136,-0.031158393607235338,-0.008785342247612243,-0.04034777960956261],[-0.5757438226129575,-0.05306964341619643,-0.5631248899185571,0.07082091919251718,-0.750380830786136,-0.13981423066368462,-0.30994406088048077,-0.330343791361471,-0.09367181772849956,-0.42618543180883267],[0.07249834010081545,0.006537373501695578,0.070820919192517,-0.0087872295433494,0.09449242195060199,0.017509398210583123,0.03900386491947468,0.04162194290916637,0.011773635362482784,0.05378075255329305],[-0.76745698585358,-0.07055162516046945,-0.7503808307861355,0.09449242195060217,-1.0,-0.18625605272525778,-0.4130650109086879,-0.4401356153630323,-0.1250748442596869,-0.5679152439059411],[-0.14293422737767986,-0.01329283550357724,-0.13981423066368462,0.017509398210583168,-0.18625605272525786,-0.03477750836683901,-0.07688423973201787,-0.08196686327874246,-0.02347337333200052,-0.10579142371178511],[-0.31708159847500994,-0.029286947258226153,-0.30994406088048115,0.039003864919474836,-0.41306501090868863,-0.07688423973201798,-0.17090487900607473,-0.18183495104231692,-0.05159043248177551,-0.23478181540101337],[-0.3379828147834003,-0.03115839360723535,-0.3303437913614713,0.04162194290916651,-0.4401356153630329,-0.08196686327874253,-0.18183495104231684,-0.19379720753353263,-0.054971095145288584,-0.250234541381233],[-0.09581018934207527,-0.008785342247612241,-0.0936718177284996,0.011773635362482819,-0.125074844259687,-0.02347337333200053,-0.05159043248177546,-0.054971095145288563,-0.015621048194132707,-0.07097658504284461],[-0.4356429936747748,-0.040347779609562595,-0.4261854318088328,0.05378075255329319,-0.5679152439059414,-0.10579142371178514,-0.2347818154010131,-0.2502345413812329,-0.07097658504284458,-0.3227472092687574]]",10,Stiff,-1,-1.0,20000.0,-1.0,-1.0,-,-6.739998580194543,"[1.,1.,1.,-1.,1.,1.,1.,1.,1.,1.]",-1,0.6546165943145752,MA-PIA,,,-6.739998580194543,"[1,1,1,-1,1,1,1,1,1,1]",9,9,9,9,-1.0,1000,275.4481694698334,,-1.0
1059,1,2025-08-25 14:55:41,"[[-0.5013846485989086,-0.28527208334921356,0.20102658126697634,-0.44136120399229595,-0.29658646298740676,-0.7085088261626284,-0.028754689678330485,0.5718079578551923,-0.026972581805585594,0.325250164059146],[-0.28527208334921367,-0.16130853022204292,0.11422197145482303,-0.25054481950785684,-0.1684591749534247,-0.4021433952948876,-0.016225758493599682,0.32453902799582884,-0.015419214970843018,0.18463092338824078],[0.20102658126697626,0.11422197145482298,-0.08014601532215852,0.1772116650932002,0.11877986365496737,0.2843475927946379,0.011705103640500055,-0.22930466634823857,0.010842719086087672,-0.13028349095055022],[-0.44136120399229584,-0.25054481950785673,0.17721166509320024,-0.3880642413948379,-0.26088614842257046,-0.6232916040436015,-0.02558443977731134,0.5029466652026636,-0.023749556031230076,0.2861945321486432],[-0.2965864629874068,-0.16845917495342466,0.11877986365496741,-0.2608861484225706,-0.174983429522685,-0.4187937791910128,-0.017166292771607923,0.33780368227512486,-0.01601266970464043,0.19212738356360828],[-0.7085088261626283,-0.4021433952948874,0.28434759279463795,-0.6232916040436015,-0.4187937791910126,-1.0,-0.040975417514414955,0.8070247196993515,-0.03832773506368388,0.45916875458899026],[-0.02875468967833035,-0.016225758493599602,0.011705103640500005,-0.025584439777311223,-0.01716629277160784,-0.04097541751441477,-0.001600226513045238,0.03299391754493745,-0.0015643473261358046,0.018909813714157845],[0.5718079578551922,0.3245390279958287,-0.22930466634823857,0.5029466652026635,0.33780368227512475,0.8070247196993515,0.03299391754493759,-0.6514965184931358,0.03070215095278033,-0.3709699548224455],[-0.02697258180558524,-0.015419214970842815,0.01084271908608753,-0.02374955603122977,-0.01601266970464022,-0.0383277350636834,-0.0015643473261357913,0.03070215095277994,-0.0012050889289384776,0.017508853278157377],[0.3252501640591459,0.1846309233882407,-0.13028349095055022,0.2861945321486432,0.19212738356360823,0.45916875458899026,0.01890981371415793,-0.3709699548224455,0.017508853278157602,-0.21048752922870673]]",10,Stiff,-1,-1.0,20000.0,-1.0,-1.0,-,-4.47135065910002,"[1.,1.,-1.,1.,1.,1.,1.,-1.,1.,-1.]",-1,0.6553804874420166,MA-PIA,,,-4.47135065910002,"[1,1,-1,1,1,1,-1,-1,1,-1]",18,18,3,18,-1.0,1000,524.160338640213,,-1.0
