Id (int),Valid (int),Updated (str),Matrix (mat),Size (int),Type (str),Rank (int),Density (flt),Stiffness (flt),Penalty (flt),Other (flt),Test_solver (str),Test (flt),Test_state (vec),Test_iterations (int),Test_time (flt),Train_solver (str),Preprocessing (str),Postprocessing (str),Train (flt),Train_state (vec),Train_iterations (int),Train_iterations_1 (int),Train_iterations_2 (int),Train_iterations_3 (int),Train_cost (flt),Train_shots (int),Train_time (flt),Flags (str),Baren (int)
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,
351,1,2025-08-24 02:19:17,"[[-0.22613161816860147,-0.2752180720820349,0.08707746419391654,0.08846524432736362,-0.10163421474813747,-0.2330184362086852,-0.06022222105367922,0.6535586558643398,-0.0008954045277466848,-0.5301633281881303],[-0.2752180720820348,-0.8650161925450375,0.39643167836907656,0.11461145555441075,-0.419075954108489,0.040086047774130815,0.002738500774451182,-0.22029131090731396,0.06178069821792801,0.21389042903812053],[0.08707746419391672,0.3964316783690768,-0.5762665422460256,0.8109746876360573,0.18419710003058956,-0.6318750595861498,0.029755520164165238,-0.10558219654744354,-0.2170941253499799,0.1637663701833955],[0.0884652443273637,0.11461145555441082,0.8109746876360573,-0.464609764131148,0.03714946700440357,-0.1417733447226814,-0.20301540339843538,0.139459584800213,-0.1703033959848379,-0.09783037125946177],[-0.10163421474813784,-0.4190759541084888,0.1841971000305892,0.0371494670044035,-0.009688567378746415,-0.13252362517810848,0.15593490496279908,-0.2985366807529652,0.1711738185199187,-0.20270307650322955],[-0.23301843620868506,0.04008604777413055,-0.6318750595861496,-0.14177334472268122,-0.13252362517810823,-0.4836538891901721,0.5785892767678202,0.7434938683890865,-0.16393128291830955,-0.3407370322756739],[-0.06022222105367924,0.002738500774451271,0.029755520164165362,-0.20301540339843524,0.15593490496279902,0.5785892767678201,-0.9999999999999999,0.20519619179999823,0.1953777758578813,-0.27775694467044365],[0.6535586558643395,-0.22029131090731383,-0.10558219654744368,0.13945958480021287,-0.29853668075296547,0.7434938683890864,0.20519619179999823,-0.46589141580827625,0.24990058212260355,-0.5356112688902863],[-0.000895404527746595,0.06178069821792786,-0.21709412534997966,-0.17030339598483793,0.17117381851991886,-0.16393128291830947,0.1953777758578811,0.2499005821226037,-0.2858218587157084,-0.9393186241562104],[-0.5301633281881303,0.2138904290381205,0.16376637018339527,-0.09783037125946172,-0.20270307650322977,-0.34073703227567365,-0.277756944670444,-0.5356112688902867,-0.9393186241562108,-0.5791901526121009]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-3.104436121440429,"[1,1,-1,1,1,1,1,-1,1,1]",-1,0.317690372467041,-,-,-,-1.0,0,-1,-1,-1,-1,-1.0,-1,-1.0,,-1.0
352,1,2025-08-24 02:19:17,"[[-0.33925896592481747,0.04285675751712959,-0.3771963900899274,0.05785856750020926,0.18913883460056702,-0.21062770974058884,-0.17204220136716172,-0.04630866689392296,-0.02576160762951746,0.30355000442310415],[0.042856757517129494,-0.1503675264351455,-0.16115917287030784,0.2581811628515925,-0.1369711118654767,-0.6722313633042842,-0.1534787340235085,-0.11522479387569017,0.2038427081558268,0.13010267623757263],[-0.3771963900899275,-0.16115917287030798,-0.6172016694516806,-0.3216506393495035,0.29091502004328645,-0.07867141809768305,0.08701413339903911,-0.32662118162348375,-0.2770400959277029,0.0661060383452139],[0.0578585675002093,0.25818116285159254,-0.32165063934950355,-0.2248815341340637,-0.0016226606596791576,-0.4593767547781111,0.18039579422401222,0.1250894712160521,0.32146752303777415,0.2243990834240185],[0.189138834600567,-0.1369711118654767,0.29091502004328673,-0.001622660659678946,0.03663861561903871,-0.06591899785239642,0.0834461903837835,-0.3281922832822075,-0.4835383643708312,0.40197725631668907],[-0.21062770974058895,-0.6722313633042839,-0.078671418097683,-0.4593767547781109,-0.06591899785239659,-0.06776541290669566,0.030046969806128247,0.1327384215549732,0.021674592257680165,-0.18302696518299477],[-0.17204220136716172,-0.1534787340235086,0.08701413339903898,0.18039579422401228,0.08344619038378347,0.030046969806128296,-1.0,0.04367381632704835,0.1148258929511216,-0.21886922172042203],[-0.04630866689392289,-0.11522479387569005,-0.32662118162348364,0.12508947121605202,-0.3281922832822075,0.1327384215549733,0.04367381632704835,0.08285513959315507,0.2444723328298847,-0.10165726412109244],[-0.0257616076295175,0.20384270815582692,-0.2770400959277032,0.32146752303777415,-0.4835383643708313,0.021674592257680123,0.11482589295112161,0.24447233282988493,0.03729207495996867,-0.03441481979183505],[0.30355000442310426,0.1301026762375727,0.06610603834521403,0.2243990834240186,0.40197725631668896,-0.1830269651829946,-0.21886922172042192,-0.10165726412109237,-0.03441481979183501,0.06967234422497676]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-2.4023323898798914,"[1,1,1,1,-1,1,1,1,-1,-1]",-1,0.4416999816894531,-,-,-,-1.0,0,-1,-1,-1,-1,-1.0,-1,-1.0,,-1.0
353,1,2025-08-24 02:19:17,"[[-0.021486794132674382,-0.03856174424137525,-0.23565561850657837,0.0219605495017872,0.17918950460284722,0.6082360176023353,0.049261124997537764,0.0075719405540715205,0.428710963887179,-0.19044666701008978],[-0.038561744241375366,-0.7859439809352619,0.17937646655406514,-0.06954906652213037,-0.4272228380738259,-0.1862448079364777,-0.025390698501905062,0.2866042891468365,0.07224905507190665,0.14686821410257986],[-0.23565561850657837,0.179376466554065,-1.0,-0.02521982647895859,-0.3631071819834996,0.07095721423289623,-0.11764851930164719,0.09618487712431181,-0.03447099615535972,0.12830600044981852],[0.02196054950178708,-0.06954906652213037,-0.02521982647895824,-0.2717972938170382,-0.1309986213223595,0.03594520801380301,0.24665940457753655,-0.4898411521204128,0.580509900628119,0.0382942602046368],[0.1791895046028472,-0.4272228380738261,-0.36310718198349967,-0.13099862132235973,0.003871379668989893,0.02624505920568154,0.11581947651340983,-0.03500788925971352,-0.08520187464977155,0.1509618084257895],[0.6082360176023354,-0.1862448079364777,0.07095721423289662,0.03594520801380302,0.026245059205681487,-0.008134407229915638,-0.3831765218206171,-0.31920926829964175,0.05123246967509423,-0.05392346755091411],[0.04926112499753775,-0.025390698501904882,-0.11764851930164712,0.24665940457753668,0.11581947651340982,-0.38317652182061734,-0.7027441309034559,-0.1284468107605012,0.2832295966894846,-0.0429326588545688],[0.0075719405540712464,0.28660428914683644,0.09618487712431183,-0.4898411521204133,-0.0350078892597137,-0.31920926829964164,-0.1284468107605014,0.0008478493695915493,-0.03176749073957306,0.6697283026549806],[0.4287109638871795,0.07224905507190683,-0.03447099615535961,0.5805099006281196,-0.08520187464977161,0.05123246967509432,0.2832295966894846,-0.0317674907395732,-0.5052697220913054,-0.002319490582048173],[-0.19044666701008986,0.14686821410257977,0.12830600044981846,0.03829426020463669,0.1509618084257895,-0.0539234675509141,-0.042932658854568484,0.6697283026549805,-0.0023194905820482143,-0.26355955472674186]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-2.401106958673428,"[-1,1,1,1,1,1,1,1,-1,-1]",-1,0.2899363040924072,-,-,-,-1.0,0,-1,-1,-1,-1,-1.0,-1,-1.0,,-1.0
354,1,2025-08-24 02:19:18,"[[-0.7676385153645354,0.05854904385074652,-0.3426564138513852,-0.22378834817579263,0.016436347942680295,-0.12943500746751377,0.06430475339516846,0.40462617857638267,-0.3233555831751735,0.23703132695238846],[0.05854904385074644,-0.7538590852014279,-0.24419493869897504,-0.2108089474796084,0.49582072462253474,-0.1257790029010247,-0.050266340505212836,-0.04079150405427703,-0.21921864409232347,0.2604944535626022],[-0.3426564138513851,-0.24419493869897554,-0.002380099304146781,0.21014265053973458,-0.07913076515855715,0.07269711498304808,0.058653656809854425,-0.20334872621631989,0.6896652605686466,-0.5549196808805286],[-0.22378834817579266,-0.21080894747960843,0.21014265053973455,-0.5486536449452317,0.083315036115358,-0.19680044546789352,0.2666683589195465,-0.2886906043074325,-0.03888142309012402,-0.44285136635312305],[0.01643634794268032,0.49582072462253446,-0.07913076515855727,0.08331503611535795,-0.2982682547799391,-0.46056016149283013,-0.3330366762317023,-0.1525090991011754,-0.15667440174337888,0.3214612476423792],[-0.12943500746751355,-0.12577900290102476,0.07269711498304798,-0.19680044546789321,-0.46056016149282997,-0.6727762514987246,0.13482078574203893,-0.2644565188623694,0.007328469935597341,-0.030661106686033918],[0.06430475339516835,-0.050266340505212906,0.058653656809854175,0.2666683589195465,-0.33303667623170236,0.13482078574203887,-1.0,-0.06217621405042654,0.09327310200436478,-0.20683256406404998],[0.4046261785763824,-0.04079150405427697,-0.20334872621632002,-0.2886906043074324,-0.15250909910117544,-0.2644565188623695,-0.062176214050426566,-0.7090209074026756,0.004991763180400339,-0.20797709232858305],[-0.32335558317517354,-0.21921864409232333,0.6896652605686465,-0.0388814230901237,-0.15667440174337866,0.007328469935597295,0.09327310200436482,0.004991763180400587,-0.3624141609808007,-0.3191486287898108],[0.23703132695238852,0.26049445356260215,-0.5549196808805286,-0.4428513663531231,0.3214612476423792,-0.030661106686033765,-0.20683256406405007,-0.2079770923285833,-0.3191486287898109,-0.4279983320813431]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-3.207254760301322,"[1,1,1,1,1,1,1,1,1,1]",-1,0.4309849739074707,-,-,-,-1.0,0,-1,-1,-1,-1,-1.0,-1,-1.0,,-1.0
355,1,2025-08-24 02:19:18,"[[-0.05032332692177626,-0.113349567879492,-0.16067349609807013,-0.8180022347844896,-0.7420893949182557,0.1683496314681929,-0.12476323789732306,0.4159696884983354,-0.13926877400396528,-0.025233085209293474],[-0.1133495678794916,0.18495314873833,0.6990389620248421,-0.3756556888514576,-0.5805481122261714,0.30634796940439524,-1.0,-0.14691053303300888,0.7176777033658511,0.35701482251680244],[-0.16067349609807022,0.6990389620248416,-0.16843747989206279,-0.3755798240178856,0.2852169191968872,0.9304727646426886,-0.5722543859869247,0.4382476610211935,-0.05439855077265177,-0.04117972126757419],[-0.81800223478449,-0.3756556888514582,-0.37557982401788575,0.2656250684745346,-0.5826649672856712,-0.14591030860014165,0.29619481752216015,0.031001136919010998,-0.7959868222688088,0.007758571863103385],[-0.742089394918256,-0.5805481122261715,0.28521691919688685,-0.582664967285671,0.07781703729144292,-0.04447907642249286,0.5165915454301723,-0.22644204548447042,0.26378013950673784,-0.4611933598499904],[0.16834963146819304,0.30634796940439507,0.9304727646426882,-0.14591030860014156,-0.04447907642249305,-0.8005504164643337,-0.6365067227519883,0.11389624675460448,-0.3056951099061573,-0.07292702873755007],[-0.12476323789732348,-0.9999999999999993,-0.5722543859869247,0.2961948175221594,0.5165915454301724,-0.6365067227519886,-0.05109640779739577,0.7769645131644514,-0.31239993243419556,0.5296221386935599],[0.41596968849833543,-0.1469105330330091,0.43824766102119317,0.031001136919011362,-0.22644204548447075,0.1138962467546044,0.7769645131644514,-0.3183292644780766,-0.22764847976318606,0.2160382227753422],[-0.13926877400396517,0.7176777033658515,-0.05439855077265188,-0.7959868222688091,0.26378013950673834,-0.3056951099061576,-0.31239993243419556,-0.22764847976318617,-0.7912559627321157,0.021448477893932276],[-0.025233085209293394,0.35701482251680233,-0.0411797212675742,0.007758571863103499,-0.46119335984998994,-0.07292702873755029,0.5296221386935597,0.21603822277534235,0.021448477893932366,0.3398923182769743]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-4.205335119915401,"[1,1,-1,1,1,1,1,-1,1,-1]",-1,0.4564821720123291,-,-,-,-1.0,0,-1,-1,-1,-1,-1.0,-1,-1.0,,-1.0
356,1,2025-08-24 02:19:19,"[[-0.0003805098102056872,-0.2713528695008512,-0.26125419594326155,0.17260696891681787,0.11700240661841313,-0.016496043035196344,-0.509327480135213,0.2853560818173887,0.1166610118916969,-0.02853041155162197],[-0.2713528695008512,0.2044203489294353,0.7221037206427284,-0.17122190068888044,0.6356113438783721,0.6516362263695836,-0.3923123029445762,-0.7722488629750723,-0.18328439926319684,0.041081116648717844],[-0.2612541959432618,0.7221037206427284,-1.0,-0.4005704940373138,-0.4095907126476407,-0.036573563792618315,0.2301329111888661,-0.6857064200812236,-0.389216768296498,-0.2333690294632259],[0.17260696891681773,-0.17122190068888035,-0.4005704940373133,-0.02297354665328605,0.11690649503983509,-0.546752466617485,0.08608955468274483,0.35745333270920143,-0.02077288857231824,-0.1928353278433147],[0.11700240661841294,0.6356113438783724,-0.4095907126476406,0.1169064950398352,-0.2772619220025528,0.30021575904732434,0.3363974671985675,0.40726113723212687,-0.20544133353041544,-0.05482612193252984],[-0.0164960430351963,0.6516362263695835,-0.036573563792618315,-0.546752466617485,0.30021575904732417,-0.4244574973017421,0.07671571032907501,0.7237861047806758,-0.5201967173447489,-0.26267723082813593],[-0.5093274801352129,-0.3923123029445766,0.23013291118886584,0.086089554682745,0.3363974671985677,0.07671571032907498,-0.7353371879599648,0.08831349772465341,-0.08048204128507169,0.30917726216578717],[0.2853560818173881,-0.772248862975072,-0.6857064200812235,0.35745333270920127,0.4072611372321267,0.7237861047806755,0.08831349772465377,-0.2927326476640712,-0.6606956575019272,0.252380841602724],[0.11666101189169661,-0.183284399263197,-0.3892167682964976,-0.02077288857231828,-0.2054413335304151,-0.5201967173447487,-0.08048204128507241,-0.6606956575019275,0.7862025811158302,-0.43372051909805553],[-0.028530411551621847,0.04108111664871809,-0.23336902946322616,-0.192835327843315,-0.05482612193253,-0.2626772308281362,0.3091772621657875,0.25238084160272406,-0.4337205190980559,0.15252361804675002]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-2.851763410383416,"[-1,-1,1,1,1,1,-1,-1,1,1]",-1,0.434704065322876,-,-,-,-1.0,0,-1,-1,-1,-1,-1.0,-1,-1.0,,-1.0
357,1,2025-08-24 02:19:19,"[[-0.6447030677216683,-0.04756441871399536,0.024364013204466448,-0.020104027292250207,-0.31273007017194543,-0.3278686051916063,-0.13242136135315494,-0.5229944113708397,0.19833884543858454,0.19812439749105168],[-0.0475644187139952,-0.4520240114131282,-0.15212755148566023,-0.10120315016692526,0.03019911090768712,-0.20837747348899224,-0.05936426894453616,-0.4601876505305065,0.3978058456845554,-0.24111625803702427],[0.024364013204466392,-0.15212755148566012,-0.1865971073723228,0.09563062440531497,0.320739620461678,-0.27743159131941364,0.0789430792002121,0.15113296037686444,-0.04793629965309814,-0.16605622706706802],[-0.02010402729225014,-0.101203150166925,0.09563062440531497,0.3308610482002042,0.3336263919661851,0.12650956293968202,-0.07711850058952341,-0.12647644348628895,-0.3127612478817955,-0.37575471335099],[-0.31273007017194554,0.030199110907687232,0.32073962046167803,0.3336263919661852,0.3304338477040069,0.08712267735798726,-0.057844353285601516,-0.07152681376525423,-0.5270941651218904,-0.1882671810387044],[-0.3278686051916063,-0.20837747348899227,-0.2774315913194138,0.12650956293968202,0.08712267735798726,-0.6289407312777021,0.07343384215912552,-0.24088086746092233,0.25724015813892387,-0.14240940478045908],[-0.132421361353155,-0.05936426894453619,0.07894307920021215,-0.07711850058952345,-0.05784435328560158,0.07343384215912556,-0.23470228238168228,0.1133048224770019,-0.043384632220882624,0.13989813166472845],[-0.5229944113708398,-0.46018765053050664,0.15113296037686463,-0.1264764434862893,-0.07152681376525441,-0.24088086746092233,0.1133048224770018,-1.0,-0.0905577726928252,-0.19176402714656512],[0.1983388454385844,0.3978058456845553,-0.04793629965309806,-0.31276124788179566,-0.5270941651218904,0.2572401581389237,-0.043384632220882575,-0.09055777269282544,-0.08851955508150336,0.32354705728527877],[0.1981243974910517,-0.24111625803702427,-0.16605622706706813,-0.3757547133509902,-0.18826718103870446,-0.1424094047804591,0.13989813166472836,-0.19176402714656512,0.3235470572852789,0.09909512878843199]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-2.985594863619032,"[1,1,1,1,-1,1,-1,1,-1,1]",-1,0.5350134372711182,-,-,-,-1.0,0,-1,-1,-1,-1,-1.0,-1,-1.0,,-1.0
358,1,2025-08-24 02:19:20,"[[0.34167123059717514,-0.38538984237321444,0.14134247460806662,0.09901503697083672,-0.025591271322154403,-0.03241261219732305,-0.15891234126732373,-0.14599044750018655,-0.009399939116575658,0.4026869656628977],[-0.3853898423732142,-0.15270520819186645,0.42916625003206416,0.06762885884317503,0.5436659285571322,-0.006930265353416628,0.04274532453636654,-0.06847115112582361,0.17983649824069248,-0.17854427961596211],[0.14134247460806668,0.42916625003206443,-0.3336254655760184,0.2132000654565622,0.08661498883335379,-0.6422227010243553,0.02579172830671688,0.1854622894176266,0.08256607615156016,-0.11866117480492493],[0.09901503697083656,0.06762885884317513,0.21320006545656225,0.7421332827940734,-0.12179002962402383,0.22872837985063324,-0.1574632497261731,-0.3809242315953452,0.08566740076528213,-0.2347666613819266],[-0.025591271322154493,0.5436659285571327,0.08661498883335399,-0.1217900296240238,-0.36702794187971016,0.38380474749238275,-0.28420904222287174,0.1898958989984847,0.06858449897592392,-0.08607811930548245],[-0.032412612197323054,-0.006930265353416656,-0.6422227010243554,0.22872837985063324,0.3838047474923831,0.19603229707111886,-0.5161779358075249,0.2861646738755843,0.13988356481281566,-0.2072495864835094],[-0.15891234126732373,0.04274532453636659,0.025791728306716936,-0.15746324972617318,-0.284209042222872,-0.5161779358075251,0.21160568908916327,0.09611867572327856,0.500203681732437,-0.17906794195179135],[-0.1459904475001866,-0.06847115112582361,0.18546228941762652,-0.3809242315953452,0.18989589899848483,0.2861646738755843,0.0961186757232787,0.5788622292565195,-0.09177049975248258,-0.025732357843257454],[-0.009399939116575516,0.1798364982406927,0.08256607615156009,0.08566740076528225,0.06858449897592407,0.13988356481281594,0.500203681732437,-0.09177049975248226,-1.0,-0.023128046417294473],[0.4026869656628977,-0.17854427961596203,-0.11866117480492523,-0.23476666138192656,-0.08607811930548281,-0.2072495864835091,-0.17906794195179143,-0.02573235784325738,-0.023128046417294566,0.4034725369363087]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-1.736803711679499,"[-1,-1,1,-1,1,1,1,-1,-1,1]",-1,0.5004129409790039,-,-,-,-1.0,0,-1,-1,-1,-1,-1.0,-1,-1.0,,-1.0
359,1,2025-08-24 02:19:20,"[[-1.0,0.14574037040276816,-0.25518642345239884,-0.13978167576323391,-0.07418402583992338,0.0028223519661322535,0.3616574377894512,0.1406297973644826,-0.36595614932672244,-0.6229985682615841],[0.14574037040276847,-0.6088147401877292,-0.1634686210337552,0.05155047791798013,0.01412246729060167,0.1465084030117526,0.13485816490685448,0.1889726004813185,0.2047937340834568,-0.12066728681756074],[-0.2551864234523987,-0.163468621033755,-0.6536656586429602,0.1969869316167498,-0.12472524445345491,-0.0474799735282771,-0.33613166234259684,-0.4310031009608044,-0.19724756305908478,0.6948440645489297],[-0.13978167576323414,0.05155047791798031,0.1969869316167496,0.6293183693858782,-0.19775064334338208,-0.07656805773363584,-0.2891673832635499,0.4994844811649541,0.007324584442084818,0.15577468263480948],[-0.07418402583992303,0.01412246729060167,-0.12472524445345468,-0.19775064334338222,-0.7828877459506898,0.459805311327963,0.08494050423263894,0.04395926458940479,0.41379092685629204,0.10765250565259801],[0.0028223519661324773,0.14650840301175264,-0.04747997352827725,-0.07656805773363577,0.4598053113279631,-0.6979356112945574,-0.010101798777187834,0.2800033050425585,0.3852810661483682,0.07928317077833252],[0.3616574377894513,0.13485816490685443,-0.336131662342597,-0.28916738326354985,0.08494050423263895,-0.01010179877718776,-0.2109035522209994,0.2106599601849665,-0.03882804577529717,-0.651027057751117],[0.1406297973644825,0.1889726004813185,-0.43100310096080413,0.499484481164954,0.04395926458940493,0.2800033050425585,0.21065996018496624,-0.2934010819690337,0.25858628575491854,0.04351140824978194],[-0.3659561493267222,0.2047937340834569,-0.19724756305908456,0.007324584442084803,0.41379092685629204,0.38528106614836816,-0.03882804577529708,0.25858628575491843,-0.06743262939547236,0.466707251577019],[-0.6229985682615842,-0.12066728681756063,0.6948440645489297,0.15577468263480973,0.10765250565259804,0.07928317077833252,-0.6510270577511172,0.043511408249781856,0.4667072515770191,-0.07645964722208723]]",10,Stiff,-1,-1.0,1.0,-1.0,-1.0,-,-1.9398880299997687,"[1,1,1,-1,1,-1,1,-1,-1,1]",-1,0.5203330516815186,-,-,-,-1.0,0,-1,-1,-1,-1,-1.0,-1,-1.0,,-1.0
