Id (int),Valid (int),Updated (str),Matrix (mat),Size (int),Type (str),Rank (int),Density (flt),Stiffness (flt),Other (flt),Test_solver (str),Test (flt),Test_state (vec),Test_iterations (int),Test_time (flt),Train_solver (str),Preprocessing (str),Postprocessing (str),Train (flt),Train_state (vec),Train_iterations_1 (int),Train_iterations_2 (int),Train_iterations_3 (int),Train_cost (flt),Train_shots (int),Train_time (flt),Flags (str)
0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0
1,1,2025-08-20 17:43:29,"[[0.17595890215730323,-0.05986242659504175,0.156195873976092,-0.20446537891659458,-0.17612251924708222,0.007490694868263849,-0.036629509654133335,0.28730247174049306,0.056819032082132764,0.10323368940377858],[-0.05986242659504175,-0.02150626960252413,-0.1247601253063325,-0.0973457434182591,-0.13719410286905684,-0.054106349936988984,-0.09186549851196181,-0.04404508098248938,-0.03329700352963651,-0.06956470188106803],[0.156195873976092,-0.1247601253063325,0.01812001514106142,-0.46689733053161026,-0.49337010520195906,-0.0826755287047861,-0.21278288452859492,0.3482133074808614,0.02542183587123422,0.03228501355672744],[-0.20446537891659458,-0.0973457434182591,-0.46689733053161026,-0.4292477171450838,-0.5823877086500541,-0.21552422049909975,-0.37274405086839746,-0.11973917697847455,-0.1214745288280328,-0.256853020672953],[-0.17612251924708222,-0.13719410286905684,-0.49337010520195906,-0.5823877086500541,-0.7534815912501835,-0.25212654029301934,-0.4546618717150554,-0.034423601645668156,-0.12213057433059477,-0.2655169326898099],[0.007490694868263849,-0.054106349936988984,-0.0826755287047861,-0.21552422049909975,-0.25212654029301934,-0.06321604395009518,-0.1295446657991654,0.0783582026919731,-0.013926204205932302,-0.03766640735387916],[-0.036629509654133335,-0.09186549851196181,-0.21278288452859492,-0.37274405086839746,-0.4546618717150554,-0.1295446657991654,-0.25127024329787423,0.07282253694454044,-0.045319320352138745,-0.10746173670207126],[0.28730247174049306,-0.04404508098248938,0.3482133074808614,-0.11973917697847455,-0.034423601645668156,0.0783582026919731,0.07282253694454044,0.401235681838717,0.1096434169160741,0.21264528362925397],[0.056819032082132764,-0.03329700352963651,0.02542183587123422,-0.1214745288280328,-0.12213057433059477,-0.013926204205932302,-0.045319320352138745,0.1096434169160741,0.014239593290867185,0.02213319041615181],[0.10323368940377858,-0.06956470188106803,0.03228501355672744,-0.256853020672953,-0.2655169326898099,-0.03766640735387916,-0.10746173670207126,0.21264528362925397,0.02213319041615181,0.03203351517485867]]",10,Random,10,-1.0,-1.0,-1.0,-,-4.333618966493434,"[1,1,1,1,1,1,1,-1,1,1]",-1,0.216843843460083,-,-,-,-1.0,0,-1,-1,-1,-1.0,-1,-1.0,
2,1,2025-08-20 17:43:29,"[[-0.06543385124874279,-0.11019352702885694,-0.054521765471512246,-0.10897851131884095,-0.027890140803063897,-0.10799918524852936,-0.06843073170962077,-0.11201243251554499,-0.3525688933624467,-0.057050813396671375],[-0.11019352702885694,-0.18107255182851661,-0.09477180918629448,-0.14130173663172133,-0.03855650381719743,-0.16733097673141062,-0.09851677790159617,-0.1581913278543998,-0.5015311831684215,-0.08939267323581049],[-0.054521765471512246,-0.09477180918629448,-0.04345072475027059,-0.1187940403208995,-0.028866172874453803,-0.0995920791939233,-0.06808922497186207,-0.11351989237651856,-0.3548757300812917,-0.05197203839589579],[-0.10897851131884095,-0.14130173663172133,-0.1187940403208995,0.21304754884970792,0.03290924850110478,-0.044212669241326566,0.04220015956111265,0.09886185199413479,0.2745355631591027,-0.03208275396266165],[-0.027890140803063897,-0.03855650381719743,-0.028866172874453803,0.03290924850110478,0.004245121990372048,-0.018805230320713406,0.002333734319396538,0.009787103079631793,0.02311309504817597,-0.01162946458177004],[-0.10799918524852936,-0.16733097673141062,-0.0995920791939233,-0.044212669241326566,-0.018805230320713406,-0.13156695174193261,-0.05923742822645545,-0.08674799694755408,-0.28560325780104623,-0.0724999566731478],[-0.06843073170962077,-0.09851677790159617,-0.06808922497186207,0.04220015956111265,0.002333734319396538,-0.05923742822645545,-0.009669818499839965,-0.004010249312088588,-0.02752227667155064,-0.03466792650243945],[-0.11201243251554499,-0.1581913278543998,-0.11351989237651856,0.09886185199413479,0.009787103079631793,-0.08674799694755408,-0.004010249312088588,0.014830764765792414,0.01997863334525779,-0.052063077020183805],[-0.3525688933624467,-0.5015311831684215,-0.3548757300812917,0.2745355631591027,0.02311309504817597,-0.28560325780104623,-0.02752227667155064,0.01997863334525779,-0.017486594386981875,-0.16983696533149467],[-0.057050813396671375,-0.08939267323581049,-0.05197203839589579,-0.03208275396266165,-0.01162946458177004,-0.0724999566731478,-0.03466792650243945,-0.052063077020183805,-0.16983696533149467,-0.03964798891961194]]",10,Random,10,-1.0,-1.0,-1.0,-,-2.81382317099334,"[1,1,1,-1,1,1,1,1,1,1]",-1,0.216428518295288,-,-,-,-1.0,0,-1,-1,-1,-1.0,-1,-1.0,
3,1,2025-08-20 17:43:29,"[[0.0600581799105576,0.05639106699000648,-0.02820711084712811,-0.017165934915820427,0.07215485280913599,0.14417017664102752,0.07135022911002539,0.14619709783875212,0.07161068231725337,0.003381761310946571],[0.05639106699000648,-0.21391846492748828,-0.24332574816326596,-0.37876193162026334,0.045765634529065596,-0.23534751220454114,0.05038882977557855,0.11419371786137676,-0.23822624255436425,-0.17278491415317151],[-0.02820711084712811,-0.24332574816326596,-0.16066158849479187,-0.2860524146159783,-0.05536246874191183,-0.3632687625788284,-0.047974647297252905,-0.09061683750054633,-0.2779010901349567,-0.14329401920103924],[-0.017165934915820427,-0.37876193162026334,-0.2860524146159783,-0.487724975817918,-0.05298487169563902,-0.5412450919567133,-0.04379697779599988,-0.07551729082081182,-0.4314518606811817,-0.23868296274315182],[0.07215485280913599,0.045765634529065596,-0.05536246874191183,-0.05298487169563902,0.08715700559159176,0.1352260990361812,0.08471371235617245,0.17521704031515095,0.06220862186122029,-0.01127776029029056],[0.14417017664102752,-0.23534751220454114,-0.3632687625788284,-0.5412450919567133,0.1352260990361812,-0.15433823474092886,0.14775549142764602,0.31298025093609444,-0.24240779631418705,-0.23172203828061966],[0.07135022911002539,0.05038882977557855,-0.047974647297252905,-0.04379697779599988,0.08471371235617245,0.14775549142764602,0.08432862553784988,0.17296267907222962,0.07011519631211355,-0.005929832371460601],[0.14619709783875212,0.11419371786137676,-0.09061683750054633,-0.07551729082081182,0.17521704031515095,0.31298025093609444,0.17296267907222962,0.35499092913490066,0.1521870448006247,-0.006960219554636354],[0.07161068231725337,-0.23822624255436425,-0.2779010901349567,-0.4314518606811817,0.06220862186122029,-0.24240779631418705,0.07011519631211355,0.1521870448006247,-0.26124915667473064,-0.1939516310067093],[0.003381761310946571,-0.17278491415317151,-0.14329401920103924,-0.23868296274315182,-0.01127776029029056,-0.23172203828061966,-0.005929832371460601,-0.006960219554636354,-0.1939516310067093,-0.11403266910024815]]",10,Random,10,-1.0,-1.0,-1.0,-,-4.071727028006756,"[-1,1,1,1,-1,1,-1,-1,1,1]",-1,0.2175793647766113,-,-,-,-1.0,0,-1,-1,-1,-1.0,-1,-1.0,
4,1,2025-08-20 17:43:30,"[[-0.15092638924391014,-0.48949646783743944,-0.42504258125106226,-0.37881381352606047,-0.4560997861966599,-0.15293959048883768,-0.2991502822131589,-0.1927432649239148,-0.2719163095675981,-0.4334446427479368],[-0.48949646783743944,0.13761488968811478,0.2853653155712016,-0.11339729617014456,-0.04979662243162786,-0.19090418494157552,-0.027139013003595426,0.08516100499451583,0.16478351077655778,0.023547228396151393],[-0.42504258125106226,0.2853653155712016,0.40799583160428887,0.008895500120080696,0.09379633508198425,-0.13703544257052597,0.06731672544707892,0.14209405885705123,0.2438143363745346,0.15831206573318304],[-0.37881381352606047,-0.11339729617014456,0.008895500120080696,-0.2301680945150249,-0.2206939689872528,-0.18639687382506426,-0.14198374013516712,-0.024725544033138196,-0.006355704169497101,-0.16404971695967224],[-0.4560997861966599,-0.04979662243162786,0.09379633508198425,-0.2206939689872528,-0.19375474162375877,-0.20913932482994985,-0.12293235275988004,0.00595735608142868,0.04491932075788223,-0.12568578055497262],[-0.15293959048883768,-0.19090418494157552,-0.13703544257052597,-0.18639687382506426,-0.20913932482994985,-0.10161160531614705,-0.13586483730169224,-0.06866682631373053,-0.09045607521819647,-0.18692686139251505],[-0.2991502822131589,-0.027139013003595426,0.06731672544707892,-0.14198374013516712,-0.12293235275988004,-0.13586483730169224,-0.07847218843744644,0.005870916183615387,0.03239592204482689,-0.07822929025397894],[-0.1927432649239148,0.08516100499451583,0.14209405885705123,-0.024725544033138196,0.00595735608142868,-0.06866682631373053,0.005870916183615387,0.04665536469842482,0.08366818538749919,0.03451874914986609],[-0.2719163095675981,0.16478351077655778,0.2438143363745346,-0.006355704169497101,0.04491932075788223,-0.09045607521819647,0.03239592204482689,0.08366818538749919,0.14427679574951993,0.08600281303657029],[-0.4334446427479368,0.023547228396151393,0.15831206573318304,-0.16404971695967224,-0.12568578055497262,-0.18692686139251505,-0.07822929025397894,0.03451874914986609,0.08600281303657029,-0.060023138260950806]]",10,Random,10,-1.0,-1.0,-1.0,-,-3.63650274696081,"[1,1,-1,1,1,1,1,1,-1,1]",-1,0.2172503471374511,-,-,-,-1.0,0,-1,-1,-1,-1.0,-1,-1.0,
5,1,2025-08-20 17:43:30,"[[-0.20338902747623938,-0.21345035603969437,-0.08116371870588882,-0.18785864003041045,-0.5401900703866174,-0.2138826564119167,-0.2933936820548593,-0.3257200594695154,-0.26502345135713373,-0.36538517955744104],[-0.21345035603969437,-0.16356199027830548,-0.014560944770750296,-0.10241245510880048,-0.3266636119556834,-0.14281264912375707,-0.21244628126019885,-0.18922915142461127,-0.22724197465508655,-0.21897688985472388],[-0.08116371870588882,-0.014560944770750296,0.06433655978731262,0.05604102743740064,0.10438269604006258,0.022608705081783434,0.015261264453617293,0.07665507839205542,-0.05029031418998796,0.07338138807948977],[-0.18785864003041045,-0.10241245510880048,0.05604102743740064,-0.001410756201889994,-0.07562228877537433,-0.052233449620198595,-0.10055295979560606,-0.02756522684559287,-0.16994910809316008,-0.04766740962501297],[-0.5401900703866174,-0.3266636119556834,0.10438269604006258,-0.07562228877537433,-0.38767646894205643,-0.20834849839582625,-0.3568852080063452,-0.19106548140791463,-0.5119897387069428,-0.25426663352305046],[-0.2138826564119167,-0.14281264912375707,0.022608705081783434,-0.052233449620198595,-0.20834849839582625,-0.09669699664032538,-0.15668568204505084,-0.10925375650724078,-0.2171881978094328,-0.140569579860163],[-0.2933936820548593,-0.21244628126019885,0.015261264453617293,-0.10055295979560606,-0.3568852080063452,-0.15668568204505084,-0.255482294033642,-0.1985760351248773,-0.307478069271924,-0.23653466409887014],[-0.3257200594695154,-0.18922915142461127,0.07665507839205542,-0.02756522684559287,-0.19106548140791463,-0.10925375650724078,-0.1985760351248773,-0.08879278580800448,-0.30235681967320055,-0.12205214409453338],[-0.26502345135713373,-0.22724197465508655,-0.05029031418998796,-0.16994910809316008,-0.5119897387069428,-0.2171881978094328,-0.307478069271924,-0.30235681967320055,-0.3001259224602946,-0.3470112039931364],[-0.36538517955744104,-0.21897688985472388,0.07338138807948977,-0.04766740962501297,-0.25426663352305046,-0.140569579860163,-0.23653466409887014,-0.12205214409453338,-0.3470112039931364,-0.16765380127361276]]",10,Random,10,-1.0,-1.0,-1.0,-,-6.451764894152793,"[1,1,-1,1,1,1,1,1,1,1]",-1,0.2161509990692138,-,-,-,-1.0,0,-1,-1,-1,-1.0,-1,-1.0,
6,1,2025-08-20 17:43:29,"[[-0.04214551162977747,0.032025682334663824,-0.023040207316735332,-0.16980345847167103,0.06160233874347528,0.03654397782832779,-0.020440169920951257,0.06671834043279036,0.07950854044957718,-0.08369098132428837],[0.032025682334663824,0.09644800974243388,0.12095735329844455,-0.14745645332470061,0.08536711338078243,0.09028893750899346,0.020520771297627985,0.09005192788471413,0.10886493812563328,0.13592142476336413],[-0.023040207316735332,0.12095735329844455,0.07602538846849127,-0.3295345683498443,0.14689385319268977,0.12109965002465513,-0.006843508994699888,0.15701655712468407,0.1883715680709869,0.01627853124668037],[-0.16980345847167103,-0.14745645332470061,-0.3295345683498443,-0.052689635163830253,-0.0539037529980269,-0.12263459180042192,-0.09383876843851668,-0.05323450703963576,-0.06640239496826157,-0.5032340490567273],[0.06160233874347528,0.08536711338078243,0.14689385319268977,-0.0539037529980269,0.054547599763804896,0.07574412837867606,0.035466175742717466,0.056438891085978826,0.06871079210685853,0.20170106939175353],[0.03654397782832779,0.09028893750899346,0.12109965002465513,-0.12263459180042192,0.07574412837867606,0.08369182277325675,0.022693066943074162,0.07966079161738565,0.09624929209113771,0.14341084014834213],[-0.020440169920951257,0.020520771297627985,-0.006843508994699888,-0.09383876843851668,0.035466175742717466,0.022693066943074162,-0.009715009829602696,0.03823893863443624,0.0455498079305784,-0.03764728363333732],[0.06671834043279036,0.09005192788471413,0.15701655712468407,-0.05323450703963576,0.056438891085978826,0.07966079161738565,0.03823893863443624,0.05837873558913552,0.07132666691786187,0.21691551229770692],[0.07950854044957718,0.10886493812563328,0.1883715680709869,-0.06640239496826157,0.06871079210685853,0.09624929209113771,0.0455498079305784,0.07132666691786187,0.0869174769907115,0.2595126371015407],[-0.08369098132428837,0.13592142476336413,0.01627853124668037,-0.5032340490567273,0.20170106939175353,0.14341084014834213,-0.03764728363333732,0.21691551229770692,0.2595126371015407,-0.12302690357821079]]",10,Random,10,-1.0,-1.0,-1.0,-,-1.6991646485227392,"[1,-1,1,1,-1,-1,1,-1,-1,1]",-1,0.2175865173339843,-,-,-,-1.0,0,-1,-1,-1,-1.0,-1,-1.0,
7,1,2025-08-20 17:43:29,"[[-0.3848434597131176,-0.1924746719216387,0.020377692749895177,-0.5331392696461905,-0.11557106720881205,-0.46806788173153024,-0.08460885463522705,-0.04944396645979259,-0.4510431613932868,-0.31791748506687867],[-0.1924746719216387,-0.003532779871130509,0.0824639854309068,-0.03863876973664213,-0.0023326767448608914,-0.12954754603770532,0.08061449139763133,-0.03333578371752125,-0.1732019527762313,-0.09732096384590957],[0.020377692749895177,0.0824639854309068,0.07044567031640597,0.21490346798503301,0.056079261005897135,0.10674230792996856,0.11548144855691,-0.000275295579258825,0.07170923473728855,0.05263148711386825],[-0.5331392696461905,-0.03863876973664213,0.21490346798503301,-0.1755001642055085,-0.01922914330425899,-0.39255583247050585,0.19233005418601068,-0.08696499037790463,-0.49484163392139924,-0.2968801282899425],[-0.11557106720881205,-0.0023326767448608914,0.056079261005897135,-0.01922914330425899,0.001311548097023796,-0.07767347406838014,0.05527648406526635,-0.018485349433293982,-0.10080566495657949,-0.06375042138037189],[-0.46806788173153024,-0.12954754603770532,0.10674230792996856,-0.39255583247050585,-0.07767347406838014,-0.4518593780735986,0.03465392692421368,-0.06952036026197873,-0.49152721606841376,-0.3179746907012818],[-0.08460885463522705,0.08061449139763133,0.11548144855691,0.19233005418601068,0.05527648406526635,0.03465392692421368,0.15965516501931196,-0.018469142543579817,-0.023923554226234656,-0.0005545872854418737],[-0.04944396645979259,-0.03333578371752125,-0.000275295579258825,-0.08696499037790463,-0.018485349433293982,-0.06952036026197873,-0.018469142543579817,-0.005096614926050268,-0.061071305796166306,-0.04967666443090583],[-0.4510431613932868,-0.1732019527762313,0.07170923473728855,-0.49484163392139924,-0.10080566495657949,-0.49152721606841376,-0.023923554226234656,-0.061071305796166306,-0.5001859619421255,-0.34396350778205187],[-0.31791748506687867,-0.09732096384590957,0.05263148711386825,-0.2968801282899425,-0.06375042138037189,-0.3179746907012818,-0.0005545872854418737,-0.04967666443090583,-0.34396350778205187,-0.21132377988844733]]",10,Random,10,-1.0,-1.0,-1.0,-,-4.8443576430657815,"[1,1,-1,1,1,1,-1,1,1,1]",-1,0.214456558227539,-,-,-,-1.0,0,-1,-1,-1,-1.0,-1,-1.0,
8,1,2025-08-20 17:43:29,"[[0.4155171951037694,0.03394485061981305,-0.06459275307671518,0.4508153792809526,0.5001070148057195,-0.21031732528529393,-0.08526631238565958,0.30553973722665073,-0.029873644661286128,0.14550778425256866],[0.03394485061981305,-0.01847369606536062,-0.06775751866323496,0.06168597740876894,0.02311776011951213,-0.13152121262261446,-0.07281151172494887,0.02447498390102464,-0.03819529230627456,-0.021406569698788794],[-0.06459275307671518,-0.06775751866323496,-0.17469064149692135,0.00384398052313753,-0.13110014330099584,-0.30575417031565233,-0.18093252403513238,-0.04838048604220131,-0.100967311313935,-0.1207193049958302],[0.4508153792809526,0.06168597740876894,0.00384398052313753,0.4591217792635226,0.5640219989838854,-0.09289716904827011,-0.015826137866668588,0.33129637729298367,0.009512702952614235,0.19689023636181224],[0.5001070148057195,0.02311776011951213,-0.13110014330099584,0.5640219989838854,0.5911413134051039,-0.34776155997886626,-0.1580826041166863,0.3661140866239393,-0.06701503355918212,0.1461911886841303],[-0.21031732528529393,-0.13152121262261446,-0.30575417031565233,-0.09289716904827011,-0.34776155997886626,-0.5116657332906484,-0.31292024646146843,-0.15753474097771225,-0.1790303639652362,-0.2539161225101939],[-0.08526631238565958,-0.07281151172494887,-0.18093252403513238,-0.015826137866668588,-0.1580826041166863,-0.31292024646146843,-0.1890377173694174,-0.06473868142478799,-0.10572908862504699,-0.13362199196866895],[0.30553973722665073,0.02447498390102464,-0.04838048604220131,0.33129637729298367,0.3661140866239393,-0.15753474097771225,-0.06473868142478799,0.22491149976084057,-0.0224984329738026,0.10647710702250461],[-0.029873644661286128,-0.03819529230627456,-0.100967311313935,0.009512702952614235,-0.06701503355918212,-0.1790303639652362,-0.10572908862504699,-0.0224984329738026,-0.0583890683923418,-0.0666487802410253],[0.14550778425256866,-0.021406569698788794,-0.1207193049958302,0.19689023636181224,0.1461911886841303,-0.2539161225101939,-0.13362199196866895,0.10647710702250461,-0.0666487802410253,-0.0011760225550618642]]",10,Random,10,-1.0,-1.0,-1.0,-,-2.912473944551794,"[-1,1,1,-1,1,1,1,-1,1,1]",-1,0.2174811363220214,-,-,-,-1.0,0,-1,-1,-1,-1.0,-1,-1.0,
9,1,2025-08-20 17:43:30,"[[0.431517203946444,-0.01875368790654744,-0.33048434858655557,-0.013347643713085292,0.06849067361377142,0.3165067166542074,0.5982053610277163,-0.3631859618507417,0.06987792865422077,-0.019435027909634868],[-0.01875368790654744,-0.021303892392887554,-0.07029566419240137,-0.023982829101413253,-0.00555113407933868,-0.04068220586053227,0.032197196390659745,-0.12718371854865868,-0.0211003866548072,-0.030992908352222827],[-0.33048434858655557,-0.07029566419240137,-0.06518432227693331,-0.08331029065840859,-0.06301577221064965,-0.345102859532458,-0.24026624499002142,-0.25949284994713245,-0.12045489877436459,-0.10564640944182203],[-0.013347643713085292,-0.023982829101413253,-0.08331029065840859,-0.026768104155358373,-0.0050590600730077845,-0.03923102516873865,0.04565637495472278,-0.14643823454911303,-0.02218984344015882,-0.034343002973205625],[0.06849067361377142,-0.00555113407933868,-0.06301577221064965,-0.0050590600730077845,0.01062834929454973,0.04703038845459602,0.1022780061246129,-0.0754224990140731,0.008769899067569299,-0.006962238831353933],[0.3165067166542074,-0.04068220586053227,-0.345102859532458,-0.03923102516873865,0.04703038845459602,0.19956335306535086,0.5093028539509182,-0.43979431808587055,0.029279262427346894,-0.05288742374548551],[0.5982053610277163,0.032197196390659745,-0.24026624499002142,0.04565637495472278,0.1022780061246129,0.5093028539509182,0.6802249577873384,-0.13533160000369016,0.14252243672789153,0.05575181563028553],[-0.3631859618507417,-0.12718371854865868,-0.25949284994713245,-0.14643823454911303,-0.0754224990140731,-0.43979431808587055,-0.13533160000369016,-0.602666994251508,-0.171963813656854,-0.1873350606500685],[0.06987792865422077,-0.0211003866548072,-0.12045489877436459,-0.02218984344015882,0.008769899067569299,0.029279262427346894,0.14252243672789153,-0.171963813656854,-0.002543546455637403,-0.028649062740889675],[-0.019435027909634868,-0.030992908352222827,-0.10564640944182203,-0.034343002973205625,-0.006962238831353933,-0.05288742374548551,0.05575181563028553,-0.1873350606500685,-0.028649062740889675,-0.04477073797444806]]",10,Random,10,-1.0,-1.0,-1.0,-,-2.512271945733627,"[1,1,1,1,1,1,-1,1,1,1]",-1,0.2149322032928466,-,-,-,-1.0,0,-1,-1,-1,-1.0,-1,-1.0,
