Id (int),Valid (int),Updated (str),Matrix (mat),Size (int),Type (str),Rank (int),Density (flt),Stiffness (flt),Other (flt),Test_solver (str),Test (flt),Test_state (vec),Test_iterations (int),Test_time (flt),Train_solver (str),Preprocessing (str),Postprocessing (str),Train (flt),Train_state (vec),Train_iterations_1 (int),Train_iterations_2 (int),Train_iterations_3 (int),Train_cost (flt),Train_shots (int),Train_time (flt),Flags (str),Baren (int)
0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,2025-08-28 17:55:29,"[[0.24429993395026126,-0.2455267590455873,0.1908168104092025,0.03288834978419359,0.13111644712838974,0.021667780920754214,0.3549434022417873,0.12699500684939233,-0.07109196065944859,-0.14854094340640484],[-0.2455267590455873,-0.32314903807723894,0.02603796044561224,-0.2506702877511147,-0.15400322585008258,-0.20837816592563171,-0.11947127027105522,-0.3186249544696278,-0.6401838425822444,-0.17043971607123634],[0.1908168104092025,0.02603796044561224,0.06632555755837388,0.10978733162138918,0.11310518617329433,0.08803753436294762,0.18481576513182518,0.16956091481290764,0.21594100705700656,0.004059194856374043],[0.03288834978419359,-0.2506702877511147,0.10978733162138918,-0.07808522492633514,0.006611308189324622,-0.06832398340205253,0.13986523579831978,-0.0544066556271731,-0.28165439612076404,-0.14229704023326656],[0.13111644712838974,-0.15400322585008258,0.11310518617329433,0.006611308189324622,0.07184183918180115,0.004994068265952941,0.20195944565361273,0.059665443139615276,-0.06834606746833012,-0.0949429935556402],[0.021667780920754214,-0.20837816592563171,0.08803753436294762,-0.06832398340205253,0.004994068265952941,-0.05916678392231461,0.10862424611334875,-0.052055085955848006,-0.2395458882036946,-0.11811707052043913],[0.3549434022417873,-0.11947127027105522,0.18481576513182518,0.13986523579831978,0.20195944565361273,0.10862424611334875,0.4126019726751818,0.2601713305770935,0.1924621456668544,-0.08320637056697344],[0.12699500684939233,-0.3186249544696278,0.16956091481290764,-0.0544066556271731,0.059665443139615276,-0.052055085955848006,0.2601713305770935,0.0006004290506201595,-0.27523200843010964,-0.18256354860560173],[-0.07109196065944859,-0.6401838425822444,0.21594100705700656,-0.28165439612076404,-0.06834606746833012,-0.2395458882036946,0.1924621456668544,-0.27523200843010964,-0.8695484135129227,-0.3550337935663299],[-0.14854094340640484,-0.17043971607123634,0.004059194856374043,-0.14229704023326656,-0.0949429935556402,-0.11811707052043913,-0.08320637056697344,-0.18256354860560173,-0.3550337935663299,-0.08614240698542891]]",10,Random,10,-1.0,-1.0,0.0,0,0.5547380620243647,"[-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.]",0,0.3237817287445068,MA-ALT,,,-3.750976753769419,"[1,1,-1,1,1,1,-1,1,1,1]",-1,-1,-1,0.0,1000,341.65664315223694,Baren_47,0
2,1,2025-08-28 17:55:41,"[[-0.23937574933369468,-0.584589054635809,-0.03144940263202028,-0.22889481659067945,-0.14874733698913906,-0.12271167313950371,-0.10634953444141299,-0.0883199258831885,-0.03989246890572411,-0.41533717442200324],[-0.584589054635809,-0.6864734610141142,0.01542608038153494,-0.25292096645107365,-0.2630979176652315,-0.22738566307176064,-0.3284463900121734,-0.09288257982472711,0.07224344280592726,-0.5699421133952174],[-0.03144940263202028,0.01542608038153494,0.007230553737944931,0.00823671031268901,-0.007764418433919486,-0.007016454797369064,-0.022487654044137835,0.004487401970260806,0.015474262714496954,0.0011520919224188332],[-0.22889481659067945,-0.25292096645107365,0.00823671031268901,-0.08694655157120923,-0.10268169912918507,-0.08900394695839725,-0.13254797198940665,-0.034590983788617,0.034065037948091466,-0.21634244519301754],[-0.14874733698913906,-0.2630979176652315,-0.007764418433919486,-0.10268169912918507,-0.08229050798685598,-0.0651825630824467,-0.07393137801578659,-0.0316680292963078,-0.00524073190998146,-0.1925126914779109],[-0.12271167313950371,-0.22738566307176064,-0.007016454797369064,-0.08900394695839725,-0.0651825630824467,-0.055592886749446915,-0.060749940872431435,-0.0346130072859768,-0.003996185430008008,-0.16992318594091133],[-0.10634953444141299,-0.3284463900121734,-0.022487654044137835,-0.13254797198940665,-0.07393137801578659,-0.060749940872431435,-0.03995769993660921,-0.050618688517181196,-0.03367927700815079,-0.22449582913453595],[-0.0883199258831885,-0.09288257982472711,0.004487401970260806,-0.034590983788617,-0.0316680292963078,-0.0346130072859768,-0.050618688517181196,-0.021789929039739284,0.016676249944471533,-0.08647535733291094],[-0.03989246890572411,0.07224344280592726,0.015474262714496954,0.034065037948091466,-0.00524073190998146,-0.003996185430008008,-0.03367927700815079,0.016676249944471533,0.030616898681415407,0.03367954304040053],[-0.41533717442200324,-0.5699421133952174,0.0011520919224188332,-0.21634244519301754,-0.1925126914779109,-0.16992318594091133,-0.22449582913453595,-0.08647535733291094,0.03367954304040053,-0.45856184335145184]]",10,Random,10,-1.0,-1.0,-1.0,-,-4.221710094174643,"[1.,1.,1.,1.,1.,1.,1.,1.,-1.,1.]",-1,0.4740636348724365,MA-ALT,,,-4.221710094174643,"[1,1,1,1,1,1,1,1,-1,1]",3,3,3,-1.0,1000,12.065128803253174,,-1
3,1,2025-08-28 17:56:06,"[[-0.15659882438366382,-0.02078167949402648,-0.11946561559255046,-0.23010942156170877,-0.10893785572492695,-0.009608824295050753,-0.24611638844870004,0.08529234984141859,-0.2927222017606471,0.05161233339287098],[-0.02078167949402648,0.007382609235503678,-0.027293168844229047,-0.053749135576404025,0.014056681136268272,0.0154235189559652,-0.020518718449541395,0.04102690599338973,0.01403912508138051,0.05300960694286089],[-0.11946561559255046,-0.027293168844229047,-0.08004130567820411,-0.15159106536044958,-0.11306875492030762,-0.0256931384485531,-0.20172056209511408,0.033524403596141325,-0.27765398932255025,-0.008719815650447195],[-0.23010942156170877,-0.053749135576404025,-0.15159106536044958,-0.2859463504526776,-0.2200908020768181,-0.051204063764722516,-0.3863359807464031,0.05901157321113777,-0.5385034850312351,-0.023675284005420835],[-0.10893785572492695,0.014056681136268272,-0.11306875492030762,-0.2200908020768181,0.0033189998802473967,0.04064506678252103,-0.13342955094219802,0.13967076542961396,-0.055452441198458734,0.16162602002825108],[-0.009608824295050753,0.0154235189559652,-0.0256931384485531,-0.051204063764722516,0.04064506678252103,0.027710070780274865,0.006348892284927785,0.05434325905089512,0.07026477193713696,0.07926132224933735],[-0.24611638844870004,-0.020518718449541395,-0.20172056209511408,-0.3863359807464031,-0.13342955094219802,0.006348892284927785,-0.36688960187076264,0.16890975565683466,-0.3862156114894129,0.13876436796598257],[0.08529234984141859,0.04102690599338973,0.033524403596141325,0.05901157321113777,0.13967076542961396,0.05434325905089512,0.16890975565683466,0.03989537404010909,0.30692365184999826,0.10323231120043165],[-0.2927222017606471,0.01403912508138051,-0.27765398932255025,-0.5385034850312351,-0.055452441198458734,0.07026477193713696,-0.3862156114894129,0.30692365184999826,-0.26965327289430346,0.3287273078101054],[0.05161233339287098,0.05300960694286089,-0.008719815650447195,-0.023675284005420835,0.16162602002825108,0.07926132224933735,0.13876436796598257,0.10323231120043165,0.3287273078101054,0.18527172763210611]]",10,Random,10,-1.0,-1.0,-1.0,-,-3.471750960971519,"[1.,1.,1.,1.,1.,-1.,1.,-1.,1.,-1.]",-1,0.2339594364166259,MA-ALT,,,-3.471750960971519,"[1,1,1,1,1,-1,1,-1,1,-1]",6,3,3,-1.0,1000,24.84425616264344,,-1
4,1,2025-08-28 17:56:55,"[[-0.010390471553821093,-0.06120146997254876,-0.00347111566459387,-0.023357338174998084,-0.034080588095702004,-0.012715463509069049,0.017172083748004496,-0.02572146700763253,-0.1111678419540459,-0.028242553551839654],[-0.06120146997254876,-0.17278260191865955,-0.10314625433468384,-0.18200900548911214,-0.08708818092029713,-0.10400221881817154,0.0013900863718693326,-0.09197493081770057,-0.5225000574458702,-0.08814079393600774],[-0.00347111566459387,-0.10314625433468384,0.375629051580768,0.3609851473715152,-0.11147389374459327,0.11629576255540842,0.1964345158246306,0.09907600117475857,0.4373280273424649,0.027604677372252605],[-0.023357338174998084,-0.18200900548911214,0.3609851473715152,0.32803489897543703,-0.15332126964262804,0.08799192500066248,0.2107869073580497,0.07060937880529682,0.2802340531898419,-0.00847022667421675],[-0.034080588095702004,-0.08708818092029713,-0.11147389374459327,-0.15332126964262804,-0.043186014169073486,-0.07048446425910816,-0.01758066556418444,-0.07180488012112535,-0.3741107680440124,-0.06374652161909404],[-0.012715463509069049,-0.10400221881817154,0.11629576255540842,0.08799192500066248,-0.07048446425910816,0.021240813417715387,0.0792967526929262,0.0032980059841011666,0.015486534472304483,-0.021897611897427463],[0.017172083748004496,0.0013900863718693326,0.1964345158246306,0.2107869073580497,-0.01758066556418444,0.0792967526929262,0.08027197089405327,0.07180627123126114,0.35159563241466196,0.04174186174255174],[-0.02572146700763253,-0.09197493081770057,0.09907600117475857,0.07060937880529682,-0.07180488012112535,0.0032980059841011666,0.07180627123126114,0.006593609646154326,-0.0211855146131895,-0.01780769771827905],[-0.1111678419540459,-0.5225000574458702,0.4373280273424649,0.2802340531898419,-0.3741107680440124,0.015486534472304483,0.35159563241466196,-0.0211855146131895,-0.2577783105232831,-0.14367344897867612],[-0.028242553551839654,-0.08814079393600774,0.027604677372252605,-0.00847022667421675,-0.06374652161909404,-0.021897611897427463,0.04174186174255174,-0.01780769771827905,-0.14367344897867612,-0.03659266546313107]]",10,Random,10,-1.0,-1.0,-1.0,-,-2.230659168847919,"[1.,1.,-1.,-1.,1.,1.,-1.,1.,1.,1.]",-1,0.2369837760925293,MA-ALT,,,-2.230659168847919,"[1,1,-1,-1,1,1,-1,1,1,1]",7,7,7,-1.0,1000,49.26516652107239,,-1
5,1,2025-08-28 17:59:03,"[[0.00997031516951278,0.0037120403096567115,0.009072239573871701,-0.042826776961332,-0.025395523585581926,0.027299005643634463,0.0003184298465220142,-0.00948841615863482,0.016152909104470054,0.027910416715802064],[0.0037120403096567115,0.0010962651763544887,0.0008091833461974834,-0.019371330401296058,-0.01695368104641104,0.01158313626295291,-0.003399775108168913,-0.01417938552107902,-0.0005077673197353633,0.009423295541546188],[0.009072239573871701,0.0008091833461974834,-0.012577668032073804,-0.09410401154027116,-0.1271406963522946,0.03616213069563129,-0.04423695480015251,-0.13755173507951418,-0.05483554130540265,0.020771510825618518],[-0.042826776961332,-0.019371330401296058,-0.09410401154027116,-0.11718452739179892,-0.3496518042260809,-0.027101420047238037,-0.18706023017668713,-0.4865274545431709,-0.3288534941419534,-0.10381958050055551],[-0.025395523585581926,-0.01695368104641104,-0.1271406963522946,-0.3496518042260809,-0.6628118520113676,0.06475064355998712,-0.29886435556658975,-0.8291858548730302,-0.4686938051446483,-0.05888103656286672],[0.027299005643634463,0.01158313626295291,0.03616213069563129,-0.027101420047238037,0.06475064355998712,0.05002343817458721,0.05439404837308137,0.12450106282668329,0.11791490173575041,0.06934947516515083],[0.0003184298465220142,-0.003399775108168913,-0.04423695480015251,-0.18706023017668713,-0.29886435556658975,0.05439404837308137,-0.12156598842396645,-0.35158324669094543,-0.17433325215014228,0.004500841330296344],[-0.00948841615863482,-0.01417938552107902,-0.13755173507951418,-0.4865274545431709,-0.8291858548730302,0.12450106282668329,-0.35158324669094543,-1.0,-0.5259042784277422,-0.01879487500605717],[0.016152909104470054,-0.0005077673197353633,-0.05483554130540265,-0.3288534941419534,-0.4686938051446483,0.11791490173575041,-0.17433325215014228,-0.5259042784277422,-0.23020561414738536,0.04584540060770514],[0.027910416715802064,0.009423295541546188,0.020771510825618518,-0.10381958050055551,-0.05888103656286672,0.06934947516515083,0.004500841330296344,-0.01879487500605717,0.04584540060770514,0.0726169332362923]]",10,Random,10,-1.0,-1.0,-1.0,-,-4.122606086695157,"[1.,1.,1.,1.,1.,-1.,1.,1.,1.,1.]",-1,0.2733323574066162,MA-ALT,,,-4.122606086695157,"[1,1,1,1,1,-1,1,1,1,1]",11,3,3,-1.0,1000,127.00307703018188,,-1
6,1,2025-08-28 17:59:12,"[[-0.2000086189114424,-0.3619019243009425,-0.214853556380657,-0.10176895780880577,-0.1921418591489381,-0.12337383807695637,-0.05033892617605816,0.06932134271733101,-0.14257324616365194,-0.08024611171979942],[-0.3619019243009425,-0.15069564716666659,-0.26941814202382164,-0.26836714573177756,-0.10167720115834238,-0.1281212157822798,-0.47849388746635124,-0.039173761398507395,-0.34005409275755183,-0.2200061636873793],[-0.214853556380657,-0.26941814202382164,-0.20219057730189047,-0.12897760509346468,-0.14760124384311218,-0.10997468262285959,-0.14545293028742165,0.035596782526903445,-0.17248181013271185,-0.10393911890421648],[-0.10176895780880577,-0.26836714573177756,-0.12897760509346468,-0.037526465750843285,-0.13839281087388258,-0.07853959388759227,0.03934658234067933,0.06285746079869399,-0.058796813692035266,-0.028318636556951403],[-0.1921418591489381,-0.10167720115834238,-0.14760124384311218,-0.13839281087388258,-0.06391706243313999,-0.07236266772601252,-0.23684253340582742,-0.013701188510207157,-0.1766431999195006,-0.11374010423492278],[-0.12337383807695637,-0.1281212157822798,-0.10997468262285959,-0.07853959388759227,-0.07236266772601252,-0.05852596213419021,-0.10412395975865843,0.01158608927358484,-0.10315851592572113,-0.06377625795789563],[-0.05033892617605816,-0.47849388746635124,-0.14545293028742165,0.03934658234067933,-0.23684253340582742,-0.10412395975865843,0.2853854748905774,0.14402563387797146,0.027273968813093463,0.03727711826830924],[0.06932134271733101,-0.039173761398507395,0.035596782526903445,0.06285746079869399,-0.013701188510207157,0.01158608927358484,0.14402563387797146,0.02968021681847474,0.07634317339954717,0.05218321059233148],[-0.14257324616365194,-0.34005409275755183,-0.17248181013271185,-0.058796813692035266,-0.1766431999195006,-0.10315851592572113,0.027273968813093463,0.07634317339954717,-0.08842738809049672,-0.04493219788262686],[-0.08024611171979942,-0.2200061636873793,-0.10393911890421648,-0.028318636556951403,-0.11374010423492278,-0.06377625795789563,0.03727711826830924,0.05218321059233148,-0.04493219788262686,-0.021154533029564705]]",10,Random,10,-1.0,-1.0,-1.0,-,-3.989564896255928,"[1.,1.,1.,1.,1.,1.,1.,-1.,1.,1.]",-1,0.2374205589294433,MA-ALT,,,-3.989564896255928,"[1,1,1,1,1,1,1,-1,1,1]",2,2,2,-1.0,1000,9.567815065383911,,-1
7,1,2025-08-28 17:50:41,"[[-0.42210704375340263,-0.24984578325924187,-0.5870200062404015,-0.25365070556271163,-0.42495020323630617,-0.13069594138044774,-0.3838837345256106,-0.38816042585432803,-0.05526753208091595,-0.33935189667118426],[-0.24984578325924187,0.014049637476715782,-0.25174692943881666,0.12112789229612406,-0.2350633660762353,-0.02256824259869703,-0.0003269008808560476,0.1270945015703478,-0.039106061707206714,0.0064097746056321035],[-0.5870200062404015,-0.25174692943881666,-0.7649246625209157,-0.19766456811055957,-0.5795791417989662,-0.15087951337879887,-0.40456911944689256,-0.33837762817784744,-0.08069767335800915,-0.3527668985708107],[-0.25365070556271163,0.12112789229612406,-0.19766456811055957,0.3130754220153277,-0.23235827959932853,0.005455438244024162,0.14852708322260905,0.3696933369874933,-0.04221085510412292,0.15228677179351272],[-0.42495020323630617,-0.2350633660762353,-0.5795791417989662,-0.23235827959932853,-0.42331869494049557,-0.12220579920962793,-0.3623795932607832,-0.3550955969275183,-0.05748567631485503,-0.3243043436148971],[-0.13069594138044774,-0.02256824259869703,-0.15087951337879887,0.005455438244024162,-0.12220579920962793,-0.02000967980093344,-0.04414040432528503,-0.007723582369522371,-0.02018346870709299,-0.03969412272340383],[-0.3838837345256106,-0.0003269008808560476,-0.40456911944689256,0.14852708322260905,-0.3623795932607832,-0.04414040432528503,-0.03265198672544932,0.14431734164360344,-0.05919830765955533,-0.016962652355416028],[-0.38816042585432803,0.1270945015703478,-0.33837762817784744,0.3696933369874933,-0.3550955969275183,-0.007723582369522371,0.14431734164360344,0.42598151036171833,-0.06364411207573727,0.15263572926452856],[-0.05526753208091595,-0.039106061707206714,-0.08069767335800915,-0.04221085510412292,-0.05748567631485503,-0.02018346870709299,-0.05919830765955533,-0.06364411207573727,-0.006658809480413625,-0.051421901881636825],[-0.33935189667118426,0.0064097746056321035,-0.3527668985708107,0.15228677179351272,-0.3243043436148971,-0.03969412272340383,-0.016962652355416028,0.15263572926452856,-0.051421901881636825,0.00026418443712415793]]",10,Random,10,-1.0,-1.0,-1.0,-,-4.9850436800492,"[1.,1.,1.,-1.,1.,1.,1.,1.,1.,1.]",-1,0.4807677268981933,MA-ALT,,,-4.9850436800492,"[1,1,1,-1,1,1,1,1,1,1]",8,3,3,-1.0,1000,54.32037973403931,,-1
8,1,2025-08-28 17:55:46,"[[0.20623793692395562,0.211716689947075,0.17104637793172742,-0.10446288354471087,0.3265830780917399,0.10645352550704272,0.15232979437218597,-0.24278483324105596,-0.22348293058147717,-0.13181405354260053],[0.211716689947075,0.11512706908657142,0.14692329628241765,0.05711481709519086,0.3271112671908947,0.0885884440094383,0.1443282914766826,0.040924413525387046,0.03650996852504321,0.04329152427503633],[0.17104637793172742,0.14692329628241765,0.13296407449186015,-0.04004442048784024,0.2661226680518115,0.08193701278528154,0.12286724084562303,-0.1190842770097332,-0.10983719487196829,-0.06050901379220517],[-0.10446288354471087,0.05711481709519086,-0.04004442048784024,-0.21662366567836508,-0.15211281826722567,-0.020149410707636144,-0.05952059478795057,-0.3501477611090549,-0.3210412296145357,-0.22145679554125375],[0.3265830780917399,0.3271112671908947,0.2661226680518115,-0.15211281826722567,0.5126033349326827,0.16624208739995383,0.23932446022111423,-0.35977746123408694,-0.3306073235265353,-0.19526787233963722],[0.10645352550704272,0.0885884440094383,0.08193701278528154,-0.020149410707636144,0.16624208739995383,0.05098133473266774,0.07626984044814741,-0.06567953622492936,-0.0605855429125286,-0.031551515335732506],[0.15232979437218597,0.1443282914766826,0.12286724084562303,-0.05952059478795057,0.23932446022111423,0.07626984044814741,0.11051643917213946,-0.14719735107238635,-0.13583928720433586,-0.07717336948113718],[-0.24278483324105596,0.040924413525387046,-0.1190842770097332,-0.3501477611090549,-0.35977746123408694,-0.06567953622492936,-0.14719735107238635,-0.5460942357777403,-0.5000579112444344,-0.3521503553796802],[-0.22348293058147717,0.03650996852504321,-0.10983719487196829,-0.3210412296145357,-0.3306073235265353,-0.0605855429125286,-0.13583928720433586,-0.5000579112444344,-0.4578089051519057,-0.32163940353341713],[-0.13181405354260053,0.04329152427503633,-0.06050901379220517,-0.22145679554125375,-0.19526787233963722,-0.031551515335732506,-0.07717336948113718,-0.3521503553796802,-0.32163940353341713,-0.2268924899040543]]",10,Random,10,-1.0,-1.0,-1.0,-,-3.2826897029910587,"[1.,-1.,-1.,1.,1.,-1.,-1.,1.,1.,1.]",-1,0.4872252941131592,MA-ALT,,,-3.2826897029910587,"[1,-1,-1,1,1,-1,-1,1,1,1]",8,5,5,-1.0,1000,304.84173488616943,,-1
9,1,2025-08-28 17:56:00,"[[0.20797556339575407,0.1670196364010337,0.1423361291719047,0.23096454170993602,0.34007132148973807,0.30561897773581254,0.02769599121125936,0.12704728223770184,0.13514220882375125,-0.17526314453696157],[0.1670196364010337,0.12808972922631795,0.0737174865559028,0.21065082825698206,0.27044904574858564,0.20169607982549764,-0.010029257197868638,0.10319564801352174,0.05459169706577157,-0.20555125745342737],[0.1423361291719047,0.0737174865559028,-0.10119198087134293,0.1914597303691685,0.15321985368816243,0.017097697692233682,-0.12610510166087438,0.06643409828982955,-0.1396478170280629,-0.3411133721477311],[0.23096454170993602,0.21065082825698206,0.1914597303691685,0.30869125696962185,0.43219796648128916,0.3795355721428136,0.04010046466333696,0.15621479776203553,0.18461474394605895,-0.2066815939499302],[0.34007132148973807,0.27044904574858564,0.15321985368816243,0.43219796648128916,0.5524943668300112,0.4277697183904207,-0.025230788022373343,0.20709049984787284,0.12522507583105705,-0.41006039383417514],[0.30561897773581254,0.20169607982549764,0.017097697692233682,0.3795355721428136,0.4277697183904207,0.24456146124932726,-0.10048276229524479,0.17256288901689731,-0.03998073773439685,-0.4915110985510805],[0.02769599121125936,-0.010029257197868638,-0.12610510166087438,0.04010046466333696,-0.025230788022373343,-0.10048276229524479,-0.10134200169796477,-0.0016696265513923489,-0.14895032278395995,-0.17171608273669736],[0.12704728223770184,0.10319564801352174,0.06643409828982955,0.15621479776203553,0.20709049984787284,0.17256288901689731,-0.0016696265513923489,0.07779736881913173,0.060579581023978264,-0.13728652598059973],[0.13514220882375125,0.05459169706577157,-0.1396478170280629,0.18461474394605895,0.12522507583105705,-0.03998073773439685,-0.14895032278395995,0.060579581023978264,-0.19238575889662585,-0.3786010207406284],[-0.17526314453696157,-0.20555125745342737,-0.3411133721477311,-0.2066815939499302,-0.41006039383417514,-0.4915110985510805,-0.17171608273669736,-0.13728652598059973,-0.3786010207406284,-0.06630651771436358]]",10,Random,10,-1.0,-1.0,-1.0,-,-2.7675435538261817,"[-1.,-1.,1.,-1.,-1.,1.,1.,-1.,1.,1.]",-1,0.4821469783782959,MA-ALT,,,-2.7675435538261817,"[-1,-1,1,-1,-1,1,1,-1,1,1]",3,3,3,-1.0,1000,12.924543380737305,,-1
